"","committee_name","contribution_receipt_amount"
"1","ACTBLUE",416044.09
"2","BIDEN FOR PRESIDENT",143908.88
"3","DCCC",127033
"4","BIDEN VICTORY FUND",58636.77
"5","DSCC",47079.17
"6","JON OSSOFF FOR SENATE",26560.54
"7","SARA GIDEON FOR MAINE",23005.72
"8","DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE",22889.67
"9","MARK KELLY FOR SENATE",20868.1
"10","SMP",16890
"11","WARNOCK FOR GEORGIA",13389.13
"12","WARREN FOR PRESIDENT, INC.",12377.92
"13","HICKENLOOPER FOR COLORADO",11617.5
"14","MJ FOR TEXAS",11130
"15","THERESA GREENFIELD FOR IOWA",10914.46
"16","WIN THE ERA PAC",10758.39
"17","JAIME HARRISON FOR US SENATE",10437.48
"18","PETERS FOR MICHIGAN",10061.66
"19","CAL FOR NC",10022.59
"20","FAIR FIGHT",9310.03
"21","MONTANANS FOR BULLOCK",9120.19
"22","WINRED",8756.26
"23","MIKE SIEGEL FOR CONGRESS",8400
"24","EMILY'S LIST",8143
"25","NEW WAVE WOMEN",8000
"26","BOLLIER FOR KANSAS",7820.19
"27","AMY MCGRATH FOR SENATE, INC.",7690.79
"28","KATIE PORTER FOR CONGRESS",7680
"29","NANCY PELOSI FOR CONGRESS",7248
"30","KAMALA HARRIS FOR THE PEOPLE",6405
"31","HARLEY ROUDA FOR CONGRESS",6350
"32","SCHIFF FOR CONGRESS",6297.53
"33","PEOPLE FOR BEN",5830
"34","DEMOCRATIC ACTION",5664.01
"35","TOM MALINOWSKI FOR CONGRESS",5600
"36","BERNIE 2020",5535.5
"37","DR. AL GROSS FOR U.S. SENATE",4987.5
"38","PEOPLE POWERED ACTION",4558.78
"39","TAMMY FOR ILLINOIS",4500
"40","CHRISTY SMITH FOR CONGRESS",4300
"41","EASTMAN FOR CONGRESS",4150
"42","HIRAL FOR CONGRESS",4000
"43","CHRIS BUBSER FOR CONGRESS",3950
"44","STOP REPUBLICANS",3898
"45","LCV VICTORY FUND",3750
"46","DOUG JONES FOR SENATE COMMITTEE",3682.69
"47","MIKE ESPY FOR SENATE CAMPAIGN COMMITTEE",3550
"48","SCHOLTEN4IOWA CAMPAIGN COMMITTEE",3250
"49","AMY FOR AMERICA",3133.85
"50","ILHAN FOR CONGRESS",3125
"51","MOVEON.ORG POLITICAL ACTION",2991.79
"52","THE LINCOLN PROJECT",2907
"53","AMY KENNEDY FOR CONGRESS",2800
"54","DR GRACE I. WILLIAMS FOR CONGRESS 2020",2800
"55","KENNEDY FOR MASSACHUSETTS",2800
"56","ARIZONA DEMOCRATIC PARTY",2546.67
"57","314 ACTION FUND",2500
"58","REPUBLICAN NATIONAL COMMITTEE",2465
"59","COLORADO DEMOCRATIC PARTY",2446.67
"60","DEMOCRATIC PARTY OF VIRGINIA",2446.66
"61","NATIONAL DEMOCRATIC TRAINING COMMITTEE PAC",2425
"62","MARK TAKANO FOR CONGRESS",2400
"63","DONALD J. TRUMP FOR PRESIDENT, INC.",2396.8
"64","PROGRESSIVE TURNOUT PROJECT",2191
"65","TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE",2175
"66","SAVE AMERICA FUND",2125
"67","BRINDISI FOR CONGRESS",2000
"68","CASTEN FOR CONGRESS",2000
"69","CORY BOOKER FOR SENATE",2000
"70","MOVEMENT VOTER PAC",1908
"71","DEMOCRATIC EXECUTIVE COMMITTEE OF FLORIDA",1750
"72","FLIP THE WEST",1750
"73","PEOPLE FIRST FUTURE",1644.15
"74","END CITIZENS UNITED",1567.48
"75","HER TIME PAC",1550
"76","ANGIE CRAIG FOR CONGRESS",1500
"77","CISNEROS FOR CONGRESS",1500
"78","MIKE JOHNSTON FOR US SENATE",1500
"79","TJ COX FOR CONGRESS",1450
"80","XOCHITL FOR NEW MEXICO",1425
"81","BIDEN FIGHT FUND",1400
"82","DEMOCRATIC VICTORY PAC, INC.",1400
"83","MARCH ON PAC",1250
"84","CONGRESSIONAL BLACK CAUCUS PAC",1216
"85","BETSY DIRKSEN LONDRIGAN FOR CONGRESS",1150
"86","CORY 2020",1100
