Instructor,Subject,title,TotClasses,TotStudents,AvgPercentile
"BARRETT, H.C.",ANTHRO,ANTHRO 124B EVOLUTIONARY PSYCH,4,761,35
"PERRY, S.E.",ANTHRO,ANTHRO 128A PRIM BEH NONHUM-HUM,4,656,20
"THROOP, C.J.",ANTHRO,ANTHRO 133F ANTHROPOLGY OF FOOD,1,50,74
"GUPTA, A.",ANTHRO,ANTHRO 133F ANTHROPOLGY OF FOOD,2,532,42
"MILNE, D.",ANTHRO,ANTHRO 133F ANTHROPOLGY OF FOOD,2,99,33
"ANTOINE, K.E.",ANTHRO,ANTHRO 137 TPC-CULTURAL ANTHRO,1,59,74
"LEMELSON, R.B.",ANTHRO,ANTHRO 137 TPC-CULTURAL ANTHRO,2,44,65
"HELLER, S.M.",ANTHRO,ANTHRO 137 TPC-CULTURAL ANTHRO,4,80,59
"POTUOGLU-COOK, O.",ANTHRO,ANTHRO 137 TPC-CULTURAL ANTHRO,2,74,47
"BARTLETT, N.A.",ANTHRO,ANTHRO 137 TPC-CULTURAL ANTHRO,3,222,37
"VERNON, M.",ANTHRO,ANTHRO 137 TPC-CULTURAL ANTHRO,4,214,36
"WITHERS, M.",ANTHRO,ANTHRO 137 TPC-CULTURAL ANTHRO,1,95,28
"MALEK, A.P.",ANTHRO,ANTHRO 137 TPC-CULTURAL ANTHRO,1,21,24
"KIM, M.K.",ANTHRO,ANTHRO 137 TPC-CULTURAL ANTHRO,1,91,12
"GARRO, L.C.",ANTHRO,ANTHRO 137 TPC-CULTURAL ANTHRO,1,155,8
BARCHAS LICHTENSTE,ANTHRO,ANTHRO 147 SEL TPC-LING ANTHRO,1,89,82
"MENDOZA-DENTON, N.",ANTHRO,ANTHRO 147 SEL TPC-LING ANTHRO,1,61,77
"AVINERI, N.R.",ANTHRO,ANTHRO 147 SEL TPC-LING ANTHRO,1,123,74
"LICHTENSTEIN, J.B.",ANTHRO,ANTHRO 147 SEL TPC-LING ANTHRO,1,32,60
"FANTA, A.A.",ANTHRO,ANTHRO 147 SEL TPC-LING ANTHRO,1,28,59
"STEINBERG, R.L.",ANTHRO,ANTHRO 147 SEL TPC-LING ANTHRO,1,52,59
"MARTI, F.A.",ANTHRO,ANTHRO 147 SEL TPC-LING ANTHRO,1,85,48
"GEORGE, R.L.",ANTHRO,ANTHRO 147 SEL TPC-LING ANTHRO,3,105,46
"CARTMILL, E.A.",ANTHRO,ANTHRO 147 SEL TPC-LING ANTHRO,3,112,35
"GUZMAN, J.R.",ANTHRO,ANTHRO 147 SEL TPC-LING ANTHRO,1,50,32
"SHARP, E.J.",ANTHRO,ANTHRO 157 TOPIC-SOCIAL ANTHRO,1,19,88
"BOUM, A.",ANTHRO,ANTHRO 157 TOPIC-SOCIAL ANTHRO,1,19,82
"PRITZKER, S.E.",ANTHRO,ANTHRO 157 TOPIC-SOCIAL ANTHRO,1,80,63
