YEAR(S),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
1949,2.43,1.41,1.4,0,0.46,0,0,0.01,0.01,0.01,2.18,2.72,10.63
1950,2.57,1.67,0.87,0.56,0,0,0.01,0,0.38,0.24,1.05,0.03,7.38
1951,2.8,1.48,0.44,1.54,0.24,0,0,0.15,0,0.59,1.29,5.8,14.33
1952,10.03,0.63,6.14,1.58,0,0,0,0,0.13,0,3.13,3.31,24.95
1953,1.08,0.33,0.48,0.91,0.03,0.06,0,0,0,0,1.11,0.08,4.08
1954,4.6,2.98,2.99,0.13,0.02,0.08,0,0,0,0,2.03,0.86,13.69
1955,4.3,0.68,0.56,2.07,1.43,0.01,0,0.05,0,0,1.68,1.11,11.89
1956,8.39,0.59,0,3.72,0.46,0,0,0,0,0.12,0,0.34,13.62
1957,4.41,1.47,1.02,1.47,0.63,0.08,0,0,0,1.51,0.51,2.14,13.24
1958,2.08,6.46,5.3,3.09,0.04,0,0,0.39,0.07,0.06,0,0,17.49
1959,1.24,3.32,0,0.5,0,0,0,0,0.01,0,0.07,1.09,6.23
1960,2.94,2.26,0.31,1.45,0.05,0,0,0,0,0.01,2.4,0.15,9.57
1961,1.28,0.15,0.57,0.29,0,0,0,0.03,0.05,0,2.02,1.44,5.83
1962,2.56,11.57,1.1,0,0.02,0,0,0,0,0.12,0,0,15.37
1963,0.52,2.88,2.78,1.94,0,0.14,0,0.02,1.31,0.57,2.15,0,12.31
1964,1.43,0,1.79,0.33,0.01,0.32,0,0,0,0.33,1.72,2.05,7.98
1965,0.84,0.23,2.49,6.02,0,0.01,0,0.01,1.8,0,9.68,5.73,26.81
1966,0.96,1.51,0.53,0,0.22,0,0,0,0.3,0.06,4.07,5.26,12.91
1967,5.93,0.11,2.5,3.76,0.01,0,0,0,1.02,0,8.67,1.66,23.66
1968,0.9,0.49,3.34,0.49,0,0.01,0.01,0.11,0.03,0.55,0.37,1.28,7.58
1969,14.94,8.03,1.49,0.63,0.03,0,0.03,0,0,0,1.11,0.06,26.32
1970,1.59,2.58,2.36,0,0,0.04,0,0,0,0,5.05,4.92,16.54
1971,0.43,0.67,0.53,0.5,0.22,0,0,0,0,0.04,0.3,6.57,9.26
1972,0,0.13,0,0.03,0.03,0.07,0,0.35,0.02,0.29,3.26,2.36,6.54
1973,4.39,7.89,2.7,0,0,0,0,0,0,0.12,1.68,0.67,17.45
1974,8.35,0.14,3.78,0.1,0.08,0,0,0,0,0.58,0.07,3.59,16.69
1975,0.12,3.54,4.83,1.53,0.09,0,0,0,0,0.27,0,0.32,10.7
1976,0,3.71,1.81,0.84,0.05,0.22,0,0.08,2.82,0.24,0.49,0.75,11.01
1977,2.84,0.17,1.89,0,3.03,0,0,2.26,0,0,0.08,4.7,14.97
1978,7.7,8.91,8.02,1.77,0,0,0,0,0.39,0.05,2.28,1.45,30.57
1979,6.59,3.06,5.85,0,0,0,0,0.01,0,0.77,0.21,0.51,17
1980,7.5,12.75,4.79,0.31,0.13,0,0,0,0,0,0,0.85,26.33
1981,2.02,1.48,4.1,0.53,0,0,0,0,0.02,0.49,1.8,0.48,10.92
1982,2.17,0.7,3.54,1.39,0.12,0,0,0,0.84,0.19,4.41,1.05,14.41
1983,6.49,4.37,8.37,5.16,0.36,0.01,0,0.79,1.99,0.75,2.52,3.23,34.04
1984,0.17,0,0.28,0.69,0,0.01,0,0.4,0.23,0.15,1.44,5.53,8.9
1985,0.71,2.84,1.29,0,0.23,0,0,0,0.19,0.42,2.91,0.33,8.92
1986,2.19,6.1,5.27,0.45,0,0,0.18,0,1.97,0.53,0.94,0.37,18
1987,1.39,1.22,0.95,0.06,0,0.05,0.01,0,0.09,2.37,1.13,1.84,9.11
1988,1.65,1.72,0.26,3.41,0,0,0,0.05,0.04,0,0.7,3.8,11.63
1989,0.73,1.9,0.81,0,0.05,0,0,0,0.35,0.43,0.29,0,4.56
1990,1.24,3.12,0.17,0.58,1.17,0,0,0.02,0,0,0.19,0,6.49
1991,1.17,4.13,5.92,0.03,0,0.01,0.13,0,0.09,0.37,0,3.22,15.07
1992,1.74,7.96,7.12,0.33,0.04,0,0.08,0,0,0.7,0,4.68,22.65
1993,11.77,6.61,2.74,0,0.02,0.76,0,0,0,0.16,0.66,0.78,23.5
1994,0.33,3.21,1.86,0.83,0.28,0,0,0,0,0.19,0.61,1.35,8.66
1995,12.56,1.3,6.98,0.58,0.18,0.6,0.02,0,0,0,0.09,1.34,23.65
1996,3.16,4.94,2.16,0.71,0.04,0,0,0,0,1.06,1.59,4.09,17.75
1997,5.58,0.08,0,0,0,0,0,0,0.45,0,2.06,2.52,10.69
1998,4.12,13.68,4.06,0.97,3.1,0.05,0,0,0.01,0,1.32,0.54,27.85
1999,1.85,0.56,1.24,2.57,0.02,0.98,0,0,0,0,0.44,0.4,8.06
2000,0.88,5.54,2.82,1.49,0,0,0,0.07,0.15,0.98,0,0,11.93
2001,5.59,8.87,1.17,1.11,0,0,0,0,0,0.06,1.42,1.38,19.6
2002,0.8,0.29,0.32,0.09,0.05,0.01,0,0,0,0.05,2.43,3.31,7.35
2003,0,4.64,4.32,0.71,1.02,0.01,0,0,0,0.53,0.79,1.35,13.37
2004,0.47,4.89,1.17,0.04,0,0,0,0,0,4.56,0.2,8.77,20.1
2005,9.32,11.02,2.14,1.05,0.19,0,0,0,0.29,1.35,0.22,1.03,26.61
2006,2.06,2.37,2.87,2.15,0.85,0,0,0,0,0.34,0.16,0.81,11.61
2007,0.19,0.92,0.05,0.74,0,0,0,0,0.52,0.95,0.56,1.73,5.66
2008,7.97,1.64,0.01,0.04,0.11,0,0,0,0,0.02,1.85,2.79,14.43
2009,0.34,3.57,0.33,0.03,0,0.15,0,0,0,2.07,0.01,2.89,9.39
2010,4.94,4.27,0.48,1.65,0.05,0,0,0,0,0.94,0.53,10.23,23.09
2011,0.79,3.29,3.96,0,0.45,0.01,0,0,0,1.17,1.58,1.01,12.26
2012,1.3,0.16,1.75,1.71,0.01,0,0.01,0,0,0.02,1.03,2.16,8.15
2013,1.18,0.2,0.54,0,0.71,0,0.09,0,0,0.06,0.62,0.2,3.6
2014,0,3.58,1.18,0.35,0,0,0,0.04,0.01,0.25,0.48,3.88,9.77
2015,1.09,0.83,0.87,0.13,0.93,0.01,0.38,0,2.39,0.45,0.01,0.57,7.66
2016,3.17,0.79,1.6,0.24,0.05,0,0,0,0,0.52,0.88,4.55,11.8
2017,8.38,4.17,0.09,0.08,0.32,0.01,0,0,0.07,0.1,0.01,0.01,13.24
2018,1.77,0.03,2.69,0.02,0.09,0,0,0,0,0.57,1.58,2.11,8.86
2019,5.95,5.59,2.19,0.02,0.81,0,0,0,0.03,0,2.12,4.84,21.55
2020,0.32,0.04,4.34,3.02,0.14,0,0,0,0,0,0.11,1.84,9.81
2021,2.44,0,1.41,0,0,0.02,0.22,0,0.01,0.71,0,9.46,14.27
