YEAR(S),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
1949,1.53,0.74,1.22,0,0.25,0,0,0,0,0,1.12,1.76,6.62
1950,2.28,2.39,0.54,0.25,0.1,0.07,0,0,0.1,0,0.74,0,6.47
1951,1.8,1.38,0.36,1,0.01,0,0,0.13,0,0.2,0.79,4.2,9.87
1952,5.86,0.2,3.21,0.79,0,0.02,0,0,0,0,2.52,3.14,15.74
1953,0.71,0.19,0.28,0.61,0,0,0,0,0,0,0.99,0.04,2.82
1954,3.15,1.78,3.43,0.11,0,0.02,0,0,0,0,1.25,0.73,10.47
1955,3.7,0.77,0.19,1.93,0.6,0,0,0,0,0,0.92,0.7,8.81
1956,9.05,0.43,0,1.63,0.22,0,0,0,0,0.07,0,0,11.4
1957,2.94,1.03,0.71,0.74,0.42,0,0,0,0,-----,-----,-----,5.84
1958,-----,-----,-----,3.32,0.02,0,0,0.06,0.18,0.04,0,0.02,3.64
1959,0.69,2.77,0,0.68,0,0,0,0,0.01,0.02,0.05,1.72,5.94
1960,2.14,2.95,0.22,1.25,0.22,0,0,0,0.02,0.01,1.33,0.09,8.23
1961,1.28,0,0.29,0.04,0.01,0.13,0,0.19,0,0,1.41,1.17,4.52
1962,2.35,7.88,1.57,0,0.12,0.01,0,0,0,0.02,0,0.01,11.96
1963,0.29,4.49,2.62,1.13,0,0.52,0,0,1.31,0.43,2.82,0,13.61
1964,0.58,0,1.08,0.25,0.04,0.14,0,0,0,0.18,1.26,1.43,4.96
1965,0.57,0.42,2.25,4.42,0,0.02,0,0.17,0.2,0,6.05,3.44,17.54
1966,1.19,1.65,0.47,0,0.02,0,0,0,0.01,0.01,1.78,3.91,9.04
1967,3.77,0.03,1.51,2.29,0.02,0,0,0,0.53,0,4.61,1.06,13.82
1968,0.52,0.38,2.2,0.38,0,0,0,0,0,0.26,0.37,1.55,5.66
1969,11.24,6.07,0.66,0.48,0.03,0,0.05,0,0.02,0,1.41,0.06,20.02
1970,1.79,2.02,1.1,0,0,0,0,0,0,0.05,3.5,3.81,12.27
1971,0.58,0.66,0.23,0.62,0.67,0,0,0,0,0.57,0.22,5.29,8.84
1972,0,0.03,0,0.18,0.02,0.09,0,0.22,0.15,0.03,3.94,1.36,6.02
1973,3.39,4.98,2.45,0,0,0,0,0,0,0.21,2.04,0.36,13.43
1974,6.12,0.17,3.28,0.18,0.05,0,0,0,0,0.58,0.03,5.21,15.62
1975,0.09,4.44,3.6,1.49,0.01,0,0,0,0,0.25,0.13,0.21,10.22
1976,0,2.4,0.66,1.18,0.01,0.14,0,0.03,1.45,0.07,0.98,0.43,7.35
1977,1.8,0.35,1.35,0,2.32,0,0,2.03,0.02,0,0,3.03,10.9
1978,7.62,8.6,6.17,0.8,0,0,0,0,1.04,0.02,2,1.42,27.67
1979,8.41,2.25,4.07,0,0,0,0,0,0,0.37,0.23,0.28,15.61
1980,7.17,9.4,2.86,0.29,0.1,0,0,0,0,0,0,1.54,21.36
1981,1.85,1.55,3.41,0.32,0,0,0,0,0.07,0.59,2.39,0.98,11.16
1982,1.92,0.2,3.12,0.76,0.16,0,0,0,0.4,0.19,3.07,0.92,10.74
1983,3.04,4.17,8.75,2.3,0.18,0.01,0,0.57,1.31,1.44,2.93,1.99,26.69
1984,0.25,0.01,0.13,1.06,0,0.01,0.05,0.08,0.15,0.35,1.2,5.2,8.49
1985,0.91,1.58,0.61,0,0.21,0,0,0,0.24,0.14,4.21,0.33,8.23
1986,1.88,4.97,2.68,0.43,0,0,0.21,0,1.43,0.4,1.12,0.37,13.49
1987,1.88,1.39,0.63,0.06,0,0.1,0.05,0.05,0.02,1.63,0.64,1.79,8.24
1988,1.67,1.05,0.02,1.33,0,0,0,0.02,0.04,0,0.75,3.21,8.09
1989,0.37,0.87,0.8,0.01,0.02,0,0,0,0.34,0.45,0.14,0,3
1990,1.59,2.08,0.09,0.5,1.2,0,0,0,0,0,0.22,0.02,5.7
1991,1.42,3.41,4.87,0.05,0,0,0.13,0.01,0.02,0.14,0.05,2.06,12.16
1992,1.48,4.54,5.29,0.02,0.02,0,0.06,0,0,0.52,0,4.97,16.9
1993,9.12,5.51,2,0,0,0.86,0,0,0,0.04,0.88,0.78,19.19
1994,0.26,5.17,1.25,0.44,0.16,0,0,0,0,0.14,0.42,0.53,8.37
1995,12.76,0.52,5.15,0.45,0.02,0.51,0.06,0,0,0,0.02,1.98,21.47
1996,1.83,4.37,1.26,0.42,0.02,0,0,0,0,1.48,1.8,4.07,15.25
1997,6.18,0.13,0,0,0,0,0,0,0.47,0,2.48,3.7,12.96
1998,2.98,12.09,4.76,1.49,1.68,0.03,0,0,0,0.01,1.4,0.57,25.01
1999,1.46,0.41,1.77,2.31,0.05,0.49,0.07,0,0,0,0.17,0.11,6.84
2000,0.51,2.86,1.7,1.15,0.03,0,0,0,0,2.3,0,0,8.55
2001,2.11,5.79,0.26,0.44,0,0,0,0,0,0,1.02,0.59,10.21
2002,0.25,0.07,0.05,0.14,0.09,0,0,0,0,0,0.54,1.49,2.63
2003,0,3.75,1.67,0.4,1.74,0.06,0.34,0,0,0.12,0.29,1.32,9.69
2004,0.62,3.74,1.02,0.06,0,0,0,0,0,5.34,0.35,3.79,14.92
2005,7.66,9.4,1.54,1.23,0.04,0.01,0,0,0.34,0.66,0.13,0.55,21.56
2006,0.86,1.71,2.5,1.32,0.55,0,0.03,0.01,0,0.07,0.11,0.68,7.84
