YEAR(S),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
1949,1.73,0.5,0.23,0.02,0.13,0,0,0.06,0,0.17,0.5,1.06,4.4
1950,0.74,0.58,1.13,0.51,0.27,0,0.22,0,0.07,0,0.1,0,3.62
1951,1.35,0.18,0.3,0.82,0.35,0,0,0,0,0.6,0.72,4.24,8.56
1952,6.25,0.44,4.69,0.68,0,0,0.29,0,0.35,0,1.9,2.01,16.61
1953,0.06,0.32,0.18,0.59,0.23,0,0,0.13,0,0,0.39,0,1.9
1954,4.53,1.66,2.04,0,0,0,0,0,0,0,1.31,0.81,10.35
1955,2.84,0.22,0,1,0.04,0,0,0,0,0,0.31,0.7,5.11
1956,2.74,0,0,1.75,0.12,0,0.05,0,0,0.3,0,0.03,4.99
1957,3.61,0.73,0.65,0.35,0.17,0,0.02,0,0,1.56,0.93,1.85,9.87
1958,0.98,3.2,2.94,2.26,0.28,0,0,0,0.42,0.74,0.22,0,11.04
1959,0.96,1.89,0,0.23,0,0,0,0.13,0.19,0,0,1.14,4.54
1960,1.43,1.45,0.05,0.35,0,0,0,0,0,0.23,1.3,0.08,4.89
1961,0.34,0,0.47,0.04,0,0,0,0.65,0,0,1.1,1.09,3.69
1962,1.77,4.41,1.21,0,0.05,0,0,0,0,0.07,0,0.03,7.54
1963,0.02,0.9,1.03,0.83,0,0,0,0.1,1.7,1.44,1.3,0.02,7.34
1964,1.3,0.02,1.13,0.18,0.27,0,0,0,0,0.26,1.09,0.23,4.48
1965,0.11,0,0.27,1.52,0,0,0.49,0.13,0.09,0,5.62,2.12,10.35
1966,0.35,0.88,0.12,0,0,0,0,0,0.4,0,1.82,1.58,5.15
1967,1.28,0,0.27,1.8,0,0.02,0,0.28,0.42,0,3.51,0.68,8.26
1968,0.29,0.41,0.76,0.44,0,0,0,1.46,0,0.22,0.06,0.52,4.16
1969,3.41,4.22,0.26,0.67,0.25,0.4,0.17,0,0,0,0.7,0,10.08
1970,0.26,0.77,0.64,0.05,0,0,0.03,0,0,0.02,2.86,2,6.63
1971,0.03,0.19,0.29,0.25,0.17,0,0.03,0,0,0.02,0,4.25,5.23
1972,0,0,0,0.03,0,0.28,0,0.13,0,0.09,1.26,0.5,2.29
1973,1.67,2.98,1.5,0,0,0,0,0.08,0,0,0.6,0.06,6.89
1974,3.16,0,1.28,0.14,0.08,0,0.25,0.24,0,1.2,0,1.35,7.7
1975,0.12,0.71,1.16,0.77,0,0,0,0,0.24,0,0,0.12,3.12
1976,0,1.78,0.6,0.06,0.12,0,0,0,2.12,0.04,0.22,0.17,5.11
1977,2.92,0.02,0.4,0,1.66,0.25,0,1.25,0,0,0.03,3.22,9.75
1978,2.28,3.53,3.65,1.1,0,0,0,0,0.92,0.06,0.69,1,13.23
1979,4.73,1.28,2.61,0,0,0,0,0,0,0.11,0.22,0.09,9.04
1980,3.14,6.42,3.02,0.1,0.66,0,0,0,0,0,0,0.26,13.6
1981,1.64,0.58,2.11,0.17,0,0,0,0,0,0.4,1.28,0,6.18
1982,1.63,0.91,2.69,2.47,0.19,0,0,0,0.43,0,2.01,0.96,11.29
1983,2.89,2.74,5.22,0.8,0,0,0,0.58,0.05,0.87,0.88,1.41,15.44
1984,0,0.02,0.08,0,0,0.05,0.5,0.23,0.15,0,0.61,5.27,6.91
1985,0.22,0,0,0,0,0,0,0,0.04,0.19,0.9,0,1.35
1986,0,2.44,1.76,0.03,0,0,0.07,0.12,0,0.01,0,0.74,5.17
1987,0.63,0.47,0.37,0,0.2,0.71,0,0,0.49,2.05,1.36,0.99,7.27
1988,1.39,0.79,0.77,0.81,0.12,0.03,0.11,0.06,0,0,0.02,1.71,5.81
1989,0.47,1.29,0.06,0,0.24,0,0,0,0.46,0,0.11,0,2.63
1990,0.8,0.99,0.15,0.08,0.02,0.02,0,0.16,0,0,0.22,0.01,2.45
1991,1.2,1.11,4.17,0,0,0,0.21,0.01,0.11,0.31,0,2,9.12
1992,2.05,4.96,2.52,0.23,0.1,0,0.06,0.52,0,0.43,0,3.02,13.89
1993,7.5,4.86,0.99,0,0,0.37,0,0,0,0,0.46,0.26,14.44
1994,0.31,1.39,0.79,0.03,0.35,0,0,0,0,0.07,0.21,0.69,3.84
1995,5.35,0.44,2.25,0.13,0,0.07,0.03,0.02,0,0,0.03,0.73,9.05
1996,0.29,2.36,0.42,0,0,0,0,0.13,0,0.93,0.41,1.19,5.73
1997,0.81,0.05,0,0.14,0,0,0,0,1.2,0.2,0.91,2.46,5.77
1998,1.1,6.35,1.96,0.89,1.01,0,0,0,0.36,0.03,0.45,0.13,12.28
1999,0.35,0.23,0.19,0.83,0,0.06,0.57,0,0,0,0.03,0,2.26
2000,0.22,1.85,0.81,0.79,0,0,0,0.21,0,0.19,0,0,4.07
2001,1.69,2.51,0.63,0.83,0,0,0,0,0,0.17,0.75,0.56,7.14
2002,0.49,0.05,0.14,0.04,0.02,0,0,0,0,0,0.39,1.54,2.67
2003,0,3.79,2.03,0.77,0.41,0,0.09,0,0.01,0,0.55,0.96,8.61
2004,0.02,3.24,0.25,0.06,0,0,0,0,0,3.53,0.46,4.27,11.83
2005,3.91,5.6,0.93,0.96,0.25,0,0.22,0.1,0.73,1.76,0,0.08,14.54
2006,0.64,1.36,1.53,1.26,0,0.11,0,0,0,0.42,0,0.43,5.75
2007,0.11,0.42,0,0.03,0,0,0,0,0.62,0.01,0.75,0,1.94
2008,3.45,0,0,0,0,0,0,0,0,0,1.47,1.52,6.44
2009,0,2.81,0.23,0,0,0,0,0,0,0.04,0,1.19,4.27
2010,3.62,2.13,0.32,0.71,0,0,0.68,0,0,2.06,0.38,4.67,14.57
2011,-----,1.24,-----,-----,-----,-----,0,-----,-----,-----,0.38,0.4,0.78
2012,0.06,0.54,1.1,0.71,0,0,0,0.1,0,0,0.11,0.26,2.88
2013,0.5,0.2,0.23,0,0.15,0,0.02,0,0,0.37,1.32,0.1,2.89
2014,0.03,1.44,0.39,0.27,0.5,0,0,0,0.05,0,0.26,3.02,5.96
2015,1.1,0.49,0.22,0.11,0.12,0,1.23,0,0.5,0.87,0.38,0.68,5.7
2016,1.55,0.35,1.4,0.14,0.05,0,0,0,0,0.11,0.32,2.21,6.13
2017,3.01,1.82,0.04,0.1,0,0,0.01,0,0,0,0,0,4.98
2018,0.94,0.5,1.95,0,0,0,0,0,0,0,0.44,1.82,3.7
2019,2.02,3.36,1.18,0.01,0.28,0,0,0,0,0,0.51,4.5,7.36
2020,0.02,0.03,3.23,2.36,0,-----,0,0.1,0,0,0.25,0.74,6.73
2021,0.96,0,0.04,0,0,0,0,0,0,0.16,0,3.14,4.3
