YEAR(S),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
1949,3.52,1.68,1.71,0.08,1.19,0,0,0,0,0.07,2.55,4.27,15.07
1950,3.18,2.42,1.29,0.69,0.14,0.12,0.13,0,0.82,0.48,1.72,0.03,11.02
1951,3.74,1.32,1.02,2.35,0.19,0,0,0.21,0,0.67,1.93,6.74,18.17
1952,14.96,0.66,8.53,3.13,0,0,0,0,0.13,0,5.15,4.57,37.13
1953,1.53,0.3,0.99,1.22,0.02,0.07,0,0,0,0,1.36,0.34,5.83
1954,6.67,3.17,4.4,0.28,0.07,0.18,0,0,0,0,2.16,1.17,18.1
1955,5.75,1.29,1.51,1.63,2.42,0.07,0,0.05,0,0,1.81,1.65,16.18
1956,9.05,1.21,0,4.03,0.9,0,0,0.01,0,0.62,0,0.31,16.13
1957,6,3.12,1.89,2.08,1.43,0.18,0,0,0,1.97,0.69,3.76,21.12
1958,2.56,10.05,5.93,5.62,0,0,0,0.2,0.1,1.02,0.12,0,25.6
1959,2.84,5.3,0,0.65,0,0.03,0,0,0,0,0.05,1.63,10.5
1960,3.03,2.25,0.56,1.76,0.04,0.01,0,0,0,0.11,4.07,0.16,8.95
1961,1.51,0,0.88,0.45,0,0,0,0.06,0.04,0,1.12,2.66,6.72
1962,3.42,13.14,1.69,0,0.73,0.03,0,0,0,0.19,0,0.05,19.25
1963,0.48,4.84,2.35,1.91,0,0.36,0,0,1.51,0.99,2.44,0.02,14.9
1964,2.7,0.04,2.43,1.56,0.03,0.3,0,0,0,0.47,2.75,1.82,12.1
1965,0.86,0.48,1.47,6.83,0.15,0.09,0.07,0.07,1.24,0,13.74,6.75,31.75
1966,0.92,1.42,0.65,0.03,0.25,0,0,0,0.42,0.05,3.76,6.25,13.75
1967,6.59,0.12,3.66,5.04,0.18,0.13,0,0,0.27,0,8.43,1.51,25.93
1968,1.01,0.97,3.33,0.63,0.11,0.07,0.01,0,0,0.35,0.43,0.91,7.82
1969,16.74,11.3,1.82,0.84,0.14,0.22,0.01,0,0,0,1.41,0.11,32.59
1970,1.77,4.52,3.51,0.05,0,0.05,0,0,0,0.03,6.54,5.48,21.95
1971,1.39,1.1,0.78,0.46,0.5,0.05,0,0,0,0.23,0.35,7.05,11.91
1972,0.01,0.05,0,0.19,0.02,0.44,0,0.39,0.03,0.25,3.53,2.25,7.16
1973,4.09,11.15,4.34,0.03,0.07,0.06,0,0.03,0,0.26,-----,0.66,20.69
1974,10.49,0.1,4.61,0.4,0.09,0.01,0.01,0,0,0.92,0.02,3.99,20.64
1975,0.1,2.62,5.97,1.68,0.15,0.03,0,0,0.01,0.38,0.11,0.53,11.58
1976,0,4.8,2.33,1.15,0.12,0.15,0.03,0.24,3.93,1.44,0.83,0.75,15.77
1977,4.46,0.24,1.96,0,3.68,0.01,0,2.27,0,0.02,0.13,5.85,18.62
1978,8.99,9.37,12.86,-----,0.09,0,0,0,0.77,0.19,2.19,1.99,36.45
