YEAR(S),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
1949,1.94,2.41,5.68,0.11,0.58,0.04,0,0,0,0,2.23,3.85,16.84
1950,4.89,3.88,1.41,2.53,0.17,0,0.46,0,0.03,2.12,2.38,3.25,21.12
1951,3.42,1.31,1.03,1.48,0.13,0,0,0.04,0.05,0.93,1.96,8.39,18.74
1952,9.53,0.63,6.65,1.05,0.04,0.03,0.05,0,0,0,3.55,7.28,28.81
1953,2.49,0,1.4,1.99,0.15,0.04,0,0,0,0,3.45,0.42,9.94
1954,6.1,3.5,4.9,1.28,0.09,0.03,0,0,0,0,2.77,3.1,21.77
1955,5.62,1.96,0.18,2.67,0.99,0.01,0,0.01,0,0,1.93,10.88,24.25
1956,6.51,1.46,0.01,3.51,0.85,0,0,0,0,0.65,0,0.49,13.48
1957,4.64,3.92,1.17,3.3,1.57,0.24,0,0,0,1.68,0.55,4.23,21.3
1958,3.78,8.97,8.4,6.51,0.23,0,0,0,0.95,0,0.28,0.18,29.3
1959,2.69,6.6,0,0.95,0.07,0,0,0,0.73,0,0,0.6,11.64
1960,4.23,6.85,1.52,1.94,0.04,0,0,0,0,0.22,3.76,1.67,20.23
1961,1.97,0.91,1.74,0.49,0.33,0.04,0.01,0,0.01,0,4.6,2.14,7.64
1962,2.88,13.96,2.16,0.13,0.04,0.06,0,0,0,1.52,0.04,2.73,23.48
1963,3.56,8.08,4.61,3.84,0.33,0.09,0,0,0.19,1.94,4.09,0.15,26.88
1964,3.01,0.12,2.1,1.69,1.03,0.37,0.02,0,0.1,1.43,3.79,5.78,19.44
1965,4.1,0.42,2.29,3.91,0,0,0,0,0,0,7.8,3.23,21.75
1966,1.81,1.15,0.29,0.12,0,0.01,0.15,0,1.11,0,4.4,7.7,16.74
1967,6.04,0.58,6.38,6.9,0.36,0.13,0,0,1.2,0,3.83,3.05,28.47
1968,2.43,2.07,3.7,1.31,0.35,0,0,0,0.01,3.08,2.1,3.92,18.97
1969,24.63,15.16,1.88,3.72,0,0.03,0,0,0.1,0.62,0.89,1.73,48.76
1970,7.28,1.42,4.11,0.18,0,0.07,0,0,0,0.11,6.02,8.51,27.7
1971,1.89,0.42,0.73,1.56,1.22,0,0,0,0.19,0.36,2,7.03,15.4
1972,1.03,0.86,0,0.89,0.06,0,0.04,0,0,2.72,6.79,2,14.39
1973,13.83,9.67,4.94,0,0.02,0,0,0,0.07,2.18,3.55,4.9,39.16
1974,8.17,0.32,8.97,2.81,0,0,0.02,0,0,1.96,0.75,4.93,27.93
1975,0.26,8.35,5.9,2,0,0,0,0,0.02,2.23,0.36,0.18,19.3
1976,0.01,4.17,2.54,0.88,0,0.03,0,1.41,3.87,0.5,1.03,2.49,16.93
1977,2.01,0.08,2.13,0.06,3.29,0,0,0,0.03,0.05,0,8.49,16.14
1978,15.76,10.71,8.09,4.37,0,0.07,0,-----,1.18,0,2.43,2.24,44.85
1979,4.62,5.99,4.03,0.24,0,0,0,0,0.2,1.28,1.21,4.84,22.41
1980,9.52,11.91,-----,0.7,0.43,0,0.29,0,0,0,0.01,2.1,24.96
1981,6.4,2.15,7.48,0.34,0,0,0,0,0,1.59,2.97,2.04,22.97
1982,5.87,1.65,8.89,4.12,0.01,0.17,0,0,1.19,1.74,6.28,4.97,34.89
1983,10.05,10.53,8.61,3.3,0.61,0,0,0.91,0.15,2.47,6.54,6.72,43.35
1984,0.18,0.97,1.02,0.82,0,0,0,0.08,0,1.27,3.61,3.76,11.71
1985,0.72,-----,3.07,0.3,0.02,0,0.04,0.02,0.04,1.05,4.39,2.03,11.68
1986,2.65,11.79,7.26,0.16,0,-----,0.01,0,1.14,0,0.28,1.51,24.8
1987,2.48,2.75,2.43,-----,-----,0,0,0,0,2.76,1.49,4.95,12.61
1988,2.87,2.67,1.29,-----,0.27,0.18,0.02,0,-----,0,1.85,8.08,9.15
1989,0.98,1.62,2.3,0.67,0.32,0,0,0,1.69,-----,0.55,0,8.13
1990,-----,2.98,0.7,0.48,1.42,0,0,0,0.56,-----,0.36,0.43,6.93
1991,0.81,2.34,12.82,0.43,0,0.8,0,0.07,0,0.44,0.58,4.49,22.78
1992,3.43,9.84,3.15,0.1,0,0.04,0.44,0,0,1.29,0,5.45,23.74
1993,10.51,8.61,4.03,0.25,0.23,0.09,0,0,0,0.22,1.89,2.2,28.03
