YEAR(S),JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
1949,3.61,1.94,2.03,0.05,0.82,0,0,0.01,0,0,1.63,3.96,14.05
1950,3.82,0.4,1.17,0.56,0.01,0.03,0,0,0.26,0.68,1.35,0.03,8.28
1951,3.7,0.84,0.59,2.11,0.03,0.01,0,0.26,0.02,0.48,1.56,6.57,16.17
1952,11.71,0.35,9.35,1.91,0,0,0,0,0.02,0,4.14,3.81,31.29
1953,1.66,0.02,0.53,2.26,0,0.05,0,0,0,0,1.47,0.09,6.08
1954,5.91,6.35,3.97,0.21,0.03,0.02,0,0,0,0,1.88,1.54,19.91
1955,5.4,0.99,0.79,2.71,0.72,0,0,0,0,0,1.91,1.88,14.4
1956,8.9,1.42,0,3.49,0.56,0,0,0,0,0.17,0,0.28,14.82
1957,7.07,3.83,0.98,1.88,0.59,0.12,0,0,0,1.42,0.53,3.41,19.24
1958,2.46,8.55,5.71,3.02,0,0,0,0.02,0.05,0.01,0.05,0.02,19.89
1959,1.98,5.48,0,0.86,0,0.03,0,0,0,0,0.01,1.34,8.36
1960,4.12,2.96,0.25,2.5,0,0,0,0,0,0,3.3,0.3,12.88
1961,1.47,0,0.77,0.28,0,0,0,0.23,0.05,0,2.61,1.83,7.01
1962,3.32,15.66,1.29,0,0.05,0,0,0,0,0.33,0,0,20.65
1963,0.39,3.3,3.26,1.78,0.01,0.15,0,0.29,0.86,0.65,3.35,0.03,14.07
1964,1.58,0,1.92,0.7,0,0.34,0,0,0,0.49,1.85,3.43,10.31
1965,0.86,0.49,1.73,4.86,0,0.09,0.02,0.16,0.18,0,11.3,4.82,24.51
1966,1.04,1.68,0.27,0,0.65,0,0.02,0,0.24,0.05,3.16,5.55,12.66
1967,5.09,0.08,2.95,3.9,0.13,0,0,0,0.9,0,8.63,2.53,24.21
1968,1.02,0.41,4.81,0.57,0,0,0.07,0.34,0,0.52,0.39,1.41,9.54
1969,17.47,7.02,1.01,0.55,0.04,0,0.25,0,0,0,1.97,0.02,28.33
1970,2.05,3.11,1.86,0,0,0.02,0,0,0,0.03,6.32,5.58,18.97
1971,1.14,0.55,0.9,0.9,0.29,0,0,0,0.02,0.06,0.4,7.46,11.72
1972,0,0.13,0,0.04,0.02,0.19,0,0.15,0,0.29,3.89,1.96,6.67
1973,4.85,8.55,3.15,0,0.02,0,0,0,0.06,0.28,1.92,1.49,20.32
1974,9.86,0.16,4.04,0.07,0.03,0,0,0,0,0.51,0.01,5.21,19.89
1975,0.02,4.29,4.07,1.32,0.01,0,0,0,0.09,0.5,0,0.08,10.38
1976,0,2.82,1.25,0.63,0,0.19,0,0.04,2.33,0.03,0.45,1.39,9.13
1977,4.07,0.27,1.42,0,3.7,0.11,0,3.23,0.05,0.02,0.12,-----,12.99
1978,-----,10.4,-----,-----,0,0,0,0.09,0.58,0.09,1.89,1.35,14.4
1979,7.12,3.15,5.32,0,0.03,0.01,0,0,0.11,0.66,0.42,1.14,17.96
1980,-----,18.37,4.8,0.92,0.19,0,0.01,0,0,0,0,2.05,26.34
1981,2.71,1.67,4.49,0.46,0.01,0,0,0,0.01,0.38,2.03,0.73,12.49
1982,2.57,0.52,5.93,2.25,0.06,0.01,0,0.07,1.16,0.29,4.83,1.61,19.3
1983,8.99,6.4,9.52,4.26,0.05,0.01,0,0.98,1.22,1.95,3.66,4.05,41.09
1984,0.04,0,0.27,0.47,0,0.03,0,0.03,0.19,0.21,1.82,4.19,7.25
1985,0.78,2.46,2.02,0,0.11,0,0,0,0.1,0.46,5.05,0.75,11.73
1986,2.77,8.78,5.17,0.46,0,0,0.03,0,2.81,0.21,1.39,0.34,21.96
1987,1.59,1.17,1.36,0.02,0,0.12,0.09,0,0.01,4.76,1.12,2.03,12.27
1988,2.27,2.45,0.54,2.93,0,0,0,0.04,0.01,0,1.13,4.84,14.21
1989,0.62,2.04,1.29,0,0.03,0,0,0,0.22,0.52,0.54,0,5.26
1990,1.2,5.92,0.16,0.68,1.13,0,0,0.04,0,0,0.72,0.03,9.88
1991,1.24,3.43,6.64,0,0,0.03,0.16,0.02,0,0.37,0.01,3.73,15.63
1992,2.51,9.2,6.97,0.1,0.04,0,0.16,0,0,1.25,0,-----,20.23
1993,14.19,13.11,2.95,0,0,1.29,0,0,0.01,0.27,0.65,1.1,33.57
1994,0.28,5.37,1.34,0.53,0.19,0,0,0,0,0.24,0.86,1.68,10.49
1995,20.11,2.15,8.39,0.87,0.61,0.44,0.01,0,0.03,0.01,0.02,1.94,34.58
1996,2.17,5.94,2.56,0.88,0.09,0,0,0,0,1.79,2.08,6.82,22.33
1997,6.89,0.17,0,0,0,0,0,0,0.28,0,2.95,4.47,14.76
1998,4.56,20.51,5.28,1.66,3.68,0.16,0,0,0.08,0.01,1.98,0.59,38.51
1999,1.56,0.54,2.15,2.74,0,0.77,0.02,0,0.02,0,0.66,0.03,8.49
2000,1.28,7.6,3,1.85,0.01,0,0,0.11,0.15,1.84,0,0.02,15.86
2001,7.76,10.66,1.98,1.76,0,0.01,0.01,0,0,0.09,2.63,1.45,26.35
2002,1.47,0.31,0.31,0.1,0.09,0.01,0,0,0.03,0.03,2.35,4.42,9.12
2003,0.02,5.52,4.86,0.76,1.43,0.07,0.02,0.06,0,0.01,0.92,1.88,15.55
2004,0.83,6.96,0.81,0.05,0,0,0,0,0,5.24,0.24,7.54,21.67
2005,12.4,11.91,2.58,1.32,0.47,0,0,0,0.18,1.13,0.61,1.56,32.16
2006,2.78,2.86,3.63,3.26,0.86,0.01,0,0,0,0.06,0.14,0.67,14.27
2007,0.58,1.1,0.01,0.5,0,0,0.01,0,0.84,1.13,0.57,2,6.74
2008,8.89,2.48,0.04,0.07,0.21,0,0,0,0,0.01,1.25,3.57,16.52
2009,0.76,4.54,0.46,0.03,0,0.18,0,0,0,3.11,0,3.86,12.94
2010,5.89,6.33,0.51,1.18,0.18,0.01,0.03,0,0,1.87,0.69,11.23,27.92
2011,0.93,3.26,6.27,0,0.64,0.04,0,0,0.07,1.73,2.36,0.79,16.09
2012,1.53,0.24,2.27,1.82,0.01,0,0.03,0,0,0.07,1.77,2.69,10.43
2013,1.46,0.17,0.96,0,0.48,0,0.04,0,0,0.12,0.7,0.24,4.17
2014,0.04,3.74,0.95,0.22,0,0,0,0.02,0,0,0.5,4.33,9.8
2015,1.44,0.61,1.13,0.35,0.79,0.04,0.23,0,2.62,0.01,0.04,0.93,8.19
2016,3.28,0.69,2.23,0.31,0.05,0.01,0,0,0,0.32,1.27,5.02,13.18
2017,8.99,5.55,0.29,0.2,0.15,0.06,0,0,0.12,0.01,0.11,0,15.48
2018,1.67,0.11,5.12,0.03,0.39,0,0.18,0,0,0.69,2.29,2.6,13.08
2019,8.18,6.44,3.26,0.04,2.02,0.01,0,0,0.05,0,1.93,5.27,27.2
2020,0.46,0.36,4.96,2.57,0.12,0,0,0,0,0,0.02,1.93,10.42
2021,1.73,0,1.07,0,0,0,0.12,0.03,0.04,0.83,0,10.76,14.58
