Position,UCB,UCD,UCI,UCLA,UCM,UCR,UCSB,UCSC,UCSD,UCSF,UC Total,,Total employees
Medical center and related personnel,0,5,1,9,0,0,0,0,1,9,25,0.1879699248,99
Athletics,3,0,0,1,0,1,1,1,0,0,7,,
Professors/Faculty,3,1,2,6,1,1,1,1,0,0,16,,
Facailities,1,0,0,0,0,0,0,0,2,3,6,,
Dining/Housing,3,0,0,1,2,0,0,3,2,2,13,,
Unknown:,2,5,4,2,2,4,4,2,0,6,31,98,
Administration,2,,1,0,0,0,0,0,0,0,3,,
Contractor,1,,0,0,0,0,0,0,0,0,1,99,
Other ,3,4,3,6,2,2,2,1,2,6,31,,
,,,,,,,,,,,133,,
Punishments,,,,,,,,,,,,,
Suspension:,2,4,0,2,2,2,0,0,1,2,15,,total number of punishments
Termination: ,6,2,9,10,0,4,2,2,4,7,46,,126
Sexual Harassment Training,4,0,0,5,3,0,0,0,1,2,15,,
Warning,4,4,2,2,2,0,1,1,1,4,21,,
Written Censure,0,0,0,1,1,0,0,0,0,1,3,,
Ineligible for Promotion,1,0,0,2,0,0,0,0,0,1,4,,
Demotion,2,1,0,1,0,0,0,0,1,0,5,,
Unknown,2,1,0,1,0,0,2,0,2,1,9,,
Voluntary Resignation,3,1,2,1,0,1,0,0,0,0,8,,
Pay Reduction,2,2,0,1,0,0,0,0,1,0,6,,
Other,1,0,0,1,0,0,0,1,0,2,5,,
,,,,,,,,,,,137,,
Gender of Complainant/Respondent,,,,,,,,,,,,,
F/M,13,10,2,20,3,6,6,4,6,21,91,,
M/M,3,2,0,2,0,0,0,2,0,1,10,,
U/M,2,1,3,0,2,1,0,0,2,3,14,,
M/F,0,0,0,2,1,0,0,0,0,0,3,,
F/F,0,1,0,1,0,1,0,0,0,1,4,,
U/F,1,1,0,0,1,0,0,0,2,0,5,,
U/U,0,0,3,0,0,0,0,0,0,0,3,,
M/U,0,0,1,0,0,0,0,0,0,0,1,,
F/U,0,0,0,0,0,0,0,0,0,0,0,,
