Punishment,UCB,UCD,UCI,UCLA,UCM,UCR,UCSB,UCSC,UCSD,UCSF,UC Total,,Total employee
Suspension:,2,4,0,2,2,2,0,0,1,2,15,,total number of punishments
Termination: ,6,2,9,10,0,4,2,2,4,7,46,,126
Sexual Harassment Training,4,0,0,5,3,0,0,0,1,2,15,,
Warning,4,4,2,2,2,0,1,1,1,4,21,,
Written Censure,0,0,0,1,1,0,0,0,0,1,3,,
Ineligible for Promotion,1,0,0,2,0,0,0,0,0,1,4,,
Demotion,2,1,0,1,0,0,0,0,1,0,5,,
Unknown,2,1,0,1,0,0,2,0,2,1,9,,
Voluntary Resignation,3,1,2,1,0,1,0,0,0,0,8,,
Pay Reduction,2,2,0,1,0,0,0,0,1,0,6,,
Other,1,0,0,1,0,0,0,1,0,2,5,
