stat,stat_value,season,school,player
PPG,37.64,1990,U.S. International,Kevin Bradshaw
PPG,36.29,1987,Bradley,Hersey Hawkins
PPG,35.34,1989,Loyola Marymount,Bo Kimble
PPG,32.86,1986,Army,Kevin Houston
PPG,32.74,1988,Loyola Marymount,Hank Gathers
PPG,32.68,1990,Mississippi Valley State,Alphonso Ford
PPG,31.25,1989,U.S. International,Kevin Bradshaw
PPG,31.21,1989,Ohio,Dave Jamerson
PPG,30.29,1993,Purdue,Glenn Robinson
PPG,30.16,1988,Louisiana State,Mahmoud Abdul-Rauf
PPG,30.1,1996,Long Island University,Charles Jones
PPG,30.09,2018,Campbell,Chris Clemons
PPG,29.97,2016,Central Michigan,Marcus Keene
PPG,29.93,1989,Mississippi Valley State,Alphonso Ford
PPG,29.68,1989,Alabama State,Steve Rogers
PPG,29.64,1990,Milwaukee,Von McDade
PPG,29.45,1985,Wagner,Terrance Bailey
PPG,29.38,1990,Alabama State,Steve Rogers
PPG,29.29,2001,Virginia Military Institute,Jason Conley
PPG,29.26,1992,Texas-Rio Grande Valley,Greg Guy
PPG,29.15,2000,Centenary (LA),Ronnie McCollum
PPG,29.07,1992,Nevada-Las Vegas,Isaiah Rider
PPG,29.03,1986,Ohio State,Dennis Hopson
PPG,29,1967,UCLA,Lew Alcindor
PPG,29,1989,Loyola Marymount,Hank Gathers
PPG,28.97,1997,Long Island University,Charles Jones
PPG,28.93,1994,TCU,Kurt Thomas
PPG,28.86,2010,Brigham Young,Jimmer Fredette
PPG,28.75,1989,Tennessee State,Darryl Brooks
PPG,28.65,2008,Davidson,Stephen Curry
PPG,28.54,1992,Tennessee Tech,John Best
PPG,28.52,1990,Loyola Marymount,Terrell Lowery
PPG,28.45,1987,Lehigh,Daren Queenan
PPG,28.39,1990,Southern,Bobby Phills
PPG,28.38,1988,La Salle,Lionel Simmons
PPG,28.29,1992,Hartford,Vin Baker
PPG,28.22,1986,Navy,David Robinson
PPG,28.14,1986,Wagner,Terrance Bailey
PPG,28.12,2006,Virginia Military Institute,Reggie Williams
PPG,28.1,1991,Morehead State,Brett Roberts
PPG,28.06,2005,Gonzaga,Adam Morrison
PPG,28.04,1993,Holy Cross,Rob Feaster
PPG,28.03,1988,Mississippi,Gerald Glass
PPG,27.96,2002,New Mexico,Ruben Douglas
PPG,27.96,1987,Tennessee State,Anthony Mason
PPG,27.93,2002,Eastern Illinois,Henry Domercant
PPG,27.8,2007,Virginia Military Institute,Reggie Williams
PPG,27.79,2019,Marquette,Markus Howard
PPG,27.78,1989,Louisiana State,Mahmoud Abdul-Rauf
PPG,27.71,1989,Georgia Tech,Dennis Scott
PPG,27.64,1990,Louisiana State,Shaquille O'Neal
PPG,27.59,1991,Hartford,Vin Baker
PPG,27.59,2007,Niagara,Charron Fisher
PPG,27.5,2008,Tennessee-Martin,Lester Hudson
PPG,27.46,1991,Mississippi Valley State,Alphonso Ford
PPG,27.42,1985,Michigan State,Scott Skiles
PPG,27.38,2017,Oklahoma,Trae Young
PPG,27.32,1991,La Salle,Randy Woods
PPG,27.29,1991,Alabama State,Steve Rogers
PPG,27.29,1990,Marshall,John Taft
PPG,27.17,1989,Duquesne,Mark Stevenson
PPG,27.17,1986,Bradley,Hersey Hawkins
PPG,27.15,1993,Southern,Jervaughn Scales
PPG,27.09,2018,Hofstra,Justin Wright-Foreman
PPG,27.07,2015,Howard,James Daniel
PPG,27.06,2006,Jackson State,Trey Johnson
PPG,27,1995,Texas Southern,Kevin Granger
PPG,26.97,1990,NC State,Rodney Monroe
PPG,26.96,1985,U.S. International,Joe Yezbak
PPG,26.86,2002,Oakland,Mike Helms
PPG,26.86,1993,Western Carolina,Frankie King
PPG,26.78,2005,Duke,J.J. Redick
PPG,26.76,1991,Maryland,Walt Williams
PPG,26.75,2019,UTSA,Jhivvan Jackson
PPG,26.72,2003,Saint Peter's,Keydren Clark
PPG,26.69,2013,Creighton,Doug McDermott
PPG,26.68,1992,Jackson State,Lindsey Hunter
PPG,26.66,1988,East Carolina,Blue Edwards
PPG,26.64,1988,Air Force,Raymond Dudley
PPG,26.61,1990,Oregon,Terrell Brandon
PPG,26.59,1993,Colgate,Tucker Neale
PPG,26.56,1988,Virginia Tech,Bimbo Coles
PPG,26.54,1994,Western Carolina,Frankie King
PPG,26.47,1989,La Salle,Lionel Simmons
PPG,26.45,1995,Murray State,Marcus Brown
PPG,26.42,1993,Vermont,Eddie Benton
PPG,26.38,1988,Brigham Young,Michael Smith
PPG,26.38,2006,Rice,Morris Almond
PPG,26.35,2001,Eastern Illinois,Henry Domercant
PPG,26.31,1994,Grambling,Kenny Sykes
PPG,26.3,1995,Austin Peay,Bubba Wells
PPG,26.3,1991,Southern California,Harold Miner
PPG,26.28,1989,Loyola (IL),Keith Gailes
PPG,26.25,2005,Saint Peter's,Keydren Clark
PPG,26.24,2007,Kansas State,Michael Beasley
PPG,26.21,1986,Butler,Darrin Fitzgerald
PPG,26.21,2001,Texas-Rio Grande Valley,Mire Chatman
PPG,26.19,2008,Central Florida,Jermaine Taylor
PPG,26.19,1994,Illinois-Chicago,Sherell Ford
PPG,26.17,2011,Oakland,Reggie Hamilton
PPG,26.15,1994,Southern,Tim Roberts
FT_pct,0.975,2003,Missouri State,Blake Ahearn
FT_pct,0.961,2006,Gonzaga,Derek Raivio
FT_pct,0.9546,2016,Oklahoma State,Phil Forte
FT_pct,0.9533,2003,Duke,J.J. Redick
FT_pct,0.9512,2002,Belmont,Steve Drabyn
FT_pct,0.9511,2009,Appalachian State,Donald Sims
FT_pct,0.95,1982,UCLA,Rod Foster
FT_pct,0.9487,1999,Pacific,Clay McKnight
FT_pct,0.9479,2002,Lehigh,Matt Logie
FT_pct,0.9478,2019,Cal State Northridge,Terrell Gomez
FT_pct,0.9477,2006,Butler,A.J. Graves
FT_pct,0.9474,2004,Missouri State,Blake Ahearn
FT_pct,0.9449,2013,San Diego,Johnny Dee
FT_pct,0.9444,2020,UNC Wilmington,Ty Gadsden
FT_pct,0.9438,2017,Fairleigh Dickinson,Darnell Edge
FT_pct,0.9438,1993,Marist,Danny Basile
FT_pct,0.9425,2013,Oakland,Travis Bader
FT_pct,0.9417,2000,Villanova,Gary Buchanan
FT_pct,0.9405,2020,Ohio State,CJ Walker
FT_pct,0.9388,2014,Wyoming,Riley Grabau
FT_pct,0.9383,2016,Princeton,Devin Cannady
FT_pct,0.9378,2004,Duke,J.J. Redick
FT_pct,0.9375,2017,Marquette,Markus Howard
FT_pct,0.9375,2007,St. Bonaventure,Tyler Relph
FT_pct,0.936,2005,Missouri State,Blake Ahearn
FT_pct,0.9355,2021,Davidson,Foster Loyer
FT_pct,0.9355,2012,Davidson,Nik Cochran
FT_pct,0.9351,1993,Troy,Dandrea Evans
FT_pct,0.9333,2015,Incarnate Word,Jontrell Walker
FT_pct,0.9329,2009,California,Jerome Randle
FT_pct,0.9326,2003,Iowa State,Jake Sullivan
FT_pct,0.9314,2000,Tennessee Tech,Brent Jolly
FT_pct,0.9307,2000,Stanford,Ryan Mendez
FT_pct,0.9302,2013,South Carolina,Brenton Williams
FT_pct,0.93,2019,Wofford,Nathan Hoover
FT_pct,0.9292,2016,Florida International,Donte McGill
FT_pct,0.9286,2020,Montana,Robby Beasley
FT_pct,0.9286,2002,Oklahoma,Hollis Price
FT_pct,0.9282,2010,Mississippi,Chris Warren
FT_pct,0.9268,2021,Arkansas-Pine Bluff,Shawn Williams
FT_pct,0.9265,1995,Sam Houston State,Mike Dillard
FT_pct,0.9263,2016,Marquette,Andrew Rowsey
FT_pct,0.9259,2010,Harvard,Oliver McNally
FT_pct,0.9259,1993,Valparaiso,Casey Schmidt
FT_pct,0.9255,1993,Liberty,Matt Hildebrand
FT_pct,0.9254,2014,Oregon,Joe Young
FT_pct,0.9252,2012,UNC Asheville,Keith Hornsby
FT_pct,0.925,2021,Loyola Marymount,Joe Quintana
FT_pct,0.925,2006,Missouri State,Blake Ahearn
FT_pct,0.9247,2015,Wofford,Fletcher Magee
FT_pct,0.9241,2018,Nicholls State,Gavin Peppers
FT_pct,0.9238,2018,Texas Tech,Davide Moretti
FT_pct,0.9238,2006,Central Connecticut State,Tristan Blackwood
FT_pct,0.9236,2021,South Dakota,Mason Archambault
FT_pct,0.9231,2019,Kentucky,Immanuel Quickley
FT_pct,0.9231,1997,Lamar,Matt Sundblad
FT_pct,0.9221,2001,Nebraska,Cary Cochran
FT_pct,0.9216,2010,Houston,Zamal Nixon
FT_pct,0.9213,1993,James Madison,Kent Culuko
FT_pct,0.9211,2016,Niagara,Kahlil Dukes
