stat,player,year,stat_value
Points, Steve Klosterman ,2007,553.5
Points, Paul Johnson ,2005,551.0
Points, Garrett Muagututia ,2008,547.0
Points, Steve Klosterman ,2006,528.0
Points, Garrett Muagututia ,2010,509.5
Points, Gonzalo Quiroga ,2013,504.0
Points, Gonzalo Quiroga ,2014,500.0
Points,  Christian Hessenauer ,2018,476.5
Points,  Paul George ,2006,474.0
Points, Nick Scheftic ,2006,457.5
Kills, Garrett Muagututia ,2008,473
Kills, Steve Klosterman ,2007,472
Kills, Steve Klosterman ,2006,466
Kills, Garrett Muagututia ,2010,446
Kills,  Matt Komer ,2002,434
Kills, Gonzalo Quiroga ,2013,420
Kills, Paul Johnson ,2005,413
Kills, Gonzalo Quiroga ,2014,411
Kills,  Cameron Mount ,2002,408
Kills, Paul George ,2006,400
Total_attacks, Steve Klosterman ,2006,"1,016"
Total_attacks, Steve Klosterman ,2007,994
Total_attacks, Garrett Muagututia ,2007,958
Total_attacks,  Gonzalo Quiroga ,2013,897
Total_attacks, Gonzalo Quiroga ,2014,889
Total_attacks,  Matt Komer ,2002,871
Total_attacks, Robart Page ,2014,848
Total_attacks,  Cameron Mount ,2002,835
Total_attacks, Christian Hessenauer ,2018,824
Total_attacks, Paul George ,2006,806
Set_assists,  Rich Nelson ,2002,"1,546"
Set_assists,  Rich Nelson ,2001,"1,477"
Set_assists, Rich Nelson ,2003,"1,323"
Set_assists,  Micah Ma’a ,2018,"1,319"
Set_assists, Matt Wade ,2008,"1,068"
Set_assists, Dennis Gonzalez ,2004,"1,066"
Set_assists, Alex Scattareggia ,2011,"1,057"
Set_assists, Kyle Caldwell ,2012,"1,023"
Set_assists, Dennis Gonzalez ,2006,974
Set_assists, Micah Ma’a ,2019,851
Aces,  Micah Ma’a ,2019,67
Aces,Micah Ma’a ,2016,58
Aces, Micah Ma’a ,2018,56
Aces,Gonzalo Quiroga ,2014,56
Aces,Adam Naeve ,2001,56
Aces, Gonzalo Quiroga ,2013,52
Aces, Mark Williams ,2001,51
Aces, Paul Johnson ,2005,49
Aces, Gonzalo Quiroga ,2012,47
Aces, Daenan Gyimah ,2018,46
Aces,Matt Komer ,2002,46
Digs, Tony Ker ,2008,368
Digs, Tony Ker ,2006,318
Digs,  Adam Shrader ,2002,303
Digs, Paul George ,2006,272
Digs,  Tom Hastings ,2010,270
Digs, Tony Ker ,2005,269
Digs, Adam Shrader ,2004,267
Digs, Tony Ker ,2007,265
Digs, Adam Shrader ,2003,263
Digs, Adam Shrader ,2001,256
Block_solos, Paul Johnson ,2005,19
Block_solos, Nick Scheftic ,2006,18
Block_solos, Allan Vince ,2005,16
Block_solos, Merrick McHenry ,2021,15
Block_solos,Paul Johnson ,2004,15
Block_solos,Chris Peña ,2003,15
Block_solos, Daenan Gyimah ,2018,14
Block_solos,Paul George ,2006,14
Block_solos,Garrett Muagututia ,2008,14
Block_solos,Sean O’Malley ,2009,14
Block_solos,Thomas Amberg ,2011,14
Block_assists, Thomas Amberg ,2012,141
Block_assists, Paul Johnson ,2005,140
Block_assists, Daenan Gyimah ,2018,137
Block_assists,  Adam Naeve ,2001,125
Block_assists,  Scott Morrow ,2001,121
Block_assists, Mitch Stahl ,2016,114
Block_assists, Jamie Diefenbach ,2007,111
Block_assists,David Russell ,2006,111
Block_assists, Nick Scheftic ,2006,109
Block_assists, Jamie Diefenbach ,2008,108
Block_assists,Thomas Amberg ,2009,108
Total_blocks, Paul Johnson ,2005,159
Total_blocks, Daenan Gyimah ,2018,151
Total_blocks, Thomas Amberg ,2012,150
Total_blocks,  Adam Naeve ,2001,135
Total_blocks,  Scott Morrow ,2001,131
Total_blocks, Nick Scheftic ,2006,127
Total_blocks, Mitch Stahl ,2016,124
Total_blocks,David Russell ,2006,124
Total_blocks, Jamie Diefenbach ,2007,123
Total_blocks, Thomas Amberg ,2009,118
Hit_pct, Daenan Gyimah ,2018,0.528
Hit_pct,  Paul Johnson ,2005,0.491
Hit_pct, Thomas Amberg ,2012,0.486
Hit_pct, Mitch Stahl ,2016,0.471
Hit_pct, Weston Dunlap ,2012,0.461
Hit_pct, Spencer Rowe ,2013,0.459
Hit_pct, Chris Peña ,2003,0.458
Hit_pct,  Adam Naeve ,2001,0.447
Hit_pct, Chris Peña ,2004,0.446
Hit_pct,Weston Dunlap ,2011,0.446
Kills_per_set, Steve Klosterman ,2007,4.29
Kills_per_set, Steve Klosterman ,2006,4.12
Kills_per_set, Garrett Muagututia ,2008,4.04
Kills_per_set, Cole Ketrzynski ,2021,3.98
Kills_per_set, Garrett Muagututia ,2010,3.90
Kills_per_set,  Steve Klosterman ,2004,3.88
