stat,player,year,sets,stat_value
Kills, Kristee Porter ,2000,124,741
Kills, Karsta Lowe ,2014,118,703
Kills, Annett Buckner ,1994,132,639
Kills, Patty Orozco ,1983,,627
Kills, Kara Milling ,1997,110,623
Kills, Natalie Williams ,1991,118,615
Kills, Natalie Williams ,1990,132,610
Kills, Kristee Porter ,1998,110,609
Kills, Liz Masakayan ,1985,110,595
Kills, Kristee Porter ,1999,107,589
Kills_per_set, Kristee Porter ,2000,124,5.98
Kills_per_set, Karsta Lowe ,2014,118,5.96
Kills_per_set, Kara Milling ,1997,110,5.66
Kills_per_set, Kristee Porter ,2001,56,5.64
Kills_per_set, Kristee Porter ,1998,110,5.54
Kills_per_set, Kristee Porter ,1999,107,5.5
Kills_per_set, Liz Masakayan ,1985,110,5.41
Kills_per_set, Natalie Williams ,1991,118,5.21
Kills_per_set, Natalie Williams ,1992,96,5.14
Kills_per_set, Annett Buckner ,1994,132,4.84
Total_attempts, Kristee Porter ,2000,124,1620
Total_attempts, Karsta Lowe ,2014,118,1488
Total_attempts, Annett Buckner ,1994,132,1426
Total_attempts, Rachael Kidder ,2011,122,1420
Total_attempts, Ali Daley ,2007,118,1413
Total_attempts, Kristee Porter ,1998,110,1379
Total_attempts, Kara Milling ,1997,110,1343
Total_attempts, Liz Masakayan ,1985,110,1333
Total_attempts,0 Natalie Williams ,1990,132,1333
Total_attempts, Jordan Anderson ,2015,118,1305
Hitting_percentage, Nana Meriwether ,2006,,0.448
Hitting_percentage, Elisabeth Bachman ,1999,,0.429
Hitting_percentage, Natalie Williams ,1992,,0.416
Hitting_percentage, Elaine Youngs,1992,,0.389
Hitting_percentage, Daiva Tomkus ,1988,,0.388
Hitting_percentage, Alyson Randick ,1994,,0.382
Hitting_percentage, Nana Meriwether ,2005,,0.3799
Hitting_percentage, Marissa Hatchett ,1992,,0.3797
Hitting_percentage, Mariana Aquino ,2013,,0.377
Hitting_percentage, Tamika Johnson ,1999,,0.375
Assists, Erika Selsor ,2000,124,1824
Assists, Ann Boyer ,1987,134,1778
Assists, Nellie Spicer ,2006,126,1721
Assists, Ann Boyer ,1986,133,1684
Assists, Kim Coleman ,1997,110,1646
Assists, Holly McPeak ,1990,129,1601
Assists, Julie Bremner ,1993,117,1575
Assists, Nellie Spicer ,2007,120,1550
Assists, Erika Selsor ,1999,108,1525
Assists, Erika Selsor ,1998,110,1506
Assists_per_set, Kim Coleman ,1997,110,14.96
Assists_per_set, Erika Selsor ,2000,124,14.71
Assists_per_set, Julie Bremner ,1992,103,14.25
Assists_per_set, Erika Selsor ,1999,108,14.12
Assists_per_set, Kelly Flannigan ,1995,99,13.87
Assists_per_set, Erika Selsor ,1998,110,13.69
Assists_per_set, Nellie Spicer ,2006,126,13.66
Assists_per_set, Julie Bremner ,1993,117,13.46
Assists_per_set, Erika Selsor ,2001,103,13.39
Assists_per_set, Ann Boyer ,1987,134,13.27
Aces, Liz Masakayan ,1983,,98
Aces, Daiva Tomkus ,1987,134,91
Aces, Merja Connolly ,1983,,88
Aces, Linda Robertson ,1981,,74
Aces, Liz Masakayan ,1984,116,73
Aces, Daiva Tomkus ,1988,114,66
Aces, Jeanne Beauprey ,1981,,58
Aces,Patty Orozco ,1983,,58
Aces, Michelle Boyette ,1983,,56
Aces, Lisa Ettesvold ,1985,126,54
Aces,Lauren Fendrick ,2000,115,54
Aces_per_set, Daiva Tomkus ,1987,134,0.68
Aces_per_set, Liz Masakayan ,1984,116,0.63
Aces_per_set, Daiva Tomkus ,1988,114,0.58
Aces_per_set, Elaine Youngs ,1992,99,0.52
Aces_per_set, Lauren Fendrick ,2000,115,0.469
Aces_per_set, Ashley Bowles ,2001,103,0.466
Aces_per_set, Kristee Porter ,2001,56,0.464
Aces_per_set, Elaine Youngs ,1989,84,0.45
Aces_per_set, Lisa Ettesvold ,1985,126,0.429
Aces_per_set, Annett Buckner ,1992,54,0.426
Digs, Chrissie Zartman ,2004,120,708
Digs, Taylor Formico ,2016,128,659
Digs, Lainey Gera ,2011,125,615
Digs, Lainey Gera ,2009,121,594
Digs, Jessica Fine ,2008,122,590
Digs, Lainey Gera ,2010,115,566
Digs, Taylor Formico ,2015,123,554
Digs, Chrissie Zartman ,2003,122,551
Digs, Zana Muno ,2017,108,537
Digs, Chrissie Zartman ,2002,118,535
Digs_per_set, Chrissie Zartman ,2004,120,5.9
Digs_per_set, Taylor Formico ,2016,128,5.15
Digs_per_set,Zana Muno ,2018,101,5.15
Digs_per_set, Zana Muno ,2017,108,4.97
Digs_per_set, Lainey Gera ,2010,115,4.92
Digs_per_set,Lainey Gera ,2011,125,4.92
Digs_per_set, Lainey Gera ,2009,121,4.91
Digs_per_set, Jessica Fine ,2008,122,4.84
Digs_per_set, Chrissie Zartman ,2002,118,4.53
Digs_per_set, Chrissie Zartman ,2003,122,4.52
Block_solos, Marissa Hatchett ,1990,133,60
Block_solos, Nana Meriwether ,2005,113,43
Block_solos, Merja Connolly ,1983,,42
Block_solos, Elisabeth Bachman ,1998,110,39
Block_solos, Daiva Tomkus ,1988,114,38
Block_solos, Daiva Tomkus ,1987,134,36
Block_solos,Annett Buckner ,1994,132,36
Block_solos, Lisa Ettesvold ,1986,135,34
Block_solos,Marissa Hatchett ,1992,97,34
Block_solos,Elisabeth Bachman ,2000,124,34
Block_assists, Nana Meriwether ,2006,124,224
Block_assists, Marissa Hatchett ,1990,133,204
Block_assists, Daiva Tomkus ,1987,134,176
Block_assists, Irene Renteria ,1993,105,171
Block_assists, Alyson Randick ,1994,128,166
Block_assists, Merja Connolly ,1983,,159
Block_assists, Amanda Gil ,2009,115,158
Block_assists, Nana Meriwether ,2004,116,157
Block_assists, Daiva Tomkus ,1989,118,154
Block_assists, Nana Meriwether ,2005,113,153
Total_blocks, Marissa Hatchett ,1990,133,264
Total_blocks, Nana Meriwether ,2006,124,242
Total_blocks, Kathy Herse ,1980,,215
Total_blocks, Daiva Tomkus ,1987,134,212
Total_blocks, Merja Connolly ,1983,,201
Total_blocks, Nana Meriwether ,2005,113,196
Total_blocks, Alyson Randick ,1994,128,190
Total_blocks, Nana Meriwether ,2004,116,189
Total_blocks, Kathy Herse ,1981,,188
Total_blocks, Marissa Hatchett ,1992,97,181
Blocks_per_set, Marissa Hatchett ,1990,133,1.98
Blocks_per_set, Nana Meriwether ,2006,124,1.95
Blocks_per_set, Marissa Hatchett ,1992,97,1.87
Blocks_per_set, Nana Meriwether ,2005,113,1.73
Blocks_per_set, Marissa Hatchett ,1991,89,1.72
Blocks_per_set, Marissa Hatchett ,1989,93,1.699
Blocks_per_set, Irene Renteria ,1993,105,1.695
Blocks_per_set, Nana Meriwether ,2004,116,1.63
Blocks_per_set, Daiva Tomkus ,1987,134,1.58
Blocks_per_set, Amanda Gil ,2009,115,1.57
Points, Kristee Porter ,2000,124,821.5
Points, Karsta Lowe ,2014,118,778.5
Points, Annett Buckner ,1994,132,759.5
Points, Patty Orozco ,1983,,750
Points, Natalie Williams ,1990,132,732
Points, Natalie Williams ,1991,118,720
Points, Liz Masakayan ,1983,,711.5
Points, Kara Milling ,1997,110,704
Points, Daiva Tomkus ,1987,134,702
Points, Liz Masakayan ,1984,116,686.5
Points_per_set, Kristee Porter ,2000,124,6.62
Points_per_set, Kristee Porter ,2001,56,6.6
Points_per_set,Karsta Lowe ,2014,118,6.6
Points_per_set, Kara Milling ,1997,110,6.4
Points_per_set, Liz Masakayan ,1985,110,6.19
Points_per_set, Natalie Williams ,1992,96,6.15
Points_per_set, Kristee Porter ,1999,107,6.11
Points_per_set, Natalie Williams ,1991,118,6.1
Points_per_set, Kristee Porter ,1998,110,6.09
Points_per_set, Liz Masakayan ,1984,116,5.92
