entry_term_cd,entry_year_trailing_summer_7,admit_level,start_major,deg_major,section,headcount
18F,2018-19,Freshman,ANTHROPOLOGY                                                                                                            ,COGNITIVE SCIENCE                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ANTHROPOLOGY-BS                                                                                                         ,PSYCHOLOGY                                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ART                                                                                                                     ,Did not graduate by Summer 23,Fall 1 to Degree,<10
18F,2018-19,Freshman,ART                                                                                                                     ,PSYCHOLOGY                                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ART HISTORY                                                                                                             ,ART HISTORY                                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ART HISTORY                                                                                                             ,BUSINESS ECONOMICS                                                                                                      ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ASTROPHYSICS                                                                                                            ,ATMOSPHERIC AND OCEANIC SCIENCES                                                                                        ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ASTROPHYSICS                                                                                                            ,ENVIRONMENTAL SCIENCE                                                                                                   ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,COMMUNICATION                                                                                                           ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,ELECTRICAL ENGINEERING                                                                                                  ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,MATERIALS ENGINEERING                                                                                                   ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,MATHEMATICS OF COMPUTATION                                                                                              ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,PHYSIOLOGICAL SCIENCE                                                                                                   ,Fall 1 to Degree,15
18F,2018-19,Freshman,BIOENGINEERING                                                                                                          ,ANTHROPOLOGY-BS                                                                                                         ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,COMPUTATIONAL AND SYSTEMS BIOLOGY                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,LINGUISTICS                                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BUSINESS ECONOMICS                                          ,ART HISTORY                                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,CHEMICAL ENGINEERING                                                                                                    ,CIVIL ENGINEERING                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,CHEMISTRY                                                                                                               ,ATMOSPHERIC AND OCEANIC SCIENCES                                                                                        ,Fall 1 to Degree,<10
18F,2018-19,Freshman,CIVIL ENGINEERING                                                                                                       ,APPLIED LINGUISTICS                                                                                                     ,Fall 1 to Degree,<10
18F,2018-19,Freshman,COGNITIVE SCIENCE                                           ,COMMUNICATION                                                                                                           ,Fall 1 to Degree,<10
18F,2018-19,Freshman,COMPARATIVE LITERATURE                                                                                                  ,HISTORY                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,COMPUTATIONAL AND SYSTEMS BIOLOGY                           ,BIOLOGY                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,DESIGN / MEDIA ARTS                                                                                                     ,ARCHITECTURAL STUDIES                                                                                                   ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ELECTRICAL ENGINEERING                                                                                                  ,HISTORY                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ENGLISH                                                                                                                 ,HUMAN BIOLOGY AND SOCIETY - BS                                                                                          ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ENGLISH                                                                                                                 ,THEATER                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,EUROPEAN LANGUAGES AND TRANSCULTURAL STUDIES WITH FRENCH AND FRANCOPHONE                                                ,EUROPEAN LANGUAGES AND TRANSCULTURAL STUDIES WITH FRENCH AND FRANCOPHONE                                                ,Fall 1 to Degree,<10
18F,2018-19,Freshman,AFRICAN AMERICAN STUDIES                                                                                                ,WORLD ARTS AND CULTURES                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,AMERICAN LITERATURE AND CULTURE                                                                                         ,AMERICAN LITERATURE AND CULTURE                                                                                         ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ARABIC                                                                                                                  ,ARABIC                                                                                                                  ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ART                                                                                                                     ,WORLD ARTS AND CULTURES                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,ASIAN LANGUAGES AND LINGUISTICS                                                                                         ,ASIAN LANGUAGES AND LINGUISTICS                                                                                         ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,CHEMISTRY                                                                                                               ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS                                                                        ",Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOENGINEERING                                                                                                          ,CHEMICAL ENGINEERING                                                                                                    ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,ENVIRONMENTAL SCIENCE                                                                                                   ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,HISTORY                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,HUMAN BIOLOGY AND SOCIETY - BA                                                                                          ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,PSYCHOBIOLOGY                                                                                                           ,Fall 1 to Degree,39
18F,2018-19,Freshman,BUSINESS ECONOMICS                                          ,COMPUTER SCIENCE                                                                                                        ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BUSINESS ECONOMICS                                          ,ENGLISH                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BUSINESS ECONOMICS                                          ,HISTORY                                                                                                                 ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BUSINESS ECONOMICS                                          ,MATHEMATICS FOR TEACHING                                                                                                ,Fall 1 to Degree,<10
18F,2018-19,Freshman,BUSINESS ECONOMICS                                          ,PSYCHOBIOLOGY                                                                                                           ,Fall 1 to Degree,<10
18F,2018-19,Freshman,CHEMICAL ENGINEERING                                                                                                    ,BIOENGINEERING                                                                                                          ,Fall 1 to Degree,<10
18F,2018-19,Freshman,CHEMISTRY                                                                                                               ,BIOCHEMISTRY                                                                                                            ,Fall 1 to Degree,18
18F,2018-19,Freshman,CHEMISTRY                                                                                                               ,CHEMISTRY/MATERIALS SCIENCE                                                                                             ,Fall 1 to Degree,<10
18F,2018-19,Freshman,CHEMISTRY                                                                                                               ,COGNITIVE SCIENCE                                                                                                       ,Fall 1 to Degree,<10
18F,2018-19,Freshman,CHEMISTRY                                                                                                               ,COMMUNICATION                                                                                                           ,Fall 1 to Degree,<10
