,Year Founded,StartUp
0,2019.0,Kona
1,2018.0,Duffl
2,2017.0,International Collegiate Health Initiative
3,2022.0,The Entertainment Group LA 
4,2023.0,THE FLAIR COLLECTIVE
5,2020.0,Sliimeyhoney
6,2018.0,Greekify
7,2023.0,Gemel Enterprises
8,2019.0,Avano
9,2020.0,Poppl
10,2007.0,Kontrol Media
11,2022.0,Erez Capital
12,2023.0,Moonarch
13,,Thrive Solution
14,2023.0,GoodMVMT
15,2021.0,Untold Studio
16,2021.0,Brex
17,2021.0,SF IRL
18,2020.0,GenZScouts
19,2022.0,NGC Studios
20,2023.0,The Deep View
21,2021.0,TradeUp
22,2023.0,Neonic
23,2023.0,Neonic
24,2020.0,Mettise Natura
25,2015.0,Revive LA Foundation
26,2021.0,Saint Oral Care
27,2021.0,Poppin
28,,
29,2023.0,Bruin Startup Village
30,2023.0,PND Creative
31,2021.0,Penzils 
32,2022.0,Aeyesky Inc
33,2022.0,Stealth
34,2023.0,Standard Draft
35,2023.0,Transparency Agency
36,2020.0,I AM CONFIDENT (IAC) FOUNDATION 
37,2017.0,I AM CONFIDENT (IAC) FOUNDATION 
38,2023.0,Viralverse
39,2021.0,Gryphon Ventures
40,2020.0,Bartr App
41,,
42,,
43,2018.0,BoxRay
44,2021.0,ProjectHub
45,2020.0,Palgorithms
46,2020.0,Duped Whipz
47,2023.0,Edgecase Technologies
48,2022.0,Zing Industries
49,2021.0,PREPARE
50,2020.0,Headshots on the Go
51,2022.0,Chatterbox
52,2023.0,Edgecase Technologies
53,,
54,2020.0,VOC
55,,
56,2023.0,Toolit
57,2022.0,IntelliMail
58,2023.0,BruinRent
59,2022.0,IntelliMail
60,,
61,,
62,,
63,2022.0,milkyway delivery
64,2018.0,Airdas
65,2019.0,Side Space LA
66,2017.0,eHarv Company
67,2022.0,SkyCamp LLC
68,2022.0,Metis
69,2023.0,SparkGene Biotechnology
70,,
71,,
72,2021.0,Four Resolutions Incorporated
73,2023.0,Savvychess
74,2020.0,Chilk LLC
75,,
76,2023.0,Ratio dating
