Year,Campus,Number of Awards,Dollar Amount of Awards
2005-06,Riverside,2,570371
2005-06,Davis,3,738838
2005-06,Santa Barbara,5,740236
2005-06,Irvine,7,1110897
2005-06,San Diego,4,1141138
2005-06,Santa Cruz,3,2382488
2005-06,Los Angeles,14,4504376
2005-06,Merced,0,0
2005-06,Berkeley,0,0
2006-07,Davis,1,470808
2006-07,Berkeley,1,1112552
2006-07,Santa Barbara,7,1276720
2006-07,Irvine,9,2013395
2006-07,Santa Cruz,7,3941751
2006-07,San Diego,15,6379911
2006-07,Los Angeles,18,15825782
2006-07,Merced,0,0
2006-07,Riverside,0,0
2007-08,Santa Barbara,4,336040
2007-08,Davis,4,936286
2007-08,Irvine,8,2055330
2007-08,Berkeley,3,3172182
2007-08,San Diego,9,3183025
2007-08,Santa Cruz,7,3774648
2007-08,Los Angeles,15,4024572
2007-08,Merced,0,0
2007-08,Riverside,0,0
2008-09,Riverside,1,86429
2008-09,Berkeley,2,344598
2008-09,Davis,3,637886
2008-09,Santa Barbara,6,964394
2008-09,Irvine,10,2011351
2008-09,San Diego,9,4048154
2008-09,Santa Cruz,10,5525670
2008-09,Los Angeles,26,16692682
2008-09,Merced,0,0
2009-10,Berkeley,1,20650
2009-10,Riverside,1,85313
2009-10,Santa Barbara,4,631804
2009-10,Davis,5,1488740
2009-10,Irvine,14,2500936
2009-10,San Diego,9,4601591
2009-10,Santa Cruz,8,4897021
2009-10,Los Angeles,22,9450133
2009-10,Merced,0,0
2010-11,Riverside,1,55610
2010-11,Santa Barbara,6,649588
2010-11,Davis,4,1465518
2010-11,Irvine,8,1527398
2010-11,Santa Cruz,8,4561433
2010-11,San Diego,11,5031691
2010-11,Los Angeles,19,8441790
2010-11,Merced,0,0
2010-11,Berkeley,0,0
2011-12,Berkeley,1,343066
2011-12,Santa Barbara,5,662497
2011-12,Irvine,5,901875
2011-12,Davis,12,3283754
2011-12,Santa Cruz,7,4097338
2011-12,San Diego,12,5568612
2011-12,Los Angeles,20,5786629
2011-12,Merced,0,0
2011-12,Riverside,0,0
2012-13,Santa Barbara,3,177688
2012-13,Irvine,12,2576260
2012-13,Santa Cruz,5,3550463
2012-13,Davis,13,3993044
2012-13,Los Angeles,13,4031747
2012-13,San Diego,13,4933563
2012-13,Merced,0,0
2012-13,Berkeley,0,0
2012-13,Riverside,0,0
2013-14,Santa Barbara,3,173926
2013-14,Irvine,8,1683685
2013-14,Merced,1,2200783
2013-14,Santa Cruz,4,3154297
2013-14,San Diego,8,3755514
2013-14,Davis,11,4853257
2013-14,Los Angeles,17,5835508
2013-14,Berkeley,0,0
2013-14,Riverside,0,0
2014-15,Irvine,7,1461659
2014-15,Santa Cruz,4,2131711
2014-15,San Diego,9,2698047
2014-15,Davis,12,3911864
2014-15,Los Angeles,12,4023771
2014-15,Merced,0,0
2014-15,Riverside,0,0
2014-15,Santa Barbara,0,0
2014-15,Berkeley,0,0
2015-16,Riverside,1,714645
2015-16,Davis,8,2272859
2015-16,San Diego,12,3522929
2015-16,Santa Cruz,5,4371197
2015-16,Los Angeles,13,5207792
2015-16,Irvine,13,5268803
2015-16,Berkeley,0,0
2015-16,Santa Barbara,0,0
2015-16,Merced,0,0
2016-17,Santa Barbara,1,50954
2016-17,Riverside,2,912371
2016-17,Merced,6,2105242
2016-17,Irvine,11,2845567
2016-17,Santa Cruz,3,2879303
2016-17,San Diego,11,3419343
2016-17,Davis,14,4330897
2016-17,Los Angeles,11,4707049
2016-17,Berkeley,0,0
2017-18,Santa Barbara,1,232264
2017-18,Merced,4,738930
2017-18,Riverside,2,1034498
2017-18,Santa Cruz,2,1304975
2017-18,San Diego,8,2109626
2017-18,Irvine,12,2596801
2017-18,Davis,12,2743361
2017-18,Los Angeles,10,5462578
2017-18,Berkeley,0,0
2018-19,Santa Barbara,1,242135
2018-19,San Diego,3,819118
2018-19,Riverside,2,1052080
2018-19,Santa Cruz,2,1304850
2018-19,Los Angeles,9,2763613
2018-19,Merced,14,3013842
2018-19,Davis,13,5854252
2018-19,Irvine,13,18883843
2018-19,Berkeley,0,0
2019-20,Riverside,1,549955
2019-20,Merced,6,8246313
2019-20,Santa Cruz,4,12465745
2019-20,Santa Barbara,4,13131513
2019-20,Davis,11,21717023
2019-20,Los Angeles,11,22851406
2019-20,Irvine,12,27351330
2019-20,San Diego,4,35799044
2019-20,Berkeley,0,0
