Year,Campus,Number of Awards,Dollar Amount of Awards
2005-06,Merced,41,4949249
2005-06,Riverside,487,57030198
2005-06,Santa Cruz,571,107616355
2005-06,Santa Barbara,710,124662796
2005-06,Irvine,994,206694535
2005-06,Berekely,1296,282132054
2005-06,Davis,2175,392605188
2005-06,San Diego,1900,498921291
2005-06,Los Angeles,2513,611900412
2006-07,Merced,68,11771663
2006-07,Riverside,692,98071924
2006-07,Santa Cruz,814,112719193
2006-07,Santa Barbara,929,172110074
2006-07,Irvine,1327,28170214
2006-07,Berekely,1940,530750299
2006-07,Davis,2921,551522444
2006-07,San Diego,2675,720152112
2006-07,Los Angeles,3096,918220706
2007-08,Merced,96,15713938
2007-08,Riverside,676,104143291
2007-08,Santa Cruz,948,135417367
2007-08,Santa Barbara,957,194554258
2007-08,Irvine,1287,334110000
2007-08,Davis,2813,594776135
2007-08,Berkeley,2006,649244186
2007-08,San Diego,2807,834154315
2007-08,Los Angeles,3281,892205253
2008-09,Merced,78,22185757
2008-09,Riverside,650,89098759
2008-09,Santa Cruz,789,124580606
2008-09,Santa Barbara,831,174650492
2008-09,Irvine,1319,323576316
2008-09,Davis,2965,623464457
2008-09,Berkeley,2100,654923341
2008-09,San Diego,2804,889892500
2008-09,Los Angeles,3395,966184614
2009-10,Merced,97,19381623
2009-10,Riverside,683,115111640
2009-10,Santa Cruz,847,147839725
2009-10,Santa Barbara,870,224327056
2009-10,Irvine,1392,342012926
2009-10,Davis,3007,697403651
2009-10,Berkeley,2147,755980650
2009-10,Los Angeles,3663,1027153609
2009-10,San Diego,3253,1067859631
2010-11,Merced,84,13598069
2010-11,Riverside,592,93148893
2010-11,Santa Cruz,784,127208522
2010-11,Santa Barbara,800,184412889
2010-11,Irvine,1504,339045540
2010-11,Davis,2939,693251465
2010-11,Berkeley,2003,733314336
2010-11,San Diego,3033,980047496
2010-11,Los Angeles,3556,1069867435
2011-12,Merced,64,16870593
2011-12,Riverside,682,113016259
2011-12,Santa Cruz,796,145226569
2011-12,Santa Barbara,773,217949054
2011-12,Irvine,1443,315603606
2011-12,Berkeley,1914,732218177
2011-12,Davis,3010,775679436
2011-12,Los Angeles,3646,1012050967
2011-12,San Diego,3281,1020606258
2012-13,Merced,81,16950696
2012-13,Riverside,651,93635047
2012-13,Santa Cruz,787,143589831
2012-13,Santa Barbara,698,165537822
2012-13,Irvine,1428,307384888
2012-13,Berkeley,1741,730670111
2012-13,Davis,2906,762174735
2012-13,Los Angeles,3526,874065700
2012-13,San Diego,3119,1005900967
2013-14,Merced,92,30450848
2013-14,Riverside,637,111862968
2013-14,Santa Cruz,735,138527270
2013-14,Santa Barbara,738,207820520
2013-14,Irvine,1473,313804931
2013-14,Davis,2831,715957834
2013-14,Berkeley,1747,758518043
2013-14,Los Angeles,3706,968329012
2013-14,San Diego,3168,1093399640
2014-15,Merced,63,25579826
2014-15,Riverside,701,124656795
2014-15,Santa Cruz,719,138243618
2014-15,Santa Barbara,741,186288912
2014-15,Irvine,1355,300421105
2014-15,Berkeley,1929,714151949
2014-15,Davis,3041,797414446
2014-15,San Diego,3297,1022514711
2014-15,Los Angeles,3909,1033184160
2015-16,Merced,153,23601225
2015-16,Santa Cruz,727,123661691
2015-16,Riverside,697,138467726
2015-16,Santa Barbara,706,184100944
2015-16,Irvine,1688,403570268
2015-16,Berkeley,1884,699333164
2015-16,Davis,2958,787389662
2015-16,Los Angeles,3695,1072827042
2015-16,San Diego,3172,1085886749
2016-17,Merced,188,34191523
2016-17,Santa Cruz,682,103691056
2016-17,Riverside,713,147033823
2016-17,Santa Barbara,723,183821630
2016-17,Irvine,1691,382037042
2016-17,Davis,2929,789548069
2016-17,Berkeley,1876,865030652
2016-17,Los Angeles,3819,1060019259
2016-17,San Diego,3338,1103212513
2017-18,Merced,172,24881259
2017-18,Santa Cruz,770,151413085
2017-18,Riverside,749,160746393
2017-18,Santa Barbara,742,209570660
2017-18,Irvine,1732,366050823
2017-18,Berkeley,1924,733076413
2017-18,Davis,2934,874611994
2017-18,Los Angeles,3396,915257426
2017-18,San Diego,3214,1135597737
2018-19,Merced,220,51083064
2018-19,Santa Cruz,708,165851293
2018-19,Riverside,863,177381512
2018-19,Santa Barbara,792,215565363
2018-19,Irvine,1658,444179089
2018-19,Berkeley,1906,802852688
2018-19,Davis,3087,901080014
2018-19,Los Angeles,4089,1266330954
2018-19,San Diego,3379,1313176409
2019-20,Merced,198,44466874
2019-20,Santa Cruz,684,158222233
2019-20,Santa Barbara,816,234932336
2019-20,Riverside,844,236134595
2019-20,Irvine,1749,525057414
2019-20,Berkeley,1853,813140641
2019-20,Davis,3163,1055381158
2019-20,San Diego,3475,1237026005
2019-20,Los Angeles,4179,1429988256
