Index,Year,Campus,Number of Awards,Dollar Amount of Awards
1,2005-06,Merced,41,4949249
2,2005-06,Riverside,487,57030198
3,2005-06,Santa Cruz,571,107616355
4,2005-06,Santa Barbara,710,124662796
5,2005-06,Irvine,994,206694535
6,2005-06,Berkeley,1296,282132054
7,2005-06,Davis,2175,392605188
8,2005-06,San Diego,1900,498921291
9,2005-06,Los Angeles,2513,611900412
10,2006-07,Merced,68,11771663
11,2006-07,Riverside,692,98071924
12,2006-07,Santa Cruz,814,112719193
13,2006-07,Santa Barbara,929,172110074
14,2006-07,Irvine,1327,28170214
15,2006-07,Berkeley,1940,530750299
16,2006-07,Davis,2921,551522444
17,2006-07,San Diego,2675,720152112
18,2006-07,Los Angeles,3096,918220706
19,2007-08,Merced,96,15713938
20,2007-08,Riverside,676,104143291
21,2007-08,Santa Cruz,948,135417367
22,2007-08,Santa Barbara,957,194554258
23,2007-08,Irvine,1287,334110000
24,2007-08,Davis,2813,594776135
25,2007-08,Berkeley,2006,649244186
26,2007-08,San Diego,2807,834154315
27,2007-08,Los Angeles,3281,892205253
28,2008-09,Merced,78,22185757
29,2008-09,Riverside,650,89098759
30,2008-09,Santa Cruz,789,124580606
31,2008-09,Santa Barbara,831,174650492
32,2008-09,Irvine,1319,323576316
33,2008-09,Davis,2965,623464457
34,2008-09,Berkeley,2100,654923341
35,2008-09,San Diego,2804,889892500
36,2008-09,Los Angeles,3395,966184614
37,2009-10,Merced,97,19381623
38,2009-10,Riverside,683,115111640
39,2009-10,Santa Cruz,847,147839725
40,2009-10,Santa Barbara,870,224327056
41,2009-10,Irvine,1392,342012926
42,2009-10,Davis,3007,697403651
43,2009-10,Berkeley,2147,755980650
44,2009-10,Los Angeles,3663,1027153609
45,2009-10,San Diego,3253,1067859631
46,2010-11,Merced,84,13598069
47,2010-11,Riverside,592,93148893
48,2010-11,Santa Cruz,784,127208522
49,2010-11,Santa Barbara,800,184412889
50,2010-11,Irvine,1504,339045540
51,2010-11,Davis,2939,693251465
52,2010-11,Berkeley,2003,733314336
53,2010-11,San Diego,3033,980047496
54,2010-11,Los Angeles,3556,1069867435
55,2011-12,Merced,64,16870593
56,2011-12,Riverside,682,113016259
57,2011-12,Santa Cruz,796,145226569
58,2011-12,Santa Barbara,773,217949054
59,2011-12,Irvine,1443,315603606
60,2011-12,Berkeley,1914,732218177
61,2011-12,Davis,3010,775679436
62,2011-12,Los Angeles,3646,1012050967
63,2011-12,San Diego,3281,1020606258
64,2012-13,Merced,81,16950696
65,2012-13,Riverside,651,93635047
66,2012-13,Santa Cruz,787,143589831
67,2012-13,Santa Barbara,698,165537822
68,2012-13,Irvine,1428,307384888
69,2012-13,Berkeley,1741,730670111
70,2012-13,Davis,2906,762174735
71,2012-13,Los Angeles,3526,874065700
72,2012-13,San Diego,3119,1005900967
73,2013-14,Merced,92,30450848
74,2013-14,Riverside,637,111862968
75,2013-14,Santa Cruz,735,138527270
76,2013-14,Santa Barbara,738,207820520
77,2013-14,Irvine,1473,313804931
78,2013-14,Davis,2831,715957834
79,2013-14,Berkeley,1747,758518043
80,2013-14,Los Angeles,3706,968329012
81,2013-14,San Diego,3168,1093399640
82,2014-15,Merced,63,25579826
83,2014-15,Riverside,701,124656795
84,2014-15,Santa Cruz,719,138243618
85,2014-15,Santa Barbara,741,186288912
86,2014-15,Irvine,1355,300421105
87,2014-15,Berkeley,1929,714151949
88,2014-15,Davis,3041,797414446
89,2014-15,San Diego,3297,1022514711
90,2014-15,Los Angeles,3909,1033184160
91,2015-16,Merced,153,23601225
92,2015-16,Santa Cruz,727,123661691
93,2015-16,Riverside,697,138467726
94,2015-16,Santa Barbara,706,184100944
95,2015-16,Irvine,1688,403570268
96,2015-16,Berkeley,1884,699333164
97,2015-16,Davis,2958,787389662
98,2015-16,Los Angeles,3695,1072827042
99,2015-16,San Diego,3172,1085886749
100,2016-17,Merced,188,34191523
101,2016-17,Santa Cruz,682,103691056
102,2016-17,Riverside,713,147033823
103,2016-17,Santa Barbara,723,183821630
104,2016-17,Irvine,1691,382037042
105,2016-17,Davis,2929,789548069
106,2016-17,Berkeley,1876,865030652
107,2016-17,Los Angeles,3819,1060019259
108,2016-17,San Diego,3338,1103212513
109,2017-18,Merced,172,24881259
110,2017-18,Santa Cruz,770,151413085
111,2017-18,Riverside,749,160746393
112,2017-18,Santa Barbara,742,209570660
113,2017-18,Irvine,1732,366050823
114,2017-18,Berkeley,1924,733076413
115,2017-18,Davis,2934,874611994
116,2017-18,Los Angeles,3396,915257426
117,2017-18,San Diego,3214,1135597737
118,2018-19,Merced,220,51083064
119,2018-19,Santa Cruz,708,165851293
120,2018-19,Riverside,863,177381512
121,2018-19,Santa Barbara,792,215565363
122,2018-19,Irvine,1658,444179089
123,2018-19,Berkeley,1906,802852688
124,2018-19,Davis,3087,901080014
125,2018-19,Los Angeles,4089,1266330954
126,2018-19,San Diego,3379,1313176409
127,2019-20,Merced,198,44466874
128,2019-20,Santa Cruz,684,158222233
129,2019-20,Santa Barbara,816,234932336
130,2019-20,Riverside,844,236134595
131,2019-20,Irvine,1749,525057414
132,2019-20,Berkeley,1853,813140641
133,2019-20,Davis,3163,1055381158
134,2019-20,San Diego,3475,1237026005
135,2019-20,Los Angeles,4179,1429988256
