Year,Percentage of Hispanic/Latino(a) students (%),Number of Hispanic/Latino(a) Students,Percentage of Undergrad Hispanic/Latino(a) students (%),Number of Undergrad Hispanic/Latino(a) students
2000,12,4304,14,3499
2001,12,4365,14,3545
2002,13,4550,15,3633
2003,13,4920,15,3956
2004,13,4761,15,3821
2005,13,4725,15,3788
2006,13,4775,15,3824
2007,13,4786,15,3812
2008,13,4962,15,3945
2009,13,5094,15,4103
2010,13,5118,16,4126
2011,14,5555,17,4502
2012,15,5849,17,4799
2013,15,6256,18,5156
2014,16,6792,19,5663
2015,17,7064,20,5918
2016,18,7650,21,6462
2017,18,7912,21,6603
2018,18,8079,21,6701
2019,18,8207,21,6762
2020,18,8114,21,6567
