"","X","Ticket.number","Issue.Date","Issue.time","Meter.Id","Marked.Time","RP.State.Plate","Plate.Expiry.Date","VIN","Make","Body.Style","Color","Location","Route","Agency","Violation.code","Violation.Description","Fine.amount","Latitude","Longitude","Year","Street","Month"
"1",7431376,4329256481,2018-04-01,110,"",NA,"CA",201801,"","VOLK","PA","WT","519 GLENROCK AVE","504A",51,"22507.8A-","DISABLED PARKING/NO DP ID",363,34.067852375268,-118.451449786785,"2018","GLENROCK",4
"2",7431377,4329256492,2018-04-01,112,"",NA,"CA",201801,"","VOLK","PA","WT","519 GLENROCK AVE","504A",51,"5204A-","DISPLAY OF TABS",25,34.067852375268,-118.451449786785,"2018","GLENROCK",4
"3",7431378,4329256503,2018-04-01,114,"",NA,"CA",201810,"","FIAT","PA","BK","449 LANDFAIR AVE S","504A",51,"22514","FIRE HYDRANT",68,34.0694760423842,-118.452274143779,"2018","LANDFAIR",4
"4",7431379,4329256514,2018-04-01,128,"4",NA,"CA",NA,"","BMW","PA","BL","10708 ASHTON AVE W","504A",51,"80.58L","PREFERENTIAL PARKING",68,34.0597104354013,-118.43572318498,"2018","ASHTON",4
"5",7447111,4329544914,2018-04-01,1101,"",NA,"CA",201809,"","NISS","PA","RD","1000 TIVERTON AV","00205",51,"22502A","18 IN. CURB/2 WAY",63,34.0620944926344,-118.442827669345,"2018","TIVERTON",4
"6",7447112,4329544925,2018-04-01,1107,"WV575",NA,"CA",201811,"","CHEV","PA","WT","10800 LE CONTE AV","00205",51,"88.13B+","METER EXP.",63,34.0640107139718,-118.441068057212,"2018","LE CONTE",4
"7",7447113,4329544936,2018-04-01,1109,"WV585",NA,"CA",201809,"","VOLK","PA","GY","10801 LE CONTE AV","00205",51,"88.13B+","METER EXP.",63,34.0640107139718,-118.441068057212,"2018","LE CONTE",4
"8",7447114,4329544940,2018-04-01,1110,"WV570",NA,"CA",201803,"","OTHR","PA","RD","10800 LE CONTE AV","00205",51,"88.13B+","METER EXP.",63,34.0640107139718,-118.441068057212,"2018","LE CONTE",4
"9",7447115,4329544951,2018-04-01,1112,"",NA,"CA",201803,"","OTHR","PA","RD","10800 LE CONTE AV","00205",51,"5200","DISPLAY OF PLATES",25,34.0640107139718,-118.441068057212,"2018","LE CONTE",4
"10",7447116,4329544962,2018-04-01,1117,"WV413",NA,"CA",201812,"","NISS","PA","GY","901 TIVERTON AV","00205",51,"88.13B+","METER EXP.",63,34.0637226752536,-118.442436773807,"2018","TIVERTON",4
"11",7447117,4329544973,2018-04-01,1119,"WV614",NA,"CA",201902,"","TOYT","PA","GO","900 TIVERTON AV","00205",51,"88.13B+","METER EXP.",63,34.0637226752536,-118.442436773807,"2018","TIVERTON",4
"12",7447118,4329544984,2018-04-01,1122,"WV451",NA,"CA",201812,"","CHEV","PA","BK","1001 TIVERTON AV","00205",51,"88.13B+","METER EXP.",63,34.0620944926344,-118.442827669345,"2018","TIVERTON",4
"13",7447119,4329544995,2018-04-01,1124,"WV447",NA,"KS",201805,"","LINC","PA","GY","1001 TIVERTON AV","00205",51,"88.13B+","METER EXP.",63,34.0620944926344,-118.442827669345,"2018","TIVERTON",4
"14",7447120,4329545021,2018-04-01,1129,"WV446A",NA,"CA",201806,"","CHEV","PA","WT","1001 TIVERTON AV","00205",51,"88.13B+","METER EXP.",63,34.0620944926344,-118.442827669345,"2018","TIVERTON",4
