"","X","Ticket.number","Issue.Date","Issue.time","Meter.Id","Marked.Time","RP.State.Plate","Plate.Expiry.Date","VIN","Make","Body.Style","Color","Location","Route","Agency","Violation.code","Violation.Description","Fine.amount","Latitude","Longitude","Year","Street","Month"
"1",8100540,4332420245,2018-08-01,545,"",NA,"CA",201809,"","HYUN","PA","WT","600 LANDFAIR AVE","504R",51,"22500F","PARKED ON SIDEWALK",68,34.0672817475409,-118.449726410245,"2018","LANDFAIR",8
"2",8100541,4332420256,2018-08-01,547,"",NA,"CA",201809,"","HYUN","PA","WT","600 LANDFAIR AVE","504R",51,"5200","DISPLAY OF PLATES",25,34.0672817475409,-118.449726410245,"2018","LANDFAIR",8
"3",8100542,4332420260,2018-08-01,553,"",NA,"CA",201805,"","BMW","PA","BL","459 LANDFAIR AVE","504R",51,"5204A-","DISPLAY OF TABS",25,34.0693424120126,-118.452002657664,"2018","LANDFAIR",8
"4",8100543,4332420271,2018-08-01,556,"",NA,"CA",201708,"","BMW","PA","GY","456 LANDFAIR AVE","504R",51,"5204A-","DISPLAY OF TABS",25,34.0693342302893,-118.451986103479,"2018","LANDFAIR",8
"5",8100544,4332420282,2018-08-01,601,"",NA,"CA",201808,"","HOND","PA","SL","424 LANDFAIR AVE","504R",51,"22500F","PARKED ON SIDEWALK",68,34.0698287812444,-118.452738333001,"2018","LANDFAIR",8
"6",8100545,4332420293,2018-08-01,607,"",NA,"CA",201803,"","TOYT","PA","WT","401 LANDFAIR AVE","504R",51,"5204A-","DISPLAY OF TABS",25,34.0705304066269,-118.453227530712,"2018","LANDFAIR",8
"7",8100546,4332420304,2018-08-01,616,"",NA,"IN",NA,"","GMC","CM","YE","543 KELTON AVE","504R",51,"80.69.2","COMM VEH OVER TIME LIMIT",78,34.0675340397805,-118.453538186521,"2018","KELTON",8
"8",8100547,4332420315,2018-08-01,619,"",NA,"CA",201803,"","HOND","PA","SL","500 KELTON AVE","504R",51,"5204A-","DISPLAY OF TABS",25,34.0683140775946,-118.453634870524,"2018","KELTON",8
"9",8100548,4332420326,2018-08-01,621,"",NA,"CA",201802,"","NISS","PA","WT","600 KELTON AVE","504R",51,"5204A-","DISPLAY OF TABS",25,34.0662788496755,-118.453379494977,"2018","KELTON",8
"10",8100549,4332420330,2018-08-01,627,"",NA,"AZ",NA,"","GMC","CM","WT","540 MIDVALE AVE","504R",51,"80.69.2","COMM VEH OVER TIME LIMIT",78,34.0674501832893,-118.452451400009,"2018","MIDVALE",8
"11",8100591,4333335156,2018-08-01,752,"",NA,"CA",201902,"","DODG","PA","BK","10938 STRATHMORE DR","00154",51,"80.58.1","CARSHARE PARKING",163,34.0672817475409,-118.449726410245,"2018","STRATHMORE",8
"12",8100595,4333335193,2018-08-01,948,"",840,"CA",201906,"","NISS","PA","RD","424 KELTON AVE","00154",51,"80.69C","PARKED OVER TIME LIMIT",58,34.069863149324,-118.453831486254,"2018","KELTON",8
"13",8100596,4333335204,2018-08-01,952,"",840,"CA",201907,"","HOND","PA","WT","545 KELTON AVE","00154",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0674955948943,-118.453531374235,"2018","KELTON",8
"14",8100831,4335221391,2018-08-01,906,"",NA,"TN",209006,"","VOLK","PA","GY","10899 WEYBURN AVE","00154",51,"80.56E4+","RED ZONE",93,34.0625690434399,-118.445296571114,"2018","WEYBURN",8
"15",8100834,4335221424,2018-08-01,1052,"",840,"CA",201901,"","MAZD","PA","GY","535 KELTON AVE","00154",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0676823608501,-118.453555500343,"2018","KELTON",8
"16",8100836,4335221446,2018-08-01,1100,"",845,"CA",201904,"","INFI","PA","GY","415 LANDFAIR AVE","00154",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0701658859643,-118.452974601526,"2018","LANDFAIR",8
"17",8100837,4335221450,2018-08-01,1133,"",900,"CA",201806,"","TOYT","PA","WT","655 MIDVALE AVE","00154",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0652546469205,-118.45170981978,"2018","MIDVALE",8
"18",8100838,4335221461,2018-08-01,1134,"",NA,"CA",201806,"","TOYT","PA","WT","655 MIDVALE AVE","00154",51,"5204A-","DISPLAY OF TABS",25,34.0652546469205,-118.45170981978,"2018","MIDVALE",8
"19",8100839,4335221472,2018-08-01,1137,"",900,"GA",11,"","HOND","PA","GY","615 MIDVALE AVE","00154",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0661252781998,-118.451830086466,"2018","MIDVALE",8
"20",8100840,4335221483,2018-08-01,1140,"",900,"CA",201907,"","JEEP","PA","BK","511 MIDVALE AVE","00154",51,"80.69C","PARKED OVER TIME LIMIT",58,34.068024233337,-118.452520543832,"2018","MIDVALE",8
"21",8100841,4335221494,2018-08-01,1142,"",900,"CA",201908,"","TOYT","PA","GY","449 LANDFAIR AVE","00154",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0694760423842,-118.452274143779,"2018","LANDFAIR",8
"22",8100842,4335221505,2018-08-01,1147,"",900,"CA",201808,"","HYUN","PA","WT","10965 STRATHMORE DR","00154",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0665693081908,-118.449923995033,"2018","STRATHMORE",8
"23",8100843,4335221516,2018-08-01,1155,"",NA,"CA",201804,"","OTHR","MS","BL","625 LANDFAIR AVE","00154",51,"5204A-","DISPLAY OF TABS",25,34.0670739567721,-118.449444631173,"2018","LANDFAIR",8
"24",8100844,4335221520,2018-08-01,1159,"",900,"CA",NA,"","HOND","PA","GY","10971 ROEBLING AVE","00154",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0649522965303,-118.449522381253,"2018","ROEING",8
"25",8100845,4335221531,2018-08-01,1202,"",900,"CA",NA,"","VOLV","PA","BK","10982 ROEBLING AVE","00154",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0647510162922,-118.449706201201,"2018","ROEING",8
"26",8101168,4335811756,2018-08-01,1108,"11",NA,"CA",201908,"","FORD","VN","WT","344 CONWAY AVE","00183",51,"80.58L","PREFERENTIAL PARKING",68,34.0766249593325,-118.433843140934,"2018","CON",8
"27",8101169,4335811760,2018-08-01,1111,"11",NA,"CA",201811,"","TOYT","PA","SL","344 CONWAY AVE","00183",51,"80.58L","PREFERENTIAL PARKING",68,34.0766249593325,-118.433843140934,"2018","CON",8
"28",8101170,4335811771,2018-08-01,1115,"11",NA,"CA",201812,"","CHEV","VN","WT","316 CONWAY AVE","00183",51,"80.58L","PREFERENTIAL PARKING",68,34.0770611300637,-118.434050145763,"2018","CON",8
"29",8101974,4336241825,2018-08-01,1928,"",NA,"MO",201804,"","NISS","PA","BL","476 LANDFAIR AVE","203A",51,"22500E","BLOCKING DRIVEWAY",68,34.0689978397728,-118.451558330231,"2018","LANDFAIR",8
"30",8101975,4336241836,2018-08-01,1943,"WV463",NA,"CA",201905,"","TOYT","PA","WT","10840 LINDBROOK DR","203A",51,"88.13B+","METER EXP.",63,34.0604662685049,-118.441729508303,"2018","LINDBROOK",8
"31",8101976,4336241840,2018-08-01,1946,"WV475",NA,"CA",4,"","JEEP","PA","WT","1033 HILGARD AV","203A",51,"88.13B+","METER EXP.",63,34.0611643756014,-118.441690272769,"2018","HILGARD",8
