"","X","Ticket.number","Issue.Date","Issue.time","Meter.Id","Marked.Time","RP.State.Plate","Plate.Expiry.Date","VIN","Make","Body.Style","Color","Location","Route","Agency","Violation.code","Violation.Description","Fine.amount","Latitude","Longitude","Year","Street","Month"
"1",4043987,4344237752,2018-12-01,102,"",NA,"CA",201909,"","JEEP","PA","BL","633 MIDVALE AVE S","504A",51,"80.56E4+","RED ZONE",93,34.0657381422982,-118.451745449112,"2018","MIDVALE",12
"2",4043988,4344237763,2018-12-01,106,"",NA,"CA",201909,"","TOYT","PA","SL","453 MIDVALE AVE S","504A",51,"80.56E4+","RED ZONE",93,34.0688760497329,-118.452528453922,"2018","MIDVALE",12
"3",4043989,4344237774,2018-12-01,111,"",NA,"VN",NA,"","AUDI","PA","BK","10938 STRATHMORE DR W","504A",51,"80.58.1","CARSHARE PARKING",163,34.0672817475409,-118.449726410245,"2018","STRATHMORE",12
"4",4043990,4344237785,2018-12-01,112,"",NA,"CA",201904,"","MNNI","PA","GY","10938 STRATHMORE DR W","504A",51,"80.58.1","CARSHARE PARKING",163,34.0672817475409,-118.449726410245,"2018","STRATHMORE",12
"5",4043991,4344237796,2018-12-01,113,"",NA,"VN",NA,"","TOYT","PA","WT","10938 STRATHMORE DR W","504A",51,"80.58.1","CARSHARE PARKING",163,34.0672817475409,-118.449726410245,"2018","STRATHMORE",12
"6",4044513,4343488936,2018-12-02,1113,"",NA,"CA",201810,"","LNDR","PA","GY","1001 TIVERTON AV","00203",51,"5204A-","DISPLAY OF TABS",25,34.0620944926344,-118.442827669345,"2018","TIVERTON",12
"7",4044514,4343488940,2018-12-02,1115,"",NA,"CA",201805,"","VOLK","PA","GY","1001 TIVERTON AV","00203",51,"5204A-","DISPLAY OF TABS",25,34.0620944926344,-118.442827669345,"2018","TIVERTON",12
"8",4044515,4343488951,2018-12-02,1121,"WV487",NA,"CA",201906,"","LEXS","PA","GY","10801 LINDBROOK DR","00203",51,"88.13B+","METER EXP.",63,34.0608953293504,-118.440117262079,"2018","LINDBROOK",12
"9",4045507,4344138046,2018-12-02,1751,"WV40",NA,"CA",201903,"","BMW","PA","WT","1001 GAYLEY AV","00203",51,"88.13B+","METER EXP.",63,34.0619600888849,-118.447977614145,"2018","GAYLEY",12
"10",4045508,4344138050,2018-12-02,1755,"WV468",NA,"CA",201904,"","MERZ","PA","BK","1001 HILGARD AV","00203",51,"88.13B+","METER EXP.",63,34.0616263016795,-118.441613471118,"2018","HILGARD",12
"11",4045509,4344138083,2018-12-02,1803,"WV665",NA,"CA",201809,"","LEXS","PA","WT","10800 WEYBURN AV","00203",51,"88.13B+","METER EXP.",63,34.0616581804821,-118.440408522488,"2018","WEYBURN",12
"12",4045510,4344138094,2018-12-02,1804,"",NA,"CA",201809,"","LEXS","PA","WT","10800 WEYBURN AV","00203",51,"5204A-","DISPLAY OF TABS",25,34.0616581804821,-118.440408522488,"2018","WEYBURN",12
"13",4045511,4344138105,2018-12-02,1807,"WV597",NA,"CA",201907,"","HOND","PA","BK","1000 HILGARD AV","00203",51,"88.13B+","METER EXP.",63,34.0616263016795,-118.441613471118,"2018","HILGARD",12
"14",4045512,4344138116,2018-12-02,1808,"WV598",NA,"CA",NA,"","AUDI","PA","WT","1000 HILGARD AV","00203",51,"88.13B+","METER EXP.",63,34.0616263016795,-118.441613471118,"2018","HILGARD",12
"15",4046004,4344619005,2018-12-02,831,"",NA,"CA",201903,"","HOND","PA","SL","10955 ROEBLING AVE","00204",51,"22500F","PARKED ON SIDEWALK",68,34.0652225057325,-118.449276195863,"2018","ROEING",12
"16",4046005,4344619016,2018-12-02,838,"",NA,"NV",201908,"","CHEV","PU","WT","11043 OPHIR DR","00204",51,"22500F","PARKED ON SIDEWALK",68,34.0682403099551,-118.45278917083,"2018","OPHIR",12
"17",4046006,4344619020,2018-12-02,847,"",NA,"CA",201904,"","HOND","PA","SL","547 GAYLEY AVE S","00204",51,"80.53","PARKED IN PARKWAY",63,34.0693812575068,-118.450431117234,"2018","GAYLEY",12
"18",4046007,4344619031,2018-12-02,850,"",NA,"CA",201809,"","TOYT","PA","SL","547 GAYLEY AVE S","00204",51,"5204A-","DISPLAY OF TABS",25,34.0693812575068,-118.450431117234,"2018","GAYLEY",12
"19",4046008,4344619042,2018-12-02,855,"",NA,"CA",201907,"","CHEV","PA","BK","404 LANDFAIR AVE S","00204",51,"22500F","PARKED ON SIDEWALK",68,34.0704125470605,-118.453147643213,"2018","LANDFAIR",12
"20",4046017,4344619123,2018-12-02,1032,"",820,"CA",201807,"","TOYT","PA","GY","972 HILGARD AVE","00204",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0622669456435,-118.441507896469,"2018","HILGARD",12
"21",4046018,4344619134,2018-12-02,1033,"",NA,"CA",201807,"","TOYT","PA","GY","972 HILGARD AVE","00204",51,"5204A-","DISPLAY OF TABS",25,34.0622669456435,-118.441507896469,"2018","HILGARD",12
"22",4046019,4344619145,2018-12-02,1039,"",820,"NV",201909,"","CHRY","PA","WT","901 HILGARD AVE","00204",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0640107139718,-118.441068057212,"2018","HILGARD",12
"23",4046020,4344619156,2018-12-02,1042,"",820,"CA",201907,"","JEEP","PA","GY","901 HILGARD AVE","00204",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0640107139718,-118.441068057212,"2018","HILGARD",12
"24",4046021,4344619160,2018-12-02,1043,"",820,"CA",201905,"","HOND","PA","BK","901 HILGARD AVE","00204",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0640107139718,-118.441068057212,"2018","HILGARD",12
"25",4046022,4344619171,2018-12-02,1044,"",820,"CA",201812,"","BMW","PA","BK","901 HILGARD AVE","00204",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0640107139718,-118.441068057212,"2018","HILGARD",12
"26",4046023,4344619182,2018-12-02,1049,"",820,"CA",201909,"","HOND","PA","GY","945 HILGARD AVE","00204",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0629543510019,-118.441389359971,"2018","HILGARD",12
"27",4046024,4344619193,2018-12-02,1105,"",NA,"CA",201807,"","FORD","PA","BL","900 TIVERTON AVE","00204",51,"5204A-","DISPLAY OF TABS",25,34.0637226752536,-118.442436773807,"2018","TIVERTON",12
"28",4046025,4344619204,2018-12-02,1108,"WV572",NA,"CA",201901,"","BMW","PA","BL","10800 LE CONTE AV","00204",51,"88.13B+","METER EXP.",63,34.0640107139718,-118.441068057212,"2018","LE CONTE",12
"29",4046026,4344619215,2018-12-02,1424,"",1100,"CA",202002,"","MERZ","PA","BK","944 TIVERTON AVE","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0629938456311,-118.442611213281,"2018","TIVERTON",12
"30",4047484,4342943931,2018-12-03,958,"",NA,"CA",201902,"","TOYT","PA","WT","825 VETERAN AVE","00155",51,"22514","FIRE HYDRANT",68,34.0624217409104,-118.451664807606,"2018","VETERAN",12
"31",4047485,4342943942,2018-12-03,1000,"",NA,"GA",201901,"","HOND","PA","WT","825 VETERAN AVE","00155",51,"80.56E4+","RED ZONE",93,34.0624217409104,-118.451664807606,"2018","VETERAN",12
"32",4047486,4342943953,2018-12-03,1109,"",NA,"CA",201811,"","HOND","PA","SL","800 LEVERING AVE","00155",51,"80.69AA+","NO STOP/STAND",93,34.0644808185196,-118.449949082078,"2018","LEVERING",12
"33",4047492,4342944012,2018-12-03,1446,"",NA,"CA",201808,"","TOYT","PA","GY","600 KELTON AVE","00155",51,"22514","FIRE HYDRANT",68,34.0662788496755,-118.453379494977,"2018","KELTON",12
"34",4047493,4342944023,2018-12-03,1451,"",NA,"CA",201808,"","TOYT","PA","GY","600 KELTON AVE","00155",51,"5204A-","DISPLAY OF TABS",25,34.0662788496755,-118.453379494977,"2018","KELTON",12
"35",4047744,4343105561,2018-12-03,914,"",NA,"CA",201906,"","TOYT","PA","WT","10812 WELLWORTH AVE","00153",51,"80.69BS","NO PARK/STREET CLEAN",73,34.0578337414318,-118.439483767941,"2018","WELLWORTH",12
"36",4047745,4343105572,2018-12-03,919,"",NA,"CA",201903,"","VOLK","PA","GY","1100 MALCOLM AVE","00153",51,"80.69BS","NO PARK/STREET CLEAN",73,34.0608953293504,-118.440117262079,"2018","MALCOLM",12
"37",4047746,4343105583,2018-12-03,922,"",NA,"CA",201909,"","TOYT","PA","GY","10811 LINDBROOK DR","00153",51,"80.69BS","NO PARK/STREET CLEAN",73,34.0606947517177,-118.440865681871,"2018","LINDBROOK",12
"38",7390295,4343937916,2018-12-03,1153,"",NA,"CA",201909,"","HOND","PA","GY","1201 MANNING AVE","00187",51,"22502A","18 IN. CURB/2 WAY",63,34.0608562590916,-118.435735756252,"2018","MANNING",12
"39",7390296,4343937920,2018-12-03,1155,"",NA,"CA",201907,"","HOND","PA","SL","1201 MANNING AVE","00187",51,"22502A","18 IN. CURB/2 WAY",63,34.0608562590916,-118.435735756252,"2018","MANNING",12
"40",7390297,4343937931,2018-12-03,1224,"4",NA,"CA",NA,"","BENT","PA","BK","10751 ASHTON AVE","00187",51,"80.58L","PREFERENTIAL PARKING",68,34.0592943592289,-118.43756000703,"2018","ASHTON",12
"41",7390298,4343937942,2018-12-03,1226,"",NA,"CA",NA,"","BENT","PA","BK","10751 ASHTON AVE","00187",51,"5204A-","DISPLAY OF TABS",25,34.0592943592289,-118.43756000703,"2018","ASHTON",12
"42",7447393,4344328402,2018-12-03,1156,"WS563",NA,"CA",201904,"","MERZ","PA","BL","10901 ASHTON AV","00112",51,"88.13B+","METER EXP.",63,34.0578145150778,-118.443240817797,"2018","ASHTON",12
"43",7447394,4344328413,2018-12-03,1157,"",NA,"CA",201904,"","MERZ","PA","BL","10901 ASHTON AV","00112",51,"5200","DISPLAY OF PLATES",25,34.0578145150778,-118.443240817797,"2018","ASHTON",12
"44",7447418,4344328424,2018-12-03,1219,"",NA,"CA",201811,"","INFI","PA","BN","1100 GLENDON AVE","00112",51,"80.56E4+","RED ZONE",93,34.0607777841811,-118.444451717502,"2018","GLENDON",12
"45",7447737,4344328505,2018-12-03,1651,"WS550",NA,"CA",NA,"","ACUR","PA","GY","10901 ASHTON AV","00112",51,"88.13B+","METER EXP.",63,34.0578145150778,-118.443240817797,"2018","ASHTON",12
"46",7455786,4344408191,2018-12-03,1010,"",NA,"CA",201812,"","FORD","TK","GY","10900 STRATHMORE DR","00187",51,"80.56E4+","RED ZONE",93,34.0685348378104,-118.448973695816,"2018","STRATHMORE",12
