"","X","Ticket.number","Issue.Date","Issue.time","Meter.Id","Marked.Time","RP.State.Plate","Plate.Expiry.Date","VIN","Make","Body.Style","Color","Location","Route","Agency","Violation.code","Violation.Description","Fine.amount","Latitude","Longitude","Year","Street","Month"
"1",6842589,4322963293,2018-01-01,318,"",NA,"CA",201811,"","TOYT","PA","GY","1044 TIVERTON AVE","506A",51,"80.56E1","WHITE ZONE",58,34.061140134139,-118.443057036129,"2018","TIVERTON",1
"2",6963377,4324278044,2018-01-01,325,"",NA,"CA",201806,"","FORD","PA","SL","A/F 900 HILGARD AVENUE","502A",51,"80.56E1","WHITE ZONE",58,34.0640107139718,-118.441068057212,"2018","AF  HILGARD",1
"3",6963378,4324278055,2018-01-01,343,"",NA,"CA",201807,"","BMW","PA","GN","424 LANDFAIR AVENUE","502A",51,"22500F","PARKED ON SIDEWALK",68,34.0698287812444,-118.452738333001,"2018","LANDFAIR",1
"4",4327153,1115566196,2018-01-02,1630,"",NA,"CA",201803,"","FRTL","TR","WH","1220 S GLENDON AVE","00201",51,"8069AP","NO STOP/STAND PM",93,34.0589962174597,-118.442461301356,"2018","S GLENDON",1
"5",4327154,1115566200,2018-01-02,1919,"",NA,"CA",201901,"","HOND","PA","GY","922 S GAYLEY AVE","00201",51,"8069A","NO STOPPING/STANDING",93,34.0631404816576,-118.448300903208,"2018","S GAYLEY",1
"6",4327155,1115566211,2018-01-02,1922,"",NA,"CA",201805,"","HYUN","PA","WH","925 S GAYLEY AVE","00201",51,"8056E4","RED ZONE",93,34.0628682867069,-118.448342367144,"2018","S GAYLEY",1
"7",6864252,4323196920,2018-01-02,1028,"",NA,"CA",201804,"","FORD","PA","GY","1124 MANNING AVE S","00159",51,"80.56E4+","RED ZONE",93,34.0616274238933,-118.436010511406,"2018","MANNING",1
"8",6864253,4323196931,2018-01-02,1031,"",NA,"CA",201809,"","DODG","PA","RD","10600 WILSHIRE BLVD","00159",51,"80.56E4+","RED ZONE",93,34.0615313156793,-118.433702133179,"2018","WILSHIRE",1
"9",6891331,4323492051,2018-01-02,1518,"",NA,"CA",201802,"","ISU","TK","WT","10801 WILSHIRE BLVD","00189",51,"80.70","NO STOPPING/ANTI-GRIDLOCK ZONE",163,34.0598800373677,-118.439725631202,"2018","WILSHIRE",1
"10",6891332,4323492062,2018-01-02,1521,"",NA,"CA",201709,"","FORD","VN","WT","10795 WILSHIRE BLVD","00189",51,"80.70","NO STOPPING/ANTI-GRIDLOCK ZONE",163,34.059919035893,-118.439580564848,"2018","WILSHIRE",1
"11",6907651,4323671656,2018-01-02,1345,"",1130,"CA",201810,"","LEXS","PA","GY","580 HILGARD AVE","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0704740993836,-118.438708160692,"2018","HILGARD",1
"12",6907652,4323671660,2018-01-02,1356,"",NA,"CA",201708,"","HOND","PA","SL","10982 ROEBLING AVE","00116",51,"5204A-","DISPLAY OF TABS",25,34.0647510162922,-118.449706201201,"2018","ROEING",1
