"","X","Ticket.number","Issue.Date","Issue.time","Meter.Id","Marked.Time","RP.State.Plate","Plate.Expiry.Date","VIN","Make","Body.Style","Color","Location","Route","Agency","Violation.code","Violation.Description","Fine.amount","Latitude","Longitude","Year","Street","Month"
"1",7950247,4334990133,2018-07-01,1621,"",NA,"CA",201906,"","TOYT","PA","GY","533 GLENROCK AVE","00201",51,"22500E","BLOCKING DRIVEWAY",68,34.067528686034,-118.451299453326,"2018","GLENROCK",7
"2",7950279,4334990450,2018-07-01,2243,"",NA,"CA",NA,"","PORS","PA","WT","655 MIDVALE AVE","00201",51,"22500E","BLOCKING DRIVEWAY",68,34.0652546469205,-118.45170981978,"2018","MIDVALE",7
"3",7950368,4335141882,2018-07-01,559,"4",NA,"CA",201808,"","MAZD","PA","BK","10748 ASHTON AVE W","504A",51,"80.58L","PREFERENTIAL PARKING",68,34.0592943592289,-118.43756000703,"2018","ASHTON",7
"4",7950369,4335141893,2018-07-01,604,"4",NA,"CA",201811,"","MITS","PA","GY","1310 MALCOLM AVE","504A",51,"80.58L","PREFERENTIAL PARKING",68,34.0578877994261,-118.438975614586,"2018","MALCOLM",7
"5",7950730,4335449451,2018-07-01,1107,"WV46",NA,"CA",201807,"","FORD","PA","WT","1001 GAYLEY AV","00201",51,"88.13B+","METER EXP.",63,34.0619600888849,-118.447977614145,"2018","GAYLEY",7
"6",7950731,4335449462,2018-07-01,1110,"WV52",NA,"CA",201904,"","FORD","PA","GY","1001 GAYLEY AV","00201",51,"88.13B+","METER EXP.",63,34.0619600888849,-118.447977614145,"2018","GAYLEY",7
"7",7950732,4335449473,2018-07-01,1111,"WV53",NA,"CA",201906,"","MERZ","PA","GY","1001 GAYLEY AV","00201",51,"88.13B+","METER EXP.",63,34.0619600888849,-118.447977614145,"2018","GAYLEY",7
"8",7950733,4335449484,2018-07-01,1119,"WV468",NA,"CA",NA,"","TOYT","PA","BK","1001 HILGARD AV","00201",51,"88.13B+","METER EXP.",63,34.0616263016795,-118.441613471118,"2018","HILGARD",7
"9",7950734,4335449495,2018-07-01,1123,"WV488",NA,"CA",201810,"","AUDI","PA","BK","1000 TIVERTON AV","00201",51,"88.13B+","METER EXP.",63,34.0620944926344,-118.442827669345,"2018","TIVERTON",7
"10",7950735,4335449506,2018-07-01,1126,"WV449",NA,"CA",201906,"","NISS","PA","GY","1001 TIVERTON AV","00201",51,"88.13B+","METER EXP.",63,34.0620944926344,-118.442827669345,"2018","TIVERTON",7
"11",7950736,4335449510,2018-07-01,1131,"WV417",NA,"CA",201811,"","AUDI","PA","WT","901 TIVERTON AV","00201",51,"88.13B+","METER EXP.",63,34.0637226752536,-118.442436773807,"2018","TIVERTON",7
"12",7951905,4333435735,2018-07-02,1132,"",NA,"CA",201801,"","DODG","PA","WT","1201 GLENDON AV","111R",51,"5204A-","DISPLAY OF TABS",25,34.0591194103246,-118.442587413335,"2018","GLENDON",7
"13",7951914,4333435820,2018-07-02,1659,"WS552",NA,"CA",201810,"","HOND","PA","WT","10901 ASHTON AV","111R",51,"88.13B+","METER EXP.",63,34.0578145150778,-118.443240817797,"2018","ASHTON",7
"14",7952205,4333811506,2018-07-02,1339,"",NA,"CA",201811,"","LNDR","PA","WT","420 CLUB VIEW DR","00183",51,"22507.8A-","DISABLED PARKING/NO DP ID",363,34.0743916402926,-118.431341704676,"2018","CLUB VIEW",7
"15",7952425,4334209353,2018-07-02,850,"",NA,"CA",NA,"","OTHR","MS","BK","10973 ROEBLING AVE","00154",51,"80.53","PARKED IN PARKWAY",63,34.0649192119122,-118.449551919849,"2018","ROEING",7
"16",7952426,4334209364,2018-07-02,939,"",NA,"CA",201804,"","LEXS","PA","GY","1033 HILGARD AVE","00154",51,"5204A-","DISPLAY OF TABS",25,34.0611643756014,-118.441690272769,"2018","HILGARD",7
"17",7952429,4334209390,2018-07-02,1040,"",830,"CA",201811,"","NISS","PA","GY","411 KELTON AVE","00154",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0701542833304,-118.453869388105,"2018","KELTON",7
