"","X","Ticket.number","Issue.Date","Issue.time","Meter.Id","Marked.Time","RP.State.Plate","Plate.Expiry.Date","VIN","Make","Body.Style","Color","Location","Route","Agency","Violation.code","Violation.Description","Fine.amount","Latitude","Longitude","Year","Street","Month"
"1",7779653,4331633762,2018-06-01,1416,"",NA,"MT",201807,"","CHRY","PA","GY","1052 TIVERTON AVE","00116",51,"80.56E4+","RED ZONE",93,34.0609641152373,-118.443099025533,"2018","TIVERTON",6
"2",7779654,4331633773,2018-06-01,1417,"",2355,"CA",201901,"","JEEP","PA","GY","1022 TIVERTON AVE","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.061615933464,-118.442943996929,"2018","TIVERTON",6
"3",7779655,4331633784,2018-06-01,1424,"",1200,"CA",201806,"","TOYT","PA","GY","580 HILGARD AVE","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0704740993836,-118.438708160692,"2018","HILGARD",6
"4",7779656,4331633795,2018-06-01,1429,"",1200,"CA",201810,"","FIAT","PA","WT","580 HILGARD AVE","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0704740993836,-118.438708160692,"2018","HILGARD",6
"5",7779657,4331633806,2018-06-01,1432,"",1200,"CA",201803,"","HYUN","PA","BL","560 HILGARD AVE","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0711778171531,-118.437879731012,"2018","HILGARD",6
"6",7779658,4331633810,2018-06-01,1437,"",NA,"CA",201903,"","BMW","PA","BK","420 CLUB VIEW DR","00116",51,"22507.8A-","DISABLED PARKING/NO DP ID",363,34.0743916402926,-118.431341704676,"2018","CLUB VIEW",6
"7",7779660,4331633832,2018-06-01,1605,"",1355,"CA",201812,"","NISS","PA","GY","10996 ROEBLING AVE","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0645139032342,-118.449919543794,"2018","ROEING",6
"8",7779661,4331633843,2018-06-01,1607,"",1355,"CA",201901,"","VOLK","PA","WT","10982 ROEBLING AVE","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0647510162922,-118.449706201201,"2018","ROEING",6
"9",7779662,4331633854,2018-06-01,1611,"",1355,"CA",201901,"","KIA","PA","BL","10966 ROEBLING AVE","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.065018478032,-118.449460002233,"2018","ROEING",6
"10",7779663,4331633865,2018-06-01,1615,"",1400,"CA",201903,"","BMW","PA","WT","540 MIDVALE AVE S","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0674501832893,-118.452451400009,"2018","MIDVALE",6
"11",7779664,4331633876,2018-06-01,1618,"",1400,"CA",201905,"","ACUR","PA","WT","501 MIDVALE AVE S","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0682165817655,-118.452521584381,"2018","MIDVALE",6
"12",7779665,4331633880,2018-06-01,1620,"",NA,"CA",201905,"","ACUR","PA","WT","501 MIDVALE AVE S","00116",51,"5200","DISPLAY OF PLATES",25,34.0682165817655,-118.452521584381,"2018","MIDVALE",6
"13",7779666,4331633891,2018-06-01,1623,"",1400,"CA",201807,"","HOND","PA","RD","510 KELTON AVE","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0681300470836,-118.453614060837,"2018","KELTON",6
"14",7779667,4331633902,2018-06-01,1624,"",NA,"CA",201807,"","HOND","PA","RD","510 KELTON AVE","00116",51,"5200","DISPLAY OF PLATES",25,34.0681300470836,-118.453614060837,"2018","KELTON",6
"15",7779668,4331633913,2018-06-01,1628,"",1400,"CA",201811,"","FORD","PA","YE","457 KELTON AVE","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0691929753855,-118.453748602518,"2018","KELTON",6
