"","X","Ticket.number","Issue.Date","Issue.time","Meter.Id","Marked.Time","RP.State.Plate","Plate.Expiry.Date","VIN","Make","Body.Style","Color","Location","Route","Agency","Violation.code","Violation.Description","Fine.amount","Latitude","Longitude","Year","Street","Month"
"1",4340373,1115946193,2018-03-01,2025,"",NA,"CA",201811,"","NISS","SU","BK","461 KELTON AV","8A29",1,"5204A","EXPIRED TAGS",25,34.0691105899618,-118.453734947678,"2018","KELTON",3
"2",4340374,1115946204,2018-03-01,2030,"",NA,"CA",201804,"","HOND","PA","GY","631 KELTON AVE","8A29",1,"5204A","EXPIRED TAGS",25,34.0657055683097,-118.453105636059,"2018","KELTON",3
"3",4340375,1115946215,2018-03-01,2035,"",NA,"CA",201907,"","TOYO","TR","WH","11060 STRATHMORE DR","8A29",1,"5204A","EXPIRED TAGS",25,34.0642956156726,-118.451714546627,"2018","STRATHMORE",3
"4",7039056,4325113774,2018-03-01,1910,"",NA,"CA",201803,"","PONT","PA","RD","512 MIDVALE AVE","00201",51,"22500F","PARKED ON SIDEWALK",68,34.0679857636515,-118.452520335723,"2018","MIDVALE",3
"5",7039057,4325113785,2018-03-01,1933,"D35",NA,"CA",201812,"","TOYT","PA","BL","643 WESTHOLME AVE","00201",51,"80.58L","PREFERENTIAL PARKING",68,34.0690944541065,-118.438007508458,"2018","WESTHOLME",3
"6",7039058,4325113796,2018-03-01,1938,"D35",NA,"CA",NA,"","BMW","PA","BK","630 WESTHOLME AVE","00201",51,"80.58L","PREFERENTIAL PARKING",68,34.0690944541065,-118.438007508458,"2018","WESTHOLME",3
"7",7101942,4325809736,2018-03-01,1101,"",NA,"CA",201810,"","TOYT","PA","SL","1100 GLENDON AVE","00401",51,"80.56E4+","RED ZONE",93,34.0607777841811,-118.444451717502,"2018","GLENDON",3
"8",7101943,4325809740,2018-03-01,1108,"WV282A",NA,"CA",201912,"","MERZ","PA","SL","1101 WESTWOOD BLVD","00401",51,"88.03A","OUTSIDE LINES/METER",58,34.0607883004129,-118.44532671232,"2018","WESTWOOD",3
"9",7101944,4325809751,2018-03-01,1113,"",NA,"CA",201712,"","TOYT","PA","WT","1061 WESTWOOD BLVD","00401",51,"5204A-","DISPLAY OF TABS",25,34.061478067797,-118.445313875726,"2018","WESTWOOD",3
"10",7101945,4325809762,2018-03-01,1115,"WV382",NA,"CA",201805,"","HOND","PA","OT","1000 WESTWOOD BLVD","00401",51,"88.13B+","METER EXP.",63,34.0625690434399,-118.445296571114,"2018","WESTWOOD",3
"11",7101946,4325809773,2018-03-01,1119,"",NA,"CA",201704,"","LEXS","PA","WT","1001 WESTWOOD BLVD","00401",51,"5204A-","DISPLAY OF TABS",25,34.0625690434399,-118.445296571114,"2018","WESTWOOD",3
"12",7101947,4325809784,2018-03-01,1128,"",NA,"CA",201811,"","BMW","PA","GY","901 BROXTON AVE","00401",51,"80.56E2","YELLOW ZONE",58,34.063653481596,-118.447048979799,"2018","BROXTON",3
"13",7101948,4325809795,2018-03-01,1224,"",NA,"CA",201712,"","SUBA","PA","SL","10801 LINDBROOK DR","00401",51,"5204A-","DISPLAY OF TABS",25,34.0608953293504,-118.440117262079,"2018","LINDBROOK",3
"14",7101949,4325809806,2018-03-01,1228,"",NA,"CA",201808,"","HYUN","PA","BK","1139 WESTWOOD BLVD","00401",51,"80.56E2","YELLOW ZONE",58,34.0600148955905,-118.444919796981,"2018","WESTWOOD",3
"15",7101950,4325809810,2018-03-01,1255,"",NA,"CA",201811,"","TOYT","PA","BK","1000 GAYLEY AVE","00401",51,"80.56E4+","RED ZONE",93,34.0619600888849,-118.447977614145,"2018","GAYLEY",3
"16",7118259,4325993221,2018-03-01,1143,"",NA,"CA",201806,"","HOND","PA","WT","1051 TIVERTON AVE","00104",51,"80.56E2","YELLOW ZONE",58,34.0610081169357,-118.443089353599,"2018","TIVERTON",3
"17",7129700,4326117784,2018-03-01,952,"",NA,"CA",5,"","OTHR","CM","BN","1201 MIDVALE AVE","00187",51,"80.56E4+","RED ZONE",93,34.0583475658461,-118.445492004344,"2018","MIDVALE",3
"18",7129701,4326117795,2018-03-01,1022,"11",NA,"CA",201902,"","BMW","PA","GY","10645 LE CONTE AVE","00187",51,"80.58L","PREFERENTIAL PARKING",68,34.0644816412141,-118.437002720964,"2018","LE CONTE",3
"19",7151812,4326371442,2018-03-01,704,"",NA,"CA",201810,"","NISS","PA","WT","415 GAYLEY AVE","00155",51,"80.69AP+","NO STOP/STANDING",93,34.0703417236465,-118.454444959214,"2018","GAYLEY",3
"20",7185368,4326751111,2018-03-01,956,"",NA,"CA",201810,"","VOLK","PA","TN","500 KELTON AVE","00181",51,"80.69BS","NO PARK/STREET CLEAN",73,34.0683140775946,-118.453634870524,"2018","KELTON",3
"21",7185369,4326751122,2018-03-01,959,"",NA,"CA",201805,"","INFI","PA","BK","11090 OPHIR DR","00181",51,"80.69BS","NO PARK/STREET CLEAN",73,34.0683799188095,-118.454394677783,"2018","OPHIR",3
"22",7185370,4326751133,2018-03-01,1000,"",NA,"CA",201805,"","INFI","PA","BK","11090 OPHIR DR","00181",51,"5200","DISPLAY OF PLATES",25,34.0683799188095,-118.454394677783,"2018","OPHIR",3
"23",7185371,4326751155,2018-03-01,1004,"",NA,"CA",NA,"","VOLV","PA","BK","433 MIDVALE AVE","00181",51,"80.69BS","NO PARK/STREET CLEAN",73,34.069161812181,-118.452533301846,"2018","MIDVALE",3
"24",7185376,4326751203,2018-03-01,1037,"",NA,"CA",201806,"","HOND","PA","BK","463 MIDVALE AVE","00181",51,"80.69BS","NO PARK/STREET CLEAN",73,34.0687331623247,-118.452527680925,"2018","MIDVALE",3
"25",7185377,4326751214,2018-03-01,1043,"",NA,"CA",201810,"","MITS","PA","PR","10900 STRATHMORE DR","00181",51,"80.69BS","NO PARK/STREET CLEAN",73,34.0685348378104,-118.448973695816,"2018","STRATHMORE",3
"26",7185378,4326751236,2018-03-01,1047,"",NA,"CA",201806,"","HOND","PA","WT","500 GAYLEY AVE","00181",51,"80.69BS","NO PARK/STREET CLEAN",73,34.0702147602947,-118.451663960456,"2018","GAYLEY",3
"27",7185379,4326751240,2018-03-01,1049,"",NA,"CA",201901,"","TOYT","PA","GY","500 GAYLEY AVE","00181",51,"80.69BS","NO PARK/STREET CLEAN",73,34.0702147602947,-118.451663960456,"2018","GAYLEY",3
"28",7185380,4326751251,2018-03-01,1050,"",NA,"CA",201807,"","TOYT","PA","GY","500 GAYLEY AVE","00181",51,"80.69BS","NO PARK/STREET CLEAN",73,34.0702147602947,-118.451663960456,"2018","GAYLEY",3
"29",7185381,4326751262,2018-03-01,1052,"",NA,"CA",201807,"","NISS","PA","SL","500 GAYLEY AVE","00181",51,"80.69BS","NO PARK/STREET CLEAN",73,34.0702147602947,-118.451663960456,"2018","GAYLEY",3
