"","X","Ticket.number","Issue.Date","Issue.time","Meter.Id","Marked.Time","RP.State.Plate","Plate.Expiry.Date","VIN","Make","Body.Style","Color","Location","Route","Agency","Violation.code","Violation.Description","Fine.amount","Latitude","Longitude","Year","Street","Month"
"1",7609030,4330340361,2018-05-01,1553,"WV71",NA,"CA",201803,"","JEEP","PA","GY","10900 LINDBROOK DR","00119",51,"88.13B+","METER EXP.",63,34.0596118637054,-118.4446733344,"2018","LINDBROOK",5
"2",7609031,4330340372,2018-05-01,1612,"WV215",NA,"CA",201903,"","NISS","PA","BK","10900 WEYBURN AVE","00119",51,"88.13B+","METER EXP.",63,34.0625690434399,-118.445296571114,"2018","WEYBURN",5
"3",7621240,4330985750,2018-05-01,1400,"35",NA,"CA",201808,"","HOND","PA","WT","10558 STRATHMORE DR","00116",51,"80.58L","PREFERENTIAL PARKING",68,34.0706244839901,-118.435879098092,"2018","STRATHMORE",5
"4",7621242,4330985772,2018-05-01,1604,"",1345,"CA",201807,"","VOLK","PA","SL","560 MIDVALE AVE S","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0670936202068,-118.452274470391,"2018","MIDVALE",5
"5",7621243,4330985783,2018-05-01,1611,"",1345,"CA",201809,"","NISS","PA","BL","411 KELTON AVE","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0701542833304,-118.453869388105,"2018","KELTON",5
"6",7621244,4330985794,2018-05-01,1613,"",1345,"CA",201811,"","HOND","PA","OT","411 KELTON AVE","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0701542833304,-118.453869388105,"2018","KELTON",5
"7",7621245,4330985805,2018-05-01,1619,"",1355,"CA",NA,"","HOND","PA","BL","414 LANDFAIR AVE S","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0701220444325,-118.452941343853,"2018","LANDFAIR",5
"8",7621246,4330985816,2018-05-01,1620,"",1355,"CA",201808,"","NISS","PA","WT","403 LANDFAIR AVE S","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0704783340485,-118.453190926126,"2018","LANDFAIR",5
"9",7621247,4330985831,2018-05-01,1624,"",1355,"CA",201812,"","FORD","PA","WT","445 LANDFAIR AVE S","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0695278431879,-118.452383389939,"2018","LANDFAIR",5
"10",7621248,4330985842,2018-05-01,1626,"",1355,"CA",NA,"","CHEV","PU","GY","445 LANDFAIR AVE S","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0695278431879,-118.452383389939,"2018","LANDFAIR",5
"11",7621249,4330985853,2018-05-01,1629,"",1355,"CA",201904,"","INFI","PA","GY","447 LANDFAIR AVE S","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0695005626982,-118.45233041038,"2018","LANDFAIR",5
"12",7621250,4330985864,2018-05-01,1631,"",1355,"CA",NA,"","SUBA","PA","OR","447 LANDFAIR AVE S","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0695005626982,-118.45233041038,"2018","LANDFAIR",5
"13",7621251,4330985875,2018-05-01,1633,"",1355,"CA",201807,"","HOND","PA","SL","479 LANDFAIR AVE S","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0689841499749,-118.451545048406,"2018","LANDFAIR",5
"14",7621252,4330985886,2018-05-01,1636,"",1355,"CA",201901,"","FIAT","PA","OR","619 LANDFAIR AVE S","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0672817475409,-118.449726410245,"2018","LANDFAIR",5
"15",7621253,4330985890,2018-05-01,1638,"",1355,"CA",201902,"","TOYT","PA","BK","619 LANDFAIR AVE S","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0672817475409,-118.449726410245,"2018","LANDFAIR",5
"16",7621254,4330985901,2018-05-01,1639,"",1355,"CA",201802,"","ACUR","PA","WT","625 LANDFAIR AVE S","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0670739567721,-118.449444631173,"2018","LANDFAIR",5
"17",7627256,4331153212,2018-05-01,1052,"WS550",NA,"CA",201902,"","NISS","PA","WT","10901 ASHTON AV","111R",51,"88.13B+","METER EXP.",63,34.0578145150778,-118.443240817797,"2018","ASHTON",5
"18",7627257,4331153223,2018-05-01,1054,"WS557",NA,"CA",201806,"","NISS","PA","SL","10901 ASHTON AV","111R",51,"88.13B+","METER EXP.",63,34.0578145150778,-118.443240817797,"2018","ASHTON",5
"19",7636302,4331349352,2018-05-01,1002,"1",NA,"CA",201804,"","MAZD","PA","GN","10536 GARWOOD PL","00152",51,"80.58L","PREFERENTIAL PARKING",68,34.0681629833218,-118.434948330785,"2018","GARWOOD",5
"20",7636303,4331349363,2018-05-01,1006,"1",NA,"CA",201805,"","TOYT","VN","BK","10536 GARWOOD PL","00152",51,"80.58L","PREFERENTIAL PARKING",68,34.0681629833218,-118.434948330785,"2018","GARWOOD",5
"21",7640435,4331434343,2018-05-01,1309,"WS122",NA,"CA",201901,"","LEXS","PA","RD","1255 GLENDON AV","00187",51,"88.13B+","METER EXP.",63,34.0584501964543,-118.442240510332,"2018","GLENDON",5
"22",7640436,4331434354,2018-05-01,1311,"",NA,"CA",201706,"","HOND","PA","RD","1201 GLENDON AV","00187",51,"80.56E4+","RED ZONE",93,34.0591194103246,-118.442587413335,"2018","GLENDON",5
"23",7640437,4331434365,2018-05-01,1312,"",NA,"CA",201706,"","HOND","PA","RD","1201 GLENDON AV","00187",51,"5204A-","DISPLAY OF TABS",25,34.0591194103246,-118.442587413335,"2018","GLENDON",5
"24",7640438,4331434376,2018-05-01,1316,"4",NA,"CA",201809,"","NISS","PA","BK","10786 ASHTON AVE","00187",51,"80.58L","PREFERENTIAL PARKING",68,34.0589433280961,-118.438882105675,"2018","ASHTON",5
