"","X","Ticket.number","Issue.Date","Issue.time","Meter.Id","Marked.Time","RP.State.Plate","Plate.Expiry.Date","VIN","Make","Body.Style","Color","Location","Route","Agency","Violation.code","Violation.Description","Fine.amount","Latitude","Longitude","Year","Street","Month"
"1",3865360,4341611772,2018-11-01,1420,"11",NA,"CA",201902,"","SAA","PA","RD","735 WARNER AVE","00309",51,"80.58L","PREFERENTIAL PARKING",68,34.0682787595941,-118.433317769228,"2018","WARNER",11
"2",3865372,4341654306,2018-11-01,1607,"WV315",NA,"CA",201907,"","NISS","PA","RD","10800 KINROSS AV","00187",51,"88.13B+","METER EXP.",63,34.0607777841811,-118.444451717502,"2018","KINROSS",11
"3",3866459,4341901432,2018-11-01,1528,"WV488",NA,"CA",NA,"","LEXS","PA","GY","1060 TIVERTON AV","00112",51,"88.13B+","METER EXP.",63,34.0607908441572,-118.443141029316,"2018","TIVERTON",11
"4",3866463,4341901476,2018-11-01,1647,"",NA,"CA",201905,"","TOYT","PA","SL","1200 MIDVALE AVE","00112",51,"80.69AP+","NO STOP/STANDING",93,34.0583475658461,-118.445492004344,"2018","MIDVALE",11
"5",3868056,4342043086,2018-11-01,824,"",NA,"CA",201908,"","CHRY","PA","BK","11070 STRATHMORE DR","00158",51,"80.69BS","NO PARK/STREET CLEAN",73,34.0643032416312,-118.451879677613,"2018","STRATHMORE",11
"6",3868057,4342043090,2018-11-01,825,"",NA,"CA",201908,"","MNNI","PA","GY","11050 STRATHMORE DR","00158",51,"80.69BS","NO PARK/STREET CLEAN",73,34.0642771462738,-118.4515097356,"2018","STRATHMORE",11
"7",3868058,4342043101,2018-11-01,828,"",NA,"CA",201812,"","HOND","PA","GO","11050 STRATHMORE DR","00158",51,"80.69BS","NO PARK/STREET CLEAN",73,34.0642771462738,-118.4515097356,"2018","STRATHMORE",11
"8",3868059,4342043112,2018-11-01,829,"",NA,"CA",201904,"","MAZD","PA","WT","11050 STRATHMORE DR","00158",51,"80.69BS","NO PARK/STREET CLEAN",73,34.0642771462738,-118.4515097356,"2018","STRATHMORE",11
"9",3868060,4342043123,2018-11-01,830,"",NA,"CA",201706,"","AUDI","PA","OT","11050 STRATHMORE DR","00158",51,"80.69BS","NO PARK/STREET CLEAN",73,34.0642771462738,-118.4515097356,"2018","STRATHMORE",11
"10",3868061,4342043134,2018-11-01,831,"",NA,"CA",201908,"","NISS","PA","BK","11050 STRATHMORE DR","00158",51,"80.69BS","NO PARK/STREET CLEAN",73,34.0642771462738,-118.4515097356,"2018","STRATHMORE",11
"11",3868062,4342043145,2018-11-01,834,"",NA,"AZ",201908,"","TOYT","PA","WT","650 LEVERING AVE","00158",51,"80.69BS","NO PARK/STREET CLEAN",73,34.066419605265,-118.451749129234,"2018","LEVERING",11
"12",3868063,4342043156,2018-11-01,835,"",NA,"CA",201812,"","TOYT","PA","WT","650 LEVERING AVE","00158",51,"80.69BS","NO PARK/STREET CLEAN",73,34.066419605265,-118.451749129234,"2018","LEVERING",11
"13",3868064,4342043160,2018-11-01,836,"",NA,"CA",201904,"","PONT","PA","GY","650 LEVERING AVE","00158",51,"80.69BS","NO PARK/STREET CLEAN",73,34.066419605265,-118.451749129234,"2018","LEVERING",11
"14",3868065,4342043171,2018-11-01,837,"",NA,"CA",201911,"","HYUN","PA","WT","650 LEVERING AVE","00158",51,"80.69BS","NO PARK/STREET CLEAN",73,34.066419605265,-118.451749129234,"2018","LEVERING",11
