"","X","Ticket.number","Issue.Date","Issue.time","Meter.Id","Marked.Time","RP.State.Plate","Plate.Expiry.Date","VIN","Make","Body.Style","Color","Location","Route","Agency","Violation.code","Violation.Description","Fine.amount","Latitude","Longitude","Year","Street","Month"
"1",8422154,4338701802,2018-10-01,849,"",NA,"CA",201811,"","GMC","TK","BK","901 LEVERING AVE","00153",51,"80.69AA+","NO STOP/STAND",93,34.0635333609982,-118.449059112888,"2018","LEVERING",10
"2",8422155,4338701824,2018-10-01,947,"",NA,"CA",201903,"","DODG","TK","BK","815 LEVERING AVE","00153",51,"80.69AA+","NO STOP/STAND",93,34.0643273579438,-118.449835995565,"2018","LEVERING",10
"3",8422160,4338701883,2018-10-01,1320,"",NA,"CA",201908,"","INFI","PA","GY","10886 LE CONTE AVE","00153",51,"80.69B","NO PARKING",73,34.0636809086332,-118.444830336442,"2018","LE CONTE",10
"4",8422161,4338701894,2018-10-01,1325,"",NA,"CA",201811,"","TOYT","PA","WT","10887 LE CONTE AVE","00153",51,"80.69B","NO PARKING",73,34.0636809086332,-118.444830336442,"2018","LE CONTE",10
"5",8422162,4338701905,2018-10-01,1327,"",NA,"CA",201910,"","HOND","PA","BK","10887 LE CONTE AVE","00153",51,"80.69B","NO PARKING",73,34.0636809086332,-118.444830336442,"2018","LE CONTE",10
"6",8422163,4338701916,2018-10-01,1328,"",NA,"CA",201907,"","TOYT","PA","GY","10887 LE CONTE AVE","00153",51,"80.69B","NO PARKING",73,34.0636809086332,-118.444830336442,"2018","LE CONTE",10
"7",8422282,4339169612,2018-10-01,13,"",NA,"CA",201807,"","MERZ","PA","BK","10801 LE CONTE AV","203A",51,"5204A-","DISPLAY OF TABS",25,34.0640107139718,-118.441068057212,"2018","LE CONTE",10
"8",8423789,4340235653,2018-10-01,1354,"",NA,"CA",201901,"","HYUN","PA","BL","10801 LE CONTE AV","00159",51,"80.69B","NO PARKING",73,34.0640107139718,-118.441068057212,"2018","LE CONTE",10
"9",8423790,4340235664,2018-10-01,1358,"",NA,"CA",201905,"","JEEP","PA","WT","10801 LE CONTE AV","00159",51,"80.69B","NO PARKING",73,34.0640107139718,-118.441068057212,"2018","LE CONTE",10
"10",8423791,4340235675,2018-10-01,1401,"WV497",NA,"CA",201811,"","TOYT","PA","TN","10801 LE CONTE AV","00159",51,"80.69B","NO PARKING",73,34.0640107139718,-118.441068057212,"2018","LE CONTE",10
"11",8423815,4340250375,2018-10-01,857,"WV353",NA,"CA",201808,"","LEXS","PA","WT","1010 GLENDON AV","00112",51,"88.13B+","METER EXP.",63,34.0622382326254,-118.444092986467,"2018","GLENDON",10
"12",8423816,4340250386,2018-10-01,911,"",NA,"CA",201805,"","FORD","PA","SL","10801 WEYBURN AV","00112",51,"5204A-","DISPLAY OF TABS",25,34.0616581804821,-118.440408522488,"2018","WEYBURN",10
