"","X","Ticket.number","Issue.Date","Issue.time","Meter.Id","Marked.Time","RP.State.Plate","Plate.Expiry.Date","VIN","Make","Body.Style","Color","Location","Route","Agency","Violation.code","Violation.Description","Fine.amount","Latitude","Longitude","Year","Street","Month"
"1",8274692,4338903984,2018-09-02,1747,"WV674A",NA,"WI",201808,"","STRN","PA","GY","10850 WEYBURN AV","205B",51,"88.13B+","METER EXP.",63,34.0619611193106,-118.442480284593,"2018","WEYBURN",9
"2",8274693,4338903995,2018-09-02,1752,"WV466",NA,"FL",201810,"","DODG","VN","GY","1001 HILGARD AV","205B",51,"88.13B+","METER EXP.",63,34.0616263016795,-118.441613471118,"2018","HILGARD",9
"3",8275176,4339472012,2018-09-02,1800,"WV513",NA,"CA",201906,"","LEXS","PA","SL","10901 LE CONTE AV","205B",51,"88.13B+","METER EXP.",63,34.0636762748462,-118.445342086216,"2018","LE CONTE",9
"4",8275177,4339472023,2018-09-02,1804,"WV151",NA,"CA",201712,"","LEXS","PA","SL","900 LEVERING AV","205B",51,"88.13B+","METER EXP.",63,34.0635333609982,-118.449059112888,"2018","LEVERING",9
"5",8275178,4339472034,2018-09-02,1805,"",NA,"CA",201712,"","LEXS","PA","SL","900 LEVERING AV","205B",51,"5204A-","DISPLAY OF TABS",25,34.0635333609982,-118.449059112888,"2018","LEVERING",9
"6",8275179,4339472045,2018-09-02,1808,"WV24",NA,"CA",201907,"","TOYT","PA","BK","945 GAYLEY AV","205B",51,"88.13B+","METER EXP.",63,34.0626240970833,-118.448242006553,"2018","GAYLEY",9
"7",8275180,4339472056,2018-09-02,1815,"WV119",NA,"GA",201903,"","FORD","PA","GY","1000 GAYLEY AV","205B",51,"88.13B+","METER EXP.",63,34.0619600888849,-118.447977614145,"2018","GAYLEY",9
"8",8276067,4339212835,2018-09-03,423,"",NA,"CA",201806,"","MAZD","PA","GY","800 VETERAN AVE","504A",51,"5204A-","DISPLAY OF TABS",25,34.0627311716085,-118.451953729128,"2018","VETERAN",9
"9",8276072,4339212883,2018-09-03,440,"",NA,"CA",201805,"","MERZ","PA","WT","11090 STRATHMORE DR W","504A",51,"5204A-","DISPLAY OF TABS",25,34.0641352928478,-118.452700915998,"2018","STRATHMORE",9
"10",8276073,4339212894,2018-09-03,443,"",NA,"CA",201806,"","MERZ","PA","BL","11050 STRATHMORE DR W","504A",51,"5204A-","DISPLAY OF TABS",25,34.0642771462738,-118.4515097356,"2018","STRATHMORE",9
"11",8276074,4339212905,2018-09-03,446,"",NA,"CA",201806,"","TOYT","PU","SL","10956 STRATHMORE DR W","504A",51,"5204A-","DISPLAY OF TABS",25,34.0668058679633,-118.449859229495,"2018","STRATHMORE",9
"12",8276075,4339212916,2018-09-03,451,"",NA,"CA",201804,"","NISS","PA","WT","10963 STRATHMORE DR W","504A",51,"5204A-","DISPLAY OF TABS",25,34.0666298220543,-118.449907811072,"2018","STRATHMORE",9
"13",8276076,4339212920,2018-09-03,454,"",NA,"CA",201801,"","HYUN","PA","BK","11050 STRATHMORE DR W","504A",51,"5204A-","DISPLAY OF TABS",25,34.0642771462738,-118.4515097356,"2018","STRATHMORE",9
"14",8276077,4339212931,2018-09-03,458,"",NA,"CO",NA,"","CHEV","PA","SL","449 MIDVALE AVE S","504A",51,"22500F","PARKED ON SIDEWALK",68,34.0689310064286,-118.452528751229,"2018","MIDVALE",9
"15",8276078,4339212942,2018-09-03,503,"",NA,"CA",201909,"","TOYT","PA","SL","671 LANDFAIR AVE S","504A",51,"22500F","PARKED ON SIDEWALK",68,34.0658805385793,-118.448190116883,"2018","LANDFAIR",9
"16",8276079,4339212953,2018-09-03,505,"",NA,"CA",201807,"","VOLK","PA","YE","671 LANDFAIR AVE S","504A",51,"5204A-","DISPLAY OF TABS",25,34.0658805385793,-118.448190116883,"2018","LANDFAIR",9
"17",8276080,4339212964,2018-09-03,508,"",NA,"CA",201808,"","FORD","PA","SL","738 LEVERING AVE S","504A",51,"22500F","PARKED ON SIDEWALK",68,34.0651966005131,-118.450329340859,"2018","LEVERING",9
"18",8276102,4339237243,2018-09-03,958,"",NA,"CA",201905,"","BMW","PA","BK","1018 HILGARD AVE","00187",51,"80.71.4","PRIVATE PROPERTY",68,34.0613651003846,-118.44165501409,"2018","HILGARD",9
"19",8276103,4339237254,2018-09-03,1016,"",NA,"CA",201901,"","HOND","PA","SL","10940 ROEBLING AVE","00187",51,"80.56E4+","RED ZONE",93,34.0654568698267,-118.449062834889,"2018","ROEING",9
"20",8276104,4339237265,2018-09-03,1018,"",NA,"CA",201806,"","HOND","PA","SL","650 LANDFAIR AVE","00187",51,"5204A-","DISPLAY OF TABS",25,34.0663405199663,-118.448638334648,"2018","LANDFAIR",9
"21",8276132,4339320451,2018-09-03,915,"",NA,"AZ",201908,"","BMW","PA","RD","414 LANDFAIR AVE","00205",51,"22500F","PARKED ON SIDEWALK",68,34.0701220444325,-118.452941343853,"2018","LANDFAIR",9
"22",8276133,4339320462,2018-09-03,919,"",NA,"AZ",201809,"","JEEP","PA","BK","11045 OPHIR DR","00205",51,"22500F","PARKED ON SIDEWALK",68,34.0682456075646,-118.452842030736,"2018","OPHIR",9
"23",8276168,4339348366,2018-09-03,52,"",NA,"CA",201905,"","FORD","PA","GY","1220 MANNING AVE","503A",51,"80.56E4+","RED ZONE",93,34.0604201034595,-118.435525481153,"2018","MANNING",9
"24",8276178,4339348462,2018-09-03,1458,"",NA,"CA",201904,"","HOND","PA","BL","900 HILGARD AVE","00141",51,"80.56E1","WHITE ZONE",58,34.0640107139718,-118.441068057212,"2018","HILGARD",9
"25",8277390,4337544982,2018-09-04,826,"",NA,"CA",201807,"","TOYT","PA","WT","10793 WELLWORTH AVE","00154",51,"80.69BS","NO PARK/STREET CLEAN",73,34.058047881728,-118.438781663265,"2018","WELLWORTH",9
"26",8277391,4337545004,2018-09-04,833,"",NA,"CA",201907,"","HOND","PA","OT","1200 MALCOLM AVE","00154",51,"80.69BS","NO PARK/STREET CLEAN",73,34.0598800373677,-118.439725631202,"2018","MALCOLM",9
"27",8277392,4337545015,2018-09-04,836,"",NA,"CA",201810,"","TOYT","PA","GY","10776 ASHTON AVE","00154",51,"80.69BS","NO PARK/STREET CLEAN",73,34.0590408335334,-118.43851614109,"2018","ASHTON",9
"28",8277393,4337545026,2018-09-04,838,"",NA,"CA",201906,"","FORD","PA","WT","1226 SELBY AVE","00154",51,"80.69BS","NO PARK/STREET CLEAN",73,34.0597773202355,-118.437744121926,"2018","SELBY",9
"29",8280101,4338681303,2018-09-04,1437,"",1215,"CA",201906,"","CHEV","PA","BK","580 HILGARD AVE","00116",51,"80.69C","PARKED OVER TIME LIMIT",58,34.0704740993836,-118.438708160692,"2018","HILGARD",9
"30",8280938,4338825455,2018-09-04,1622,"",NA,"CA",201906,"","HOND","PA","BG","600 GAYLEY AVE","00306",51,"80.69AA+","NO STOP/STAND",93,34.0685348378104,-118.448973695816,"2018","GAYLEY",9
"31",8281444,4338916083,2018-09-04,1145,"",NA,"CA",201903,"","MERZ","PA","SL","1100 MALCOLM AVE","111R",51,"80.56E1","WHITE ZONE",58,34.0608953293504,-118.440117262079,"2018","MALCOLM",9
"32",8281445,4338916094,2018-09-04,1159,"WS551",NA,"CA",201805,"","DODG","PA","BK","10901 ASHTON AV","111R",51,"88.13B+","METER EXP.",63,34.0578145150778,-118.443240817797,"2018","ASHTON",9
"33",8281446,4338916105,2018-09-04,1201,"",NA,"CA",201805,"","DODG","PA","BK","10901 ASHTON AV","111R",51,"5204A-","DISPLAY OF TABS",25,34.0578145150778,-118.443240817797,"2018","ASHTON",9
"34",8281447,4338916116,2018-09-04,1203,"WS552",NA,"AZ",NA,"","NISS","PA","BK","10901 ASHTON AV","111R",51,"88.13B+","METER EXP.",63,34.0578145150778,-118.443240817797,"2018","ASHTON",9
"35",8283902,4339534172,2018-09-04,143,"",NA,"AZ",NA,"","FORD","TK","WT","10599 WILSHIRE BLVD","503A",51,"80.69.2","COMM VEH OVER TIME LIMIT",133,34.0615313156793,-118.433702133179,"2018","WILSHIRE",9
"36",8285870,4337837932,2018-09-05,1359,"",NA,"CA",201904,"","KIA","PA","BK","1100 VETERAN AVE","00302",51,"80.56E4+","RED ZONE",93,34.0583348012807,-118.448199215461,"2018","VETERAN",9
"37",8287730,4338785205,2018-09-05,553,"",NA,"CA",201808,"","PORS","PA","BK","700 LEVERING AVE","506A",51,"22500F","PARKED ON SIDEWALK",68,34.0656740711394,-118.450506909302,"2018","LEVERING",9
"38",8287731,4338785216,2018-09-05,603,"",NA,"AZ",NA,"","GMC","CM","WT","10781 ASHTON AVE","506A",51,"80.69.2","COMM VEH OVER TIME LIMIT",103,34.0590018362882,-118.438661206417,"2018","ASHTON",9
"39",8287737,4338785286,2018-09-05,726,"",NA,"CA",201905,"","TOYT","PA","SL","424 LANDFAIR AVE","506A",51,"22500F","PARKED ON SIDEWALK",68,34.0698287812444,-118.452738333001,"2018","LANDFAIR",9
"40",8288042,4338842874,2018-09-05,1806,"WV323",NA,"CA",201806,"","FORD","PA","GY","1101 GLENDON AV","00906",51,"88.13B+","METER EXP.",63,34.0607777841811,-118.444451717502,"2018","GLENDON",9
"41",8288043,4338842885,2018-09-05,1809,"WV596",NA,"CA",201811,"","SMRT","PA","WT","1000 HILGARD AV","00906",51,"88.13B+","METER EXP.",63,34.0616263016795,-118.441613471118,"2018","HILGARD",9
"42",8288044,4338842896,2018-09-05,1821,"WV124",NA,"CA",201807,"","MAZD","PA","SL","10951 WEYBURN AVE","00906",51,"88.13B+","METER EXP.",63,34.0625269182298,-118.447029752618,"2018","WEYBURN",9
"43",8288045,4338842900,2018-09-05,1822,"",NA,"CA",201807,"","MAZD","PA","SL","10951 WEYBURN AVE","00906",51,"5204A-","DISPLAY OF TABS",25,34.0625269182298,-118.447029752618,"2018","WEYBURN",9
"44",8288046,4338842911,2018-09-05,1832,"WV675",NA,"CA",201810,"","VOLK","PA","BK","10800 WEYBURN AV","00906",51,"88.13B+","METER EXP.",63,34.0616581804821,-118.440408522488,"2018","WEYBURN",9
"45",8288530,4338995802,2018-09-05,1211,"WV292",NA,"CA",201902,"","HYUN","PA","WT","10801 LINDBROOK DR","111R",51,"88.13B+","METER EXP.",63,34.0608953293504,-118.440117262079,"2018","LINDBROOK",9
"46",8288531,4338995813,2018-09-05,1214,"WV307",NA,"CA",201909,"","LEXS","PA","SL","1100 WESTWOOD BLVD","111R",51,"88.13B+","METER EXP.",63,34.0607883004129,-118.44532671232,"2018","WESTWOOD",9
"47",8288532,4338995824,2018-09-05,1221,"",NA,"CA",201805,"","MAZD","PA","RD","1100 GAYLEY AVE","111R",51,"22500F","PARKED ON SIDEWALK",68,34.0602234757446,-118.446479277639,"2018","GAYLEY",9
"48",8288533,4338995835,2018-09-05,1237,"WV450",NA,"CA",201906,"","VOLK","PA","GY","1001 TIVERTON AV","111R",51,"88.13B+","METER EXP.",63,34.0620944926344,-118.442827669345,"2018","TIVERTON",9
"49",8288534,4338995846,2018-09-05,1257,"WS128",NA,"CA",NA,"","TOYT","PA","GY","10801 WELLWORTH AV","111R",51,"88.13B+","METER EXP.",63,34.0579893733181,-118.439002559919,"2018","WELLWORTH",9
"50",8288813,4339085656,2018-09-05,1215,"",NA,"CA",10,"","OTHR","CM","BN","10970 LE CONTE AVE","00187",51,"22500I-","PARKED IN BUS ZONE",293,34.0636452706208,-118.447781928756,"2018","LE CONTE",9
"51",8288814,4339085660,2018-09-05,1227,"WV211",NA,"CA",NA,"","TOYT","PA","GY","1000 BROXTON AVE","00187",51,"88.13B+","METER EXP.",63,34.0625269182298,-118.447029752618,"2018","BROXTON",9
"52",8288815,4339085671,2018-09-05,1234,"WV323",NA,"CA",201807,"","LINC","TK","BK","1101 GLENDON AV","00187",51,"88.13B+","METER EXP.",63,34.0607777841811,-118.444451717502,"2018","GLENDON",9
"53",8288820,4339085726,2018-09-05,1527,"",NA,"CA",5,"","FRHT","TK","WT","1058 WESTWOOD BLVD","00187",51,"80.56E4+","RED ZONE",93,34.0615165374838,-118.445314080505,"2018","WESTWOOD",9
"54",8289203,4339188081,2018-09-05,2135,"",NA,"CA",201810,"","PORS","PA","YE","1101 WESTWOOD BLVD","203A",51,"5200","DISPLAY OF PLATES",25,34.0607883004129,-118.44532671232,"2018","WESTWOOD",9
"55",8289886,4339348753,2018-09-05,546,"",NA,"CA",201803,"","OTHR","MS","BL","10954 ROEBLING AVE","506A",51,"80.56E4+","RED ZONE",93,34.0652225057325,-118.449276195863,"2018","ROEING",9
"56",8289887,4339348764,2018-09-05,548,"",NA,"CA",201803,"","OTHR","MS","BL","10954 ROEBLING AVE","506A",51,"5204A-","DISPLAY OF TABS",25,34.0652225057325,-118.449276195863,"2018","ROEING",9
