place_name,shared,single,post,lat,lon
1001 Tiverton Avenue,900.0,0.0,1,34.0614,-118.44328
1030 Tiverton Avenue,825.0,1300.0,5,34.061095,-118.44289099999999
1040 Glendon Avenue,734.0,1500.0,9,34.061682,-118.44407700000001
10535 Wilshire Road,0.0,0.0,1,34.472729,-116.89044299999999
10630 Eastborne Avenue,837.0,0.0,1,34.05389,-118.43106999999999
10635 Wilshire Boulevard,625.0,0.0,2,34.06138,-118.43484
10747 Wilshire Boulevard,0.0,1425.0,2,34.060761,-118.437648
10750 Wilshire Boulevard,900.0,1750.0,2,34.06002,-118.43843999999999
10801 Rose Avenue,430.0,0.0,4,34.02564,-118.415852
10811 Ashton Avenue,673.7777777777778,1050.0,22,34.058840000000025,-118.44000999999997
10833 Wilshire Boulevard,900.0,1200.0,2,34.059707,-118.44116499999998
10905 Ohio Avenue,720.0,0.0,3,34.053490000000004,-118.44207
10911 Rochester Avenue,537.5,1400.0,6,34.056192,-118.44307300000001
10916 Ashton Avenue,535.0,0.0,7,34.057520000000004,-118.44394
10919 Strathmore Drive,593.5,0.0,3,34.067890000000006,-118.4497
10933 Rochester Avenue,651.1904761904761,1430.7142857142858,34,34.05602,-118.44360199999994
10941 Strathmore Drive,716.5,1000.0,4,34.06713,-118.450042
10944 Strathmore Drive,691.6666666666666,1778.125,36,34.06682,-118.44968000000004
10954 Roebling Avenue,0.0,0.0,5,34.065636,-118.44873400000002
10955 Roebling Avenue,640.0,0.0,3,34.065238,-118.449275
10960 Ashton Avenue,660.0,0.0,3,34.057091,-118.44552400000002
10965 Rochester Avenue,0.0,1700.0,1,34.05576,-118.44474
10965 Strathmore Drive,680.7368421052631,0.0,33,34.066490000000016,-118.45024000000002
10966 Roebling Avenue,750.0,1500.0,12,34.06528000000001,-118.44904999999996
10969 Rochester Avenue,724.5,0.0,7,34.05576,-118.44483000000001
10969 Wellworth Avenue,0.0,1225.0,1,34.056519,-118.445
10974 Roebling Avenue,620.0,0.0,2,34.064999,-118.449409
10980 Strathmore Drive,700.0,1600.0,3,34.066082,-118.44998300000002
10980 Wellworth Avenue,615.7142857142857,1560.0,9,34.056152000000004,-118.44555000000001
10982 Roebling Avenue,747.0909090909091,1676.1538461538462,58,34.06507000000005,-118.44924999999992
10983 Wellworth Avenue,731.4444444444445,1400.0,13,34.056353,-118.44563900000001
10984 Strathmore Drive,866.6666666666666,1500.0,9,34.065949999999994,-118.45005000000002
10985 Roebling Avenue,600.0,0.0,1,34.0652,-118.44961299999999
10989 Roebling Avenue,728.75,0.0,6,34.064675,-118.44978000000002
10992 Ashton Avenue,600.0,0.0,3,34.05686,-118.44634
10998 Roebling Avenue,550.0,0.0,1,34.064669,-118.449615
10998 Strathmore Drive,650.0,0.0,1,34.065819,-118.45027900000001
11000 Ophir Drive,800.0,0.0,2,34.068090000000005,-118.4518
11021 Ophir Drive,750.0,1050.0,2,34.068272,-118.452179
11024 Strathmore Drive,878.3333333333334,0.0,14,34.06471,-118.45062000000003
11026 Strathmore Drive,584.0,0.0,3,34.06457,-118.45066000000001
11044 Ophir Drive,650.6666666666666,1050.0,5,34.06812,-118.452792
11050 Strathmore Drive,750.0,2545.0,16,34.06405999999999,-118.45142000000004
11063 Ophir Drive,650.0,0.0,2,34.068386,-118.45439499999999
11070 Strathmore Drive,648.0,1100.0,3,34.064053,-118.45215400000001
11088 Ophir Drive,594.125,2015.0,11,34.068128,-118.45408999999997
