PlantType,ScientificPlantName,CommonPlantName,GrandSavana/OakWoodland,SageHill,UrbanCanyon,AlluvialCorridor,TurfAlternative,Bioswale/RainGarden,CA_native,SMM_native,TongvaList,HistoricallyImportant,upper_drier_edges,foot_trafic_tolerance,prostrate_groundcover,comments
trees,Acer macrophyllum,bigleaf maple,0,0,1,1,0,0,1,1,0,0,0,0,0,
trees,Aesculus californica,California buckeye,1,0,0,0,0,0,1,0,0,0,0,0,0,
trees,Alnus rhombifolia,white alder,0,1,0,1,0,0,1,1,0,0,0,0,0,root nodules fix nitrogen
trees,Arbutus 'Marina',Marina madrone,0,0,1,0,0,0,0,0,0,0,0,0,0,
trees,Arbutus unedo,strawberry tree,1,0,1,0,0,0,0,0,0,0,0,0,0,small stature
trees,Calocedrus decurrens,incense cedar,0,0,1,0,0,0,1,0,0,0,0,0,0,
trees,Cedrus deodara,deodor cedar,1,0,1,0,0,0,0,0,0,0,0,0,0,
trees,Corymbia ficifolia,red gum,1,0,1,0,0,0,0,0,0,0,0,0,0,
trees,Eucalyptus,eucalyptus,1,0,1,0,0,0,0,0,0,0,0,0,0,several spp. w/rounded crowns
trees,Fraxinus dipetala,flowering ash,0,0,0,1,0,0,1,1,0,0,0,0,0,
trees,Fraxinus velutina,velvet ash,0,0,0,1,0,0,1,1,0,0,0,0,0,
trees,Jacaranda mimosifolia,jacaranda,1,0,1,0,0,0,0,0,0,0,0,0,0, overplanted on campus?
trees,Juglans californica,southern California black walnut,1,1,1,1,0,0,1,1,0,0,0,0,0,
trees,Laurus nobilis,bay laurel,0,0,1,0,0,0,0,0,0,0,0,0,0,
trees,Melaleuca linariifolia,flaxleaf paperbark,1,0,1,0,0,0,0,0,0,0,0,0,0,
trees,Metrosideros excelsa,New Zealand Christmas tree,1,0,1,0,0,0,0,0,0,0,0,0,0,
trees,Olea europaea,olive,1,0,1,0,0,0,0,0,0,0,0,0,0,fruitless varieties only
trees,Pinus pinea,Italian stone pine,1,0,0,0,0,0,0,0,0,0,0,0,0,
trees,Pinus torreyana,Torrey pine,1,0,0,0,0,0,1,0,0,0,0,0,0,
trees,Platanus racemosa,California sycamore,0,1,0,1,0,0,1,1,1,0,0,0,0,
trees,Populus fremontii,Fremont cottonwood,0,0,0,1,0,0,1,1,0,0,0,0,0,roots are invasive; use with caution!
trees,Populus trichocarpa,black cottonwood,0,0,0,1,0,0,1,1,0,0,0,0,0,roots are invasive; use with caution!
trees,Quercus agrifolia,coast live oak,1,1,1,1,0,0,1,1,0,0,0,0,0,
trees,Quercus chrysolepis,canyon oak,0,0,1,0,0,0,1,0,0,0,0,0,0,
trees,Quercus engelmannii,Engelmann oak,1,0,0,0,0,0,1,0,0,0,0,0,0,
trees,Quercus ilex,holly oak,1,0,0,0,0,0,0,0,0,0,0,0,0,
trees,Quercus lobata,valley oak,1,0,0,0,0,0,1,1,0,0,0,0,0,
trees,Quercus suber,cork oak,1,0,0,0,0,0,0,0,0,0,0,0,0,
trees,Quercus tomentella,island oak,0,0,1,0,0,0,1,0,0,0,0,0,0,
trees,Salix laevigata,red willow,0,1,0,1,0,0,1,1,1,0,0,0,0,
trees,Salix lasiolepis,arroyo willow,0,0,0,1,0,0,1,1,1,0,0,0,0,
trees,Sambucus caerulea,western elderberry,1,1,0,1,0,0,1,1,1,0,0,0,0,naturally multitrunked
trees,Tipuana tipu,tipu tree,1,0,1,0,0,0,0,0,0,0,0,0,0,
trees,Umbellularia californica,California bay,0,1,1,1,0,0,1,1,1,0,0,0,0,
shrubs,Adenostoma fasciculatum-prostrate forms,chamisa,0,0,0,1,0,0,1,1,0,0,0,0,0,
shrubs,Arbutus unedo 'Compacta',compact strawberry tree,1,0,1,0,0,0,0,0,0,0,0,0,0,
shrubs,Arctostaphylos,manzanita,1,0,1,0,1,0,1,1,1,0,0,0,1,many other spp and cvs
shrubs,Artemisia californica and cvs,California sagebrush,1,1,0,1,1,0,1,1,1,0,0,0,1,cvs not local
shrubs,Atriplex lentiformis breweri,quail bush,0,0,0,1,0,0,1,1,0,0,0,0,0,
shrubs,Baccharis pilularis,coyote bush,1,1,0,1,0,0,1,1,0,0,0,0,0,groundcover cvs except in Sage Hill
shrubs,Baccharis salicifolia,mulefat,0,1,0,1,0,0,1,1,1,0,0,0,0,
shrubs,Berberis pinnata/aquifolium/repens,California barberry/Oregon-grape/creeping barberry,0,0,1,0,0,0,1,1,0,0,0,0,0,*pinnata rare in SMM
shrubs,Carpenteria californica,bush-anemone,0,0,1,0,0,0,1,0,0,0,0,0,0,
