Charges,Bail
Drug related,0
Drug related,0
Drug related,0
Drug related,0
Drug related,0
Drug related,0
Drug related,0
Drug related,0
Drug related,0
Drug related,0
Drug related,5000
Drug related,0
Drug related,100000
Drug related,0
Drug related,0
Drug related,0
Drug related,0
Drug related,50000
Drug related,0
Drug related,15000
Drug related,0
Drug related,0
Drug related,0
DUI,0
Drug related,0
DUI,0
DUI,0
DUI,0
DUI,0
Drug related,0
Drug related,0
DUI,0
DUI,0
DUI,OR
DUI,0
Drug related,0
DUI,0
Drug related,0
Drug related,0
Drug related,0
DUI,0
DUI,0
DUI,0
DUI,26000
DUI,0
Drug related,0
DUI,0
DUI,0
DUI,0
DUI,10000
DUI,26000
DUI,0
DUI,0
DUI,0
Drug related,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,5000
DUI,0
DUI,0
DUI,0
DUI,20000
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
Drug related,0
DUI,30000
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
Drug related,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
Drug related,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
Drug related,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
Drug related,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,5000
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,30000
Drug related,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
Drug related,15000
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
DUI,0
