Charges,Bail
Drug related,0
Drug related,0
Drug related,0
Drug related,0
Drug related,0
Drug related,0
Drug related,0
Drug related,0
Drug related,0
Drug related,0
Drug related,5000
Drug related,0
Drug related,100000
Drug related,0
Drug related,0
Drug related,0
Drug related,0
Drug related,50000
Drug related,0
Drug related,15000
Drug related,0
Drug related,0
Drug related,0
Driving Under Influence,0
Drug related,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Drug related,0
Drug related,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,OR
Driving Under Influence,0
Drug related,0
Driving Under Influence,0
Drug related,0
Drug related,0
Drug related,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,26000
Driving Under Influence,0
Drug related,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,10000
Driving Under Influence,26000
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Drug related,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,5000
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,20000
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Drug related,0
Driving Under Influence,30000
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Drug related,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Drug related,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
Driving Under Influence,0
