Category,FY 12-13,FY 13-14,FY 14-15,FY 15-16,FY 16-17,FY 17-18,FY 18-19,FY 19-20 (Approved but not actual)
General Fund,7840865,7722073,8046263,8186976,9083123,9588346,10599092,11013550
Recharge Income,5513091,5875011,6963650,7079707,7345486,8836374,9757757,10226587
External Income,623623,595886,617552,592293,641527,422145,519271,423235
Total Resources,13977579,14192970,15627465,15858976,17070136,18846865,20876120,21663372
Salary and Benefits,11726441,12346141,12950229,13852782,14007650,14438587,16759251,18854074
Equipment (Non Computer),160467,147010,189222,115419,112443,142193,212482,134500
Materials & Supplies,226625,162000,311450,312919,270716,368327,360096,422300
Information Technology,134502,160546,224457,236766,223329,149888,158209,656237
Communication,183507,196138,165065,162008,187145,167834,165444,194656
Travel,4200,14890,113256,119757,139789,152410,167842,144300
General Service,1220054,1178430,1535226,1468688,1812296,1935364,2397924,1963751
Maintenance & Repair,24351,18500,10444,12806,1319,500,37408,6000
Total Expenses,13680147,14223655,15499349,16281145,16754687,17355103,20258656,22375818
