Charges,Bail
Outside Agency Misdemeanor Warrant,366
Outside Agency Misdemeanor Warrant,25000
Outside Agency Misdemeanor Warrant,2500
Outside Agency Misdemeanor Warrant,40000
Outside Agency Misdemeanor Warrant,50000
Outside Agency Misdemeanor Warrant,50000
Outside Agency Misdemeanor Warrant,30000
Outside Agency Misdemeanor Warrant,1000
Outside Agency Misdemeanor Warrant,50000
Outside Agency Misdemeanor Warrant,30000
Outside Agency Misdemeanor Warrant,540
Outside Agency Misdemeanor Warrant,15000
Outside Agency Misdemeanor Warrant,65000
Outside Agency Misdemeanor Warrant,26000
Outside Agency Misdemeanor Warrant,560
Outside Agency Misdemeanor Warrant,561
Outside Agency Misdemeanor Warrant,561
Outside Agency Misdemeanor Warrant,10000
Outside Agency Misdemeanor Warrant,561
Outside Agency Misdemeanor Warrant,100000
Outside Agency Misdemeanor Warrant,26000
Outside Agency Misdemeanor Warrant,30000
Outside Agency Misdemeanor Warrant,50000
Outside Agency Misdemeanor Warrant,25000
Outside Agency Misdemeanor Warrant,25000
Outside Agency Misdemeanor Warrant,25000
Outside Agency Misdemeanor Warrant,25000
Outside Agency Misdemeanor Warrant,50000
Outside Agency Misdemeanor Warrant,50000
Outside Agency Misdemeanor Warrant,2997
Outside Agency Misdemeanor Warrant,560
Outside Agency Misdemeanor Warrant,20000
Outside Agency Misdemeanor Warrant,26000
Outside Agency Misdemeanor Warrant,26000
Outside Agency Misdemeanor Warrant,10000
Outside Agency Misdemeanor Warrant,2732
Outside Agency Misdemeanor Warrant,2000
Outside Agency Misdemeanor Warrant,575
Outside Agency Misdemeanor Warrant,683
Outside Agency Misdemeanor Warrant,1012
Outside Agency Misdemeanor Warrant,5000
Outside Agency Misdemeanor Warrant,30000
Outside Agency Misdemeanor Warrant,40000
Outside Agency Misdemeanor Warrant,30000
Outside Agency Misdemeanor Warrant,30000
Outside Agency Misdemeanor Warrant,30000
Outside Agency Misdemeanor Warrant,25000
Outside Agency Misdemeanor Warrant,10000
Outside Agency Misdemeanor Warrant,30000
Outside Agency Misdemeanor Warrant,50000
Outside Agency Misdemeanor Warrant,10286
Outside Agency Misdemeanor Warrant,7500
Outside Agency Misdemeanor Warrant,30000
Outside Agency Misdemeanor Warrant,35000
Outside Agency Misdemeanor Warrant,15212
Outside Agency Misdemeanor Warrant,5000
Outside Agency Misdemeanor Warrant,1093
Outside Agency Misdemeanor Warrant,5000
Outside Agency Misdemeanor Warrant,5000
Outside Agency Misdemeanor Warrant,7500
Outside Agency Misdemeanor Warrant,7500
Outside Agency Misdemeanor Warrant,570
Outside Agency Misdemeanor Warrant,50000
Outside Agency Misdemeanor Warrant,30000
Outside Agency Misdemeanor Warrant,30000
Outside Agency Misdemeanor Warrant,1000
Outside Agency Misdemeanor Warrant,26000
Outside Agency Misdemeanor Warrant,2061
Outside Agency Misdemeanor Warrant,30000
Outside Agency Misdemeanor Warrant,5000
Outside Agency Misdemeanor Warrant,15000
Outside Agency Misdemeanor Warrant,30000
Outside Agency Misdemeanor Warrant,1967
Outside Agency Misdemeanor Warrant,75000
Outside Agency Misdemeanor Warrant,175000
Outside Agency Misdemeanor Warrant,60000
Outside Agency Misdemeanor Warrant,10000
Outside Agency Misdemeanor Warrant,50000
Outside Agency Misdemeanor Warrant,565
Outside Agency Misdemeanor Warrant,2164
Outside Agency Misdemeanor Warrant,40000
Outside Agency Misdemeanor Warrant,10000
Outside Agency Misdemeanor Warrant,5000
Outside Agency Misdemeanor Warrant,5000
Outside Agency Misdemeanor Warrant,565
Outside Agency Misdemeanor Warrant,5000
Outside Agency Misdemeanor Warrant,30000
Outside Agency Misdemeanor Warrant,7500
Outside Agency Misdemeanor Warrant,575
Outside Agency Misdemeanor Warrant,565
Outside Agency Misdemeanor Warrant,30000
Outside Agency Misdemeanor Warrant,1584
Outside Agency Misdemeanor Warrant,10089
Outside Agency Misdemeanor Warrant,366
Outside Agency Misdemeanor Warrant,5000
Outside Agency Misdemeanor Warrant,30000
Outside Agency Misdemeanor Warrant,30000
Outside Agency Misdemeanor Warrant,15000
Outside Agency Misdemeanor Warrant,50000
Outside Agency Misdemeanor Warrant,40000
Outside Agency Misdemeanor Warrant,40000
Outside Agency Misdemeanor Warrant,5000
Outside Agency Misdemeanor Warrant,521
Outside Agency Misdemeanor Warrant,7500
Outside Agency Misdemeanor Warrant,7500
Outside Agency Misdemeanor Warrant,566
Outside Agency Misdemeanor Warrant,556
Outside Agency Misdemeanor Warrant,556
Outside Agency Misdemeanor Warrant,566
Outside Agency Misdemeanor Warrant,20000
Outside Agency Misdemeanor Warrant,5000
Outside Agency Misdemeanor Warrant,1500
Outside Agency Misdemeanor Warrant,1495
Outside Agency Misdemeanor Warrant,30000
Outside Agency Misdemeanor Warrant,30000
Outside Agency Misdemeanor Warrant,5000
Outside Agency Misdemeanor Warrant,30000
Outside Agency Misdemeanor Warrant,30000
Outside Agency Misdemeanor Warrant,571
Outside Agency Misdemeanor Warrant,571
Outside Agency Misdemeanor Warrant,570
Outside Agency Misdemeanor Warrant,565
Outside Agency Misdemeanor Warrant,27095
Outside Agency Misdemeanor Warrant,26090
Outside Agency Misdemeanor Warrant,27000
Outside Agency Misdemeanor Warrant,27090
Outside Agency Misdemeanor Warrant,571
Outside Agency Misdemeanor Warrant,27090
Outside Agency Misdemeanor Warrant,566
Outside Agency Misdemeanor Warrant,3000
Outside Agency Misdemeanor Warrant,3000
Outside Agency Misdemeanor Warrant,5000
Outside Agency Misdemeanor Warrant,15000
Outside Agency Misdemeanor Warrant,10000
Outside Agency Misdemeanor Warrant,26000
Outside Agency Misdemeanor Warrant,611
Outside Agency Misdemeanor Warrant,2000
Outside Agency Misdemeanor Warrant,888
Outside Agency Misdemeanor Warrant,8110
