UC tuition,USAC fees
1,1
1.066923077,1
1.018461538,1
1.02,1
1.034615385,1
1.147692308,1.25
1.195384615,1.25
1.256923077,1.25
1.4,1.625
1.912307692,1.625
2.341538462,1.625
2.866923077,2.25
3.162307692,2.25
3.183846154,2.25
3.204615385,2.25
3.24,2.25
3.105384615,2.25
3.002307692,2.875
3.049230769,3.01125
2.968461538,3.01125
3.297692308,4.1675
4.253846154,4.1675
4.855384615,4.17625
5.232307692,4.98875
5.270769231,4.98875
5.782307692,4.98875
6.174615385,5.4325
7.612307692,5.4325
8.676153846,6.2075
10.13923077,6.3
10.15384615,6.3225
10.17076923,6.46
10.24384615,6.685
