Membership Fee,Entertainment Fee,Academic Affairs Commission Fee,Community Service Commission Fee,Student Welfare Commission Fee,External Vice President Fee,USA Programming Fund,Community Service Mini Fund,Campus Retention Committee Fee,Community Activities Committee Fee,Community Programs Office Fee,Student Intiated Outreach Committee Fee,UCSA Contribution Fee,UCSA and USSA Travel Fee,The Green Initiative Fund,Bruin Bash Referendum,Cultural Affairs Commission Arts Restoring Community Fee
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,2,0,0.5,0.5,0,0,0,2,1,0,0,0,0,0,0,0
7,2,0,0.5,0.5,0,0,0,2,1,0,0,0,0,0,0,0
7,2,0,0.5,0.5,0,0,0,2,1,0,0,0,0,0,0,0
7,2,0.5,0.5,0.5,0,1,0.5,5,1,0,0,0,0,0,0,0
7,2,0.5,0.5,0.5,0,1,0.5,5,1,0,0,0,0,0,0,0
7,2,0.5,0.5,0.5,0,1,0.5,5,1,0,0,0,0,0,0,0
7,2,0.5,0.5,0.5,0,1,0.5,5,1,0,0,0,0,0,0,0
7,2,0.5,0.5,0.5,0,1,0.5,5,1,0,0,0,0,0,0,0
7,2,0.5,0.5,0.5,0,1,0.5,5,1,0,0,0,0,0,0,0
7,2,0.5,0.5,0.5,0,1,1,7,2,0,1.5,0,0,0,0,0
7,2,0.5,0.5,0.5,0,1,1,7,2,0,1.5,0.9,0.19,0,0,0
7,2,0.5,0.5,0.5,0,1,1,7,2,0,1.5,0.9,0.19,0,0,0
10,4,0.5,1,1.25,1,2,1,7,3,0,1.5,0.9,0.19,0,0,0
10,4,0.5,1,1.25,1,2,1,7,3,0,1.5,0.9,0.19,0,0,0
10,4,0.5,1,1.25,1,2,1,7,3,0,1.5,0.97,0.19,0,0,0
10,4,0.5,1.75,1.25,1,2,1,8.25,3.75,0,5.25,0.97,0.19,0,0,0
10,4,0.5,1.75,1.25,1,2,1,8.25,3.75,0,5.25,0.97,0.19,0,0,0
10,4,0.5,1.75,1.25,1,2,1,8.25,3.75,0,5.25,0.97,0.19,0,0,0
10,4,0.5,1.81,1.25,1,2,1,8.36,3.81,0,5.57,0.97,0.19,3,0,0
10,4,0.5,1.81,1.25,1,2,1,8.36,3.81,0,5.57,0.97,0.19,3,0,0
10,4,0.5,1.81,1.25,1.2,2,1,9.66,3.81,3,7.27,0.97,0.19,3,0,0
10,4,0.5,1.83,1.25,1.21,2,1,9.75,3.83,3.12,7.45,0.97,0.19,3.3,0,0
10,4,0.5,1.83,1.25,1.22,2,1,9.79,3.83,3.2,7.5,0.97,0.19,3.3,0,0
10,4,0.5,1.83,1.25,1.22,2,1,9.81,3.83,3.25,7.53,0.97,0.19,3.3,1,0
10,4,0.5,1.87,1.25,1.22,2,1,9.9,3.87,3.3,7.77,0.97,0.19,3.47,1.01,1.16
10,4,0.5,1.87,1.25,1.22,2,1,9.9,3.87,3.3,7.77,0.97,0.19,3.47,1.01,1.16
