Number,Name,1,2,3,4,5,6,7,8,9,FMP
2,Chancellor Ramirez,,,,SG,SSGSSS,SSGSGSSSSS,GS,SS,GG,
3,Alec Zwaneveld,,,,,,G,,,GSSGGSG,
4,Jack Grover,,,,S,SSG,GGGSSSS,SSSS,GGS,,
5,Ryder Roberts,,,,S,S,GSSSGGGSSGSSSS,SSSSGSSSGS,SGGSGSGG,SS,
6,Joey Fuentes,,,,,,SS,GSSS,GGG,S,
8,James Robinson,,,,GG,S,GS,,,G,G
9,Gordon Marshall,,S,,,,,G,,SSGSGGSSSSG,
10,David Stiling,G,,,GGG,,,,S,GSS,
11,Alex Roelse,SG,,,SSGG,SGSS,SSGSSSGGSSS,SGGSSSS,SG,SS,G
12,Matt Farmer,,,,,,,,,GSSSSSGGSGSSG,
14,Jake Simpson,,,,GSSSG,,GS,,,,
15,Warren Snyder,S,,G,SSSG,,S,S,S,SGGGG,
17,James Vlachonassios,,,,G,,SSG,SS,SS,,
18,Patrick Woepse,,,,,,SSS,,,SGSGSSSS,
19,Max Irving,,,,SSGGSSSS,SGSSSSGSSGSSSSSS,SSSGSSSSGSSSG,GG,,,
20,Austin Rone,,,S,,,SS,SSGG,SSSGS,G,
23,Patrick Fellner,,,,SGGGGGSGGSSSGGGS,GGGGSGSSSS,GSSGSSSSSSGSSSS,SSGGS,SSS,G,
24,Kent Inoue,,,,,,G,,G,S,
25,Eric Goldenberg,,,,GGG,G,SSSG,G,G,,G
26,Raphael Raede,,,,,,,,,S,
