LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION
0002444384-0001-6,BONNIE ZUCKER,,10851   WILSHIRE BLVD   SUITE #850,LOS ANGELES,90024-,10851 WILSHIRE 90024-,10850 WILSHIRE BLVD SUITE #850,LOS ANGELES,90024-4608,622000,Hospitals,5,05/03/2006,,"(34.0594, -118.4416)"
0000439891-0240-1,"ABM INDUSTRY GROUPS, LLC",,930 HILGARD AVENUE,LOS ANGELES,90024-,930 HILGARD 90024,,,,,,0,07/01/2003,07/31/2003,
0000439891-0245-2,"ABM INDUSTRY GROUPS, LLC",,10926 LE CONTE AVENUE,LOS ANGELES,90024-,10926 LE CONTE 90024,,,,,,0,08/01/1978,04/30/2004,
0000439891-0316-5,"ABM INDUSTRY GROUPS, LLC",,1575 WESTWOOD BLVD,LOS ANGELES,90024-,1575 WESTWOOD 90024,,,,,,0,01/01/1985,02/28/2000,
0002985183-0001-5,DORASTI IMPORTS,,10881   WILSHIRE BLVD   SUITE #1101,LOS ANGELES,90024-,10881 WILSHIRE 90024-,10881   WILSHIRE BLVD   SUITE #1101,LOS ANGELES,90024-,454390,"Other direct selling establishments (including door-to-door retailing, frozen food plan providers, party plan merchandisers, & coffee-break service providers)",5,01/04/2017,,"(0.0, 0.0)"
0002464724-0008-7,THE VEGGIE GRILL INC,,"308 WESTWOOD PLAZA, ACKERMAN UNION FLOOR #1ST",LOS ANGELES,90024-,"308 WESTWOOD PLAZA, ACKERMAN UNION 90024",2800   28TH STREET   SUITE #302,SANTA MONICA,90405-6205,722110,Full-service restaurants,0,01/08/2018,,"(0.0, 0.0)"
0002708132-0001-2,NEZZOH SOLUTIONS LLC,,1880   WILSHIRE     SUITE #1101,LOS ANGELES,90024-,1880 WILSHIRE 90024-,10880   WILSHIRE BLVD,LOS ANGELES,90024-4112,541510,Computer systems design & related services,0,10/15/2013,,"(0.0, 0.0)"
0002517570-0129-5,LAZ KARP ASSOCIATES LLC,VALET PARKING SERVICES,10920   WEYBURN AVENUE,LOS ANGELES,90024-,10920 WEYBURN 90024,15   LEWIS STREET,HARTFORD,06103-2502,812930,Parking lots & garages,5,01/01/2017,,"(0.0, 0.0)"
0003125023-0001-8,BBH GLOBAL INC.,,610 S MAIN STREET   SUITE #513,LOS ANGELES,90024-,610 MAIN 90024-,10866   WILSHIRE BLVD   SUITE #1250,LOS ANGELES,90024-4349,541400,"Specialized design services (including interior, industrial, graphic, & fashion design)",14,04/18/2019,,"(34.0447, -118.2498)"
0002873401-0001-5,LILLY ROUSSEVA-STOYANOVA PHD,,10850   WILSHIRE BLVD   SUITE #1260,LOS ANGELES,90024-,10850 WILSHIRE 90024-,10850   WILSHIRE BLVD   SUITE #1260,LOS ANGELES,90024-,621330,Offices of mental health practitioners (except physicians),5,11/01/2015,,"(34.059, -118.4414)"
0002873743-0001-3,"MAUL GROUP, INC",POKEME,1244   WESTWOOD BLVD,LOS ANGELES,90024-,1244 WESTWOOD 90024-,1244   WESTWOOD BLVD,LOS ANGELES,90024-,722110,Full-service restaurants,5,12/15/2015,,"(34.0579, -118.4429)"
0000181843-0001-6,BLACKBALL ENTERTAINMENT INC,,18066   WILSHIRE BLVD   SUITE #300,LOS ANGELES,90024-,18066 WILSHIRE 90024-,,,,711300,"Promoters of performing arts, sports, & similar events",0,11/05/1998,,"(0.0, 0.0)"
0002132545-0001-5,LAILA DEZINE,,10611 E BARN,LOS ANGELES,90024-,10611 BARN 90024,1028 YALE STREET,SANTA MONICA,90403-4716,,,0,03/02/2005,01/01/2007,"(0.0, 0.0)"
0000224120-0001-7,B EVERETT HENDRICKSON,,886 HILGARD AVENUE #308,LOS ANGELES,90024-,886 HILGARD 90024,,,,,,0,04/25/1995,12/30/1998,
0000044809-0001-0,VICTOR LIEBERMAN/JERRY CIMBALIST,,10866 WILSHIRE BLVD #100,LOS ANGELES,90024-,10866 WILSHIRE 90024,,,,,,0,06/28/1993,12/31/1997,
0000183765-0001-9,KID GUMBO PRODUCTIONS INC,,10960 WILSHIRE BLVD #23FL,LOS ANGELES,90024-,10960 WILSHIRE 90024,,,,,,0,07/13/1999,01/31/2001,
0000082265-0001-5,ALI SHAFIEYAN,,1441 MIDVALE AVENUE #215,LOS ANGELES,90024-,1441 MIDVALE 90024,,,,,,0,08/30/1993,12/31/1995,
0000950787-0001-8,PAYAM ZARABI,,10400 ASHTON AVENUE #4,LOS ANGELES,90024-,10400 ASHTON 90024,,,,,,0,04/15/1999,12/31/1999,
0000001513-0001-4,MITCHELL D BECKER,,100 UCLA MEDICAL PLAZA #455,LOS ANGELES,90024-,100 UCLA MEDICAL 90024,,,,,,0,02/10/1992,12/31/1997,
0000435337-0001-3,SHARON EPSTEIN CPA,,10990 WILSHIRE BLVD #16FL,LOS ANGELES,90024-,10990 WILSHIRE 90024,,,,,,0,01/15/1997,08/31/2001,
0000510738-0001-7,MEIR/SMIL RUHMAN/SURA R FEINSTEIN,,540 LANDFAIR AVENUE,LOS ANGELES,90024-,540 LANDFAIR 90024,,,,,,0,12/01/1957,05/31/2000,
0000254688-0001-5,GERALD D MURPHY,,10990 WILSHIRE BLVD #120,LOS ANGELES,90024-,10990 WILSHIRE 90024,,,,,,0,11/01/1995,12/30/1999,
0000189580-0001-1,ABDULLAH M BASAMAH,,1416 WESTWOOD BLVD #205,LOS ANGELES,90024-,1416 WESTWOOD 90024,,,,,,0,09/11/1996,12/30/1998,
0000293106-0001-4,ROUZBEH HEYAT AHMADY,,1762 WESTWOOD BLVD #450,LOS ANGELES,90024-,1762 WESTWOOD 90024,,,,,,0,05/15/1996,12/31/1996,
0000790463-0001-2,REBECCA L/DAVID CAMPBELL,,10250 WILSHIRE BLVD,LOS ANGELES,90024-,10250 WILSHIRE 90024,,,,,,0,12/01/1996,12/26/1996,
0000188922-0001-3,VICTOR LOGACHEV/ALEXANDRE KOUZNETSOV,,901 LEVERING AVENUE #27,LOS ANGELES,90024-,901 LEVERING 90024,,,,,,0,09/19/1996,12/31/1998,
0000894749-0001-1,AMEMURA CLUB INTERNATIONAL INC,,10920 KINROSS AVENUE,LOS ANGELES,90024-,10920 KINROSS 90024,,,,,,0,09/01/1998,12/31/2001,
0000744062-0001-2,STEVEN E COOKE,,911 WESTWOOD BLVD,LOS ANGELES,90024-,911 WESTWOOD 90024,,,,,,0,11/01/1989,12/31/2002,
0000991397-0001-1,THOMAS LEE,,10530 ROCHESTER AVENUE,LOS ANGELES,90024-,10530 ROCHESTER 90024,,,,,,0,07/20/2000,12/31/2002,
0000295592-0001-6,JAE SOON OH,,972 GAYLEY AVENUE,LOS ANGELES,90024-,972 GAYLEY 90024,,,,,,0,12/27/2000,12/01/2003,
0000163586-0001-1,BROXTON FOOD SERVICE INC,,1077 BROXTON AVENUE,LOS ANGELES,90024-,1077 BROXTON 90024,,,,,,0,07/01/2000,12/31/2000,
0000040068-0001-2,QADREE EL-AMIN,,10675 SANTA MONICA BLVD,LOS ANGELES,90024-,10675 SANTA MONICA 90024,,,,,,0,06/01/2000,12/31/2001,
