"name","address","start","end","gcode","lat","long","status","contains"
"Home Business","969 HILGARD AVENUE,LOS ANGELES,CA,90024","03/04/1997","08/31/2018","969, Hilgard Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0624301864616,-118.441578387567,"closed",0
"Home Business","972 HILGARD AVENUE,LOS ANGELES,CA,90024","09/01/2012","07/01/2018","972, Hilgard Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0623108944174,-118.441397586243,"closed",0
"WILD FLOWER EVENTS, LLC","476 COMSTOCK AVENUE,LOS ANGELES,CA,90024","03/31/2008","12/31/2018","476, Comstock Avenue, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0741225948902,-118.432238030346,"closed",1
"Home Business","1031 BROXTON AVENUE,LOS ANGELES,CA,90024","01/01/2018","07/01/2018","1031, Broxton Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.06186905,-118.446977405269,"closed",0
"Home Business","1536 MALCOLM AVENUE,LOS ANGELES,CA,90024","07/28/2017","09/01/2018","1536, Malcolm Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0547648163265,-118.438488163265,"closed",0
"MID MARK CONSULTING INC","10717 WILSHIRE BLVD,LOS ANGELES,CA,90024","04/06/2016","12/31/2018","10717, Wilshire Boulevard, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.060764451355,-118.436555642333,"closed",1
"ISABELLA BEVERLY HILLS LLC","1300 MIDVALE AVENUE,LOS ANGELES,CA,90024","06/20/2018","09/28/2018","1300, Midvale Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.056461,-118.444345,"closed",1
"Home Business","10911 WELLWORTH AVENUE,LOS ANGELES,CA,90024","01/01/2016","10/01/2018","10911, Wellworth Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05695875,-118.443228416667,"closed",0
"RHODIUM MANAGEMENT INC","10960 WILSHIRE BLVD,LOS ANGELES,CA,90024","09/20/2017","08/30/2018","Equinox Building, 10960, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.05787365,-118.445925726254,"closed",1
"JUMPING FOOL COMPANY INC","10866 WILSHIRE BLVD,LOS ANGELES,CA,90024","01/01/2009","12/31/2018","10866, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0591843846154,-118.442019384615,"closed",1
"AJA INC","970 GAYLEY AVENUE,LOS ANGELES,CA,90024","01/02/2008","08/28/2018","970, Gayley Avenue, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0622965714286,-118.448007428571,"closed",1
"GLOBAL KORP INC","10866 WILSHIRE BLVD,LOS ANGELES,CA,90024","10/15/2018","12/31/2018","10866, Wilshire Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0591843846154,-118.442019384615,"closed",1
"Home Business","1437 WESTWOOD BLVD,LOS ANGELES,CA,90024","03/02/1993","09/14/2018","1437, Westwood Boulevard, Westwood Village, Westwood, Los Angeles, Los Angeles County, California, 90024, United States",34.0547956938776,-118.441408693878,"closed",0
