"year","month","TOTAL"
"2018","01",25
"2018","02",15
"2018","03",7
"2018","04",10
"2018","05",9
"2018","06",14
"2018","07",6
"2018","08",13
"2018","09",14
"2018","10",15
"2018","11",15
"2018","12",157
"2019","01",28
"2019","02",5
"2019","03",7
"2019","04",8
"2019","05",13
"2019","06",11
"2019","07",12
"2019","08",11
"2019","09",7
"2019","10",11
"2019","11",9
"2019","12",126
"2020","01",6
"2020","02",4
"2020","03",6
"2020","04",1
"2020","05",4
"2020","06",8
"2020","07",4
"2020","08",6
"2020","09",3
"2020","10",4
