"year","month","TOTAL"
"2018","01",126
"2018","02",44
"2018","03",32
"2018","04",33
"2018","05",24
"2018","06",32
"2018","07",28
"2018","08",31
"2018","09",26
"2018","10",32
"2018","11",26
"2018","12",11
"2019","01",131
"2019","02",22
"2019","03",17
"2019","04",28
"2019","05",18
"2019","06",26
"2019","07",36
"2019","08",19
"2019","09",25
"2019","10",24
"2019","11",21
"2019","12",15
"2020","01",44
"2020","02",16
"2020","03",13
"2020","04",19
"2020","05",5
"2020","06",8
"2020","07",16
"2020","08",19
"2020","09",12
"2020","10",11
"2020","11",8
"2020","12",5
