id,value,name
Psychology,83000,100B & 100A
Economics,18000,1 & 41
Microbiology, Immunology and Molecular Genetics,11000,101
Sociology,5000,1
English Composition,2000,3
Molecular, Cell, and Developmental Biology,4000,144 & 146
Spanish,3000,2 & 5
Statistics,21000,13 & 101A
Chemistry,30000,14C & 14B
Film,3000,106B
Neuroscience,2000,102
Philosophy,3000,7
Physiological Sciences,4000,107
Computer Science,13000,131 & 31
History,2000,5 & 136A
Physics,72000,5A & 5C
Program in Computing,3000,10
Political Science,5000,10,40
Digital Humanities,2000,110 & 101
Life Sciences,17000,107 & 7A
Disability Studies,5000,101W
Linguistics,10000,1
Management,7000,1B & 120A
Ecology & Evolutionary Biology,14000,100
Math,33000,170E & 31B
