"unitid","institution name","year","EFFY2023.Level and degree/certificate-seeking status of student","EFFY2023.Undergraduate or graduate level of student","EFFY2023.Grand total","EFFY2023.Grand total men","EFFY2023.Grand total women","EFFY2023.Hispanic or Latino total","EFFY2023.Hispanic or Latino men","EFFY2023.Hispanic or Latino women","IDX_E12"
"110529","California State Polytechnic University-Pomona","2023","All students total","All students total","29442","15756","13686","15364","7429","7935","-2"
"110529","California State Polytechnic University-Pomona","2023","All students, Undergraduate total","Undergraduate","26692","14485","12207","14161","6899","7262","-2"
"110529","California State Polytechnic University-Pomona","2023","All students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","26473","14409","12064","14090","6887","7203","-2"
"110529","California State Polytechnic University-Pomona","2023","All students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","3657","2029","1628","1956","975","981","-2"
"110529","California State Polytechnic University-Pomona","2023","All students, Undergraduate, Other degree/certificate-seeking","Not applicable, undergraduate detail","22816","12380","10436","12134","5912","6222","-2"
"110529","California State Polytechnic University-Pomona","2023","All students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","219","76","143","71","12","59","-2"
"110529","California State Polytechnic University-Pomona","2023","All students, Graduate","Graduate","2750","1271","1479","1203","530","673","-2"
"110529","California State Polytechnic University-Pomona","2023","All students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","3009","1546","1463","1708","767","941","-2"
"110529","California State Polytechnic University-Pomona","2023","All students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail","19807","10834","8973","10426","5145","5281","-2"
"110529","California State Polytechnic University-Pomona","2023","Full-time students total","Not applicable, undergraduate detail","23061","12314","10747","12096","5793","6303","-2"
"110529","California State Polytechnic University-Pomona","2023","Full-time students, Undergraduate total","Not applicable, undergraduate detail","21871","11836","10035","11547","5596","5951","-2"
"110529","California State Polytechnic University-Pomona","2023","Full-time students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","21847","11825","10022","11547","5596","5951","-2"
"110529","California State Polytechnic University-Pomona","2023","Full-time students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","3577","1984","1593","1902","948","954","-2"
"110529","California State Polytechnic University-Pomona","2023","Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Not applicable, undergraduate detail","18270","9841","8429","9645","4648","4997","-2"
"110529","California State Polytechnic University-Pomona","2023","Full-time students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","24","11","13","0","0","0","-2"
"110529","California State Polytechnic University-Pomona","2023","Full-time students, Graduate","Not applicable, undergraduate detail","1190","478","712","549","197","352","-2"
"110529","California State Polytechnic University-Pomona","2023","Full-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","2699","1411","1288","1538","703","835","-2"
"110529","California State Polytechnic University-Pomona","2023","Full-time students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail","15571","8430","7141","8107","3945","4162","-2"
"110529","California State Polytechnic University-Pomona","2023","Part-time students total","Not applicable, undergraduate detail","6381","3442","2939","3268","1636","1632","-2"
"110529","California State Polytechnic University-Pomona","2023","Part-time students, Undergraduate total","Not applicable, undergraduate detail","4821","2649","2172","2614","1303","1311","-2"
"110529","California State Polytechnic University-Pomona","2023","Part-time students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","4626","2584","2042","2543","1291","1252","-2"
"110529","California State Polytechnic University-Pomona","2023","Part-time students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","80","45","35","54","27","27","-2"
"110529","California State Polytechnic University-Pomona","2023","Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Not applicable, undergraduate detail","4546","2539","2007","2489","1264","1225","-2"
"110529","California State Polytechnic University-Pomona","2023","Part-time students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","195","65","130","71","12","59","-2"
"110529","California State Polytechnic University-Pomona","2023","Part-time students, Graduate","Not applicable, undergraduate detail","1560","793","767","654","333","321","-2"
"110529","California State Polytechnic University-Pomona","2023","Part-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","310","135","175","170","64","106","-2"
"110529","California State Polytechnic University-Pomona","2023","Part-time students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail","4236","2404","1832","2319","1200","1119","-2"
"110547","California State University-Dominguez Hills","2023","All students total","All students total","18253","6792","11461","12184","4396","7788","-2"
"110547","California State University-Dominguez Hills","2023","All students, Undergraduate total","Undergraduate","15412","5936","9476","10874","4067","6807","-2"
"110547","California State University-Dominguez Hills","2023","All students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","15267","5882","9385","10813","4046","6767","-2"
"110547","California State University-Dominguez Hills","2023","All students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","2065","920","1145","1656","741","915","-2"
"110547","California State University-Dominguez Hills","2023","All students, Undergraduate, Other degree/certificate-seeking","Not applicable, undergraduate detail","13202","4962","8240","9157","3305","5852","-2"
"110547","California State University-Dominguez Hills","2023","All students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","145","54","91","61","21","40","-2"
"110547","California State University-Dominguez Hills","2023","All students, Graduate","Graduate","2841","856","1985","1310","329","981","-2"
"110547","California State University-Dominguez Hills","2023","All students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","2585","953","1632","1683","575","1108","-2"
"110547","California State University-Dominguez Hills","2023","All students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail","10617","4009","6608","7474","2730","4744","-2"
"110547","California State University-Dominguez Hills","2023","Full-time students total","Not applicable, undergraduate detail","12487","4703","7784","8753","3179","5574","-2"
"110547","California State University-Dominguez Hills","2023","Full-time students, Undergraduate total","Not applicable, undergraduate detail","10930","4249","6681","8030","3014","5016","-2"
"110547","California State University-Dominguez Hills","2023","Full-time students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","10911","4242","6669","8030","3014","5016","-2"
"110547","California State University-Dominguez Hills","2023","Full-time students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","1911","841","1070","1537","679","858","-2"
"110547","California State University-Dominguez Hills","2023","Full-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Not applicable, undergraduate detail","9000","3401","5599","6493","2335","4158","-2"
"110547","California State University-Dominguez Hills","2023","Full-time students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","19","7","12","0","0","0","-2"
"110547","California State University-Dominguez Hills","2023","Full-time students, Graduate","Not applicable, undergraduate detail","1557","454","1103","723","165","558","-2"
"110547","California State University-Dominguez Hills","2023","Full-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","1801","709","1092","1190","436","754","-2"
"110547","California State University-Dominguez Hills","2023","Full-time students, Undergraduate, Other degree/certificate-seeking, Continuing","Not applicable, undergraduate detail","7199","2692","4507","5303","1899","3404","-2"
"110547","California State University-Dominguez Hills","2023","Part-time students total","Not applicable, undergraduate detail","5766","2089","3677","3431","1217","2214","-2"
"110547","California State University-Dominguez Hills","2023","Part-time students, Undergraduate total","Not applicable, undergraduate detail","4482","1687","2795","2844","1053","1791","-2"
"110547","California State University-Dominguez Hills","2023","Part-time students, Undergraduate, Degree/certificate-seeking total","Not applicable, undergraduate detail","4356","1640","2716","2783","1032","1751","-2"
"110547","California State University-Dominguez Hills","2023","Part-time students, Undergraduate, Degree/certificate-seeking, First-time","Not applicable, undergraduate detail","154","79","75","119","62","57","-2"
"110547","California State University-Dominguez Hills","2023","Part-time students, Undergraduate, Degree/certificate-seeking, Other degree/certificate-seeking","Not applicable, undergraduate detail","4202","1561","2641","2664","970","1694","-2"
"110547","California State University-Dominguez Hills","2023","Part-time students, Undergraduate, Non-degree/certificate-seeking","Not applicable, undergraduate detail","126","47","79","61","21","40","-2"
"110547","California State University-Dominguez Hills","2023","Part-time students, Graduate","Not applicable, undergraduate detail","1284","402","882","587","164","423","-2"
"110547","California State University-Dominguez Hills","2023","Part-time students, Undergraduate, Other degree/certificate-seeking, Transfer-ins","Not applicable, undergraduate detail","784","244","540","493","139","354","-2"
