degree_year,act_major_name,avg_gpa
2013-14,AEROSPACE ENGINEERING,3.28533
2013-14,AFRICAN AMERICAN STUDIES,3.035258
2013-14,AFRICAN AND MIDDLE EASTERN STUDIES,3.545781
2013-14,AMERICAN LITERATURE & CULTURE,3.314196
2013-14,ANTHROPOLOGY,3.213913
2013-14,APPLIED LINGUISTICS,3.369056
2013-14,APPLIED MATHEMATICS,3.316698
2013-14,ARCHITECTURAL STUDIES,3.527161
2013-14,ART,3.604887
2013-14,ART HISTORY,3.477336
2013-14,ASIAN AMERICAN STUDIES,3.21597
2013-14,ASIAN HUMANITIES,3.288305
2013-14,ASIAN STUDIES,3.141669
2013-14,ASTROPHYSICS,3.128286
2013-14,ATMOSPHERIC AND OCEANIC SCIENCES,3.116728
2013-14,BIOCHEMISTRY,3.291612
2013-14,BIOENGINEERING,3.432295
2013-14,BIOLOGY,3.156898
2013-14,BIOPHYSICS,2.986706
2013-14,BUSINESS ECONOMICS,3.613534
2013-14,CHEMICAL ENGINEERING,3.271387
2013-14,CHEMISTRY,3.029211
2013-14,CHEMISTRY - MATERIAL SCIENCE,3.11867
2013-14,CHICANA & CHICANO STUDIES,3.235882
2013-14,CHINESE,3.182506
2013-14,CIVIL ENGINEERING,3.226727
2013-14,CLASSICAL CIVILIZATION,3.367877
2013-14,COGNITIVE SCIENCE,3.323249
2013-14,COMMUNICATION STUDIES,3.533192
2013-14,COMPARATIVE LITERATURE,3.52133
2013-14,COMPUTER SCIENCE,3.287582
2013-14,COMPUTER SCIENCE & ENGINEERING,3.163549
2013-14,DESIGN MEDIA ARTS,3.46904
2013-14,"ECOLOGY, BEHAVIOR & EVOLUTION",3.366301
2013-14,ECONOMICS,3.272904
2013-14,ELECTRICAL ENGINEERING,3.194503
2013-14,ENGLISH,3.384755
2013-14,ENVIRONMENTAL SCIENCE,3.288706
2013-14,ETHNOMUSICOLOGY,3.51043
2013-14,FILM & TELEVISION,3.696145
2013-14,FRENCH,3.466419
2013-14,GENDER STUDIES,3.243506
2013-14,GEOGRAPHY,3.066699
2013-14,GEOGRAPHY/ENVIRONMENTAL STUDIES,3.192261
2013-14,GLOBAL STUDIES,3.534488
2013-14,HISTORY,3.331492
2013-14,HUMAN BIOLOGY AND SOCIETY,3.481606
2013-14,INTERNATIONAL DEVELOPMENT STUDIES,3.298257
2013-14,JAPANESE,3.355314
2013-14,LINGUISTICS,3.299925
2013-14,LINGUISTICS & ASIAN LANGUAGES & CULTURES,3.385903
2013-14,LINGUISTICS & PSYCHOLOGY,3.036514
2013-14,MARINE BIOLOGY,3.505488
2013-14,MATERIALS ENGINEERING,3.130095
2013-14,MATHEMATIC OF COMPUTATION,3.267053
2013-14,MATHEMATICS,3.240154
2013-14,MATHEMATICS - APPLIED SCIENCE,3.338525
2013-14,MATHEMATICS/ECONOMICS,3.260588
2013-14,MECHANICAL ENGINEERING,3.296256
2013-14,MICROBIOLOGY - IMMUNOLOGY - MOLECULAR GENETICS,3.374826
2013-14,"MOLECULAR, CELL, & DEVELOPMENTAL BIOLOGY",3.457591
2013-14,MUSIC,3.514683
2013-14,MUSICOLOGY,3.467
2013-14,NEUROSCIENCE,3.379912
2013-14,NURSING - FOUR YEAR PROGRAM,3.488452
2013-14,PHILOSOPHY,3.266539
2013-14,PHYSICS,3.364855
2013-14,PHYSIOLOGICAL SCIENCE,3.464577
2013-14,POLITICAL SCIENCE,3.353504
2013-14,PSYCHOBIOLOGY,3.359298
2013-14,PSYCHOLOGY,3.373425
2013-14,SOCIOLOGY,3.175475
2013-14,SPANISH,3.22796
2013-14,SPANISH AND COMMUNITY AND CULTURE,3.171029
2013-14,STATISTICS,3.106359
2013-14,THEATER,3.447895
2013-14,WORLD ARTS & CULTURE,3.421839
2014-15,AEROSPACE ENGINEERING,3.121431
2014-15,AFRICAN AMERICAN STUDIES,3.288345
2014-15,AMERICAN LITERATURE & CULTURE,3.282466
2014-15,ANTHROPOLOGY,3.180279
2014-15,APPLIED LINGUISTICS,3.314598
2014-15,APPLIED MATHEMATICS,3.137027
2014-15,ARCHITECTURAL STUDIES,3.50598
2014-15,ART,3.469969
2014-15,ART HISTORY,3.466139
2014-15,ASIAN AMERICAN STUDIES,3.268504
2014-15,ASIAN HUMANITIES,3.222789
2014-15,ASIAN STUDIES,3.177871
2014-15,ASTROPHYSICS,3.310815
2014-15,ATMOSPHERIC AND OCEANIC SCIENCES,3.00766
2014-15,BIOCHEMISTRY,3.264078
2014-15,BIOENGINEERING,3.318787
2014-15,BIOLOGY,3.220726
2014-15,BIOPHYSICS,3.363206
2014-15,BUSINESS ECONOMICS,3.611777
2014-15,CHEMICAL ENGINEERING,3.269188
2014-15,CHEMISTRY,3.060049
2014-15,CHEMISTRY - MATERIAL SCIENCE,3.219752
2014-15,CHICANA & CHICANO STUDIES,3.262607
2014-15,CHINESE,3.402497
2014-15,CIVIL ENGINEERING,3.304459
2014-15,CLASSICAL CIVILIZATION,3.3824
2014-15,COGNITIVE SCIENCE,3.29422
2014-15,COMMUNICATION STUDIES,3.615793
2014-15,COMPARATIVE LITERATURE,3.605427
2014-15,COMPUTER SCIENCE,3.235841
2014-15,COMPUTER SCIENCE & ENGINEERING,3.162646
2014-15,DESIGN MEDIA ARTS,3.435412
2014-15,"ECOLOGY, BEHAVIOR & EVOLUTION",3.525067
2014-15,ECONOMICS,3.264728
2014-15,ELECTRICAL ENGINEERING,3.202764
2014-15,ENGLISH,3.393234
2014-15,ENVIRONMENTAL SCIENCE,3.324301
2014-15,ETHNOMUSICOLOGY,3.548432
2014-15,FILM & TELEVISION,3.793891
2014-15,FINANCIAL ACTUARIAL MATHEMATICS,3.364611
2014-15,FRENCH,3.491219
2014-15,GENDER STUDIES,3.277952
2014-15,GEOGRAPHY,3.159615
2014-15,GEOGRAPHY/ENVIRONMENTAL STUDIES,3.238374
2014-15,GLOBAL STUDIES,3.607375
2014-15,HISTORY,3.381154
2014-15,HUMAN BIOLOGY AND SOCIETY,3.428189
2014-15,INTERNATIONAL DEVELOPMENT STUDIES,3.359216
2014-15,JAPANESE,3.364614
2014-15,LATIN-AMERICAN STUDIES,3.055573
2014-15,LINGUISTICS,3.244128
2014-15,LINGUISTICS & ASIAN LANGUAGES & CULTURES,3.342585
2014-15,LINGUISTICS & COMPUTER SCIENCE,3.220305
2014-15,LINGUISTICS & PSYCHOLOGY,3.137565
2014-15,MATERIALS ENGINEERING,3.359017
2014-15,MATHEMATIC OF COMPUTATION,3.364976
2014-15,MATHEMATICS,3.262367
2014-15,MATHEMATICS - APPLIED SCIENCE,3.214818
2014-15,MATHEMATICS FOR TEACHING,3.265007
2014-15,MATHEMATICS/ECONOMICS,3.22364
2014-15,MECHANICAL ENGINEERING,3.329186
2014-15,MICROBIOLOGY - IMMUNOLOGY - MOLECULAR GENETICS,3.35301
2014-15,"MOLECULAR, CELL, & DEVELOPMENTAL BIOLOGY",3.508363
2014-15,MUSIC,3.478667
2014-15,MUSICOLOGY,3.336192
2014-15,NEUROSCIENCE,3.396357
2014-15,NURSING - FOUR YEAR PROGRAM,3.450011
2014-15,PHILOSOPHY,3.289856
2014-15,PHYSICS,3.331493
2014-15,PHYSIOLOGICAL SCIENCE,3.52475
2014-15,POLITICAL SCIENCE,3.385628
2014-15,PSYCHOBIOLOGY,3.356891
2014-15,PSYCHOLOGY,3.375279
2014-15,SOCIOLOGY,3.169542
2014-15,SPANISH,3.231475
2014-15,SPANISH AND COMMUNITY AND CULTURE,3.292076
2014-15,STATISTICS,3.347565
2014-15,STUDY OF RELIGION,3.31948
2014-15,THEATER,3.437482
2014-15,WORLD ARTS & CULTURE,3.569144
2015-16,AEROSPACE ENGINEERING,3.281414
2015-16,AFRICAN AMERICAN STUDIES,3.314569
2015-16,AMERICAN LITERATURE & CULTURE,3.341293
2015-16,ANTHROPOLOGY,3.204938
2015-16,APPLIED LINGUISTICS,3.336723
2015-16,APPLIED MATHEMATICS,3.309324
2015-16,ARABIC,3.563689
2015-16,ARCHITECTURAL STUDIES,3.528349
2015-16,ART,3.615622
2015-16,ART HISTORY,3.345968
2015-16,ASIAN AMERICAN STUDIES,3.130329
2015-16,ASIAN HUMANITIES,3.29045
2015-16,ASIAN STUDIES,3.036466
2015-16,ASTROPHYSICS,3.114463
2015-16,ATMOSPHERIC AND OCEANIC SCIENCES,3.155548
2015-16,BIOCHEMISTRY,3.367857
2015-16,BIOENGINEERING,3.43323
2015-16,BIOLOGY,3.250288
2015-16,BUSINESS ECONOMICS,3.63406
2015-16,CHEMICAL ENGINEERING,3.313668
2015-16,CHEMISTRY,3.14563
2015-16,CHEMISTRY - MATERIAL SCIENCE,3.18672
2015-16,CHICANA & CHICANO STUDIES,3.244103
