,11:00am - 3pm,5:00pm - 9pm,9:00pm - 12pm,10:30am - 3pm,5:00pm - 8pm,8:00pm - 11pm,10:30am - 2pm
8E8 Thai Street Food,31,35,14,8,14,3,0
Aloha Fridays,22,25,8,0,0,0,0
Asian (TBD),0,0,0,0,1,0,0
Austyn's Burgers,7,12,15,8,22,12,0
Baby's Burgers,8,7,2,12,15,0,0
Belly's Sliders,11,7,0,8,8,3,1
Bison Burger,18,17,23,3,7,0,1
Bittie Bitez,2,1,56,0,0,0,0
Bollywood Kitchen,18,23,19,0,1,0,0
Bunz Gourmet,2,3,0,1,1,1,0
Café Vietnam,8,12,8,0,2,0,0
Cartel Tacos,36,23,26,8,14,14,0
Cerda Vega,26,27,25,7,10,6,0
Creamy Boys,2,5,70,0,1,12,0
Deli Doctor ,0,2,4,3,3,2,0
Delicias El Torito Mexican Food Truck,0,0,0,0,0,1,0
Dina's Dumplings,31,29,12,0,0,0,0
Dulce Europa,8,15,23,0,0,0,0
Flaming Grain,29,15,0,3,6,3,1
Flaming Hot Chicken,19,23,22,20,26,8,1
Food Truck,0,0,0,0,0,6,0
Go Fusion,16,18,2,0,0,0,0
Good Eats and Vibes,0,0,0,2,2,3,0
Habibi Shack,11,26,14,0,0,0,0
Heritage,6,2,0,0,0,0,0
Kabab Express,0,0,0,0,1,0,1
Kalamaki Greek,19,23,29,0,0,0,0
Kogi,7,13,10,56,2,0,1
Lockdown BBQ,0,0,0,1,2,0,1
ML Eats,0,0,0,7,19,8,0
Manna from Heaven,0,0,0,0,1,3,0
Messi Burgers,0,0,0,0,1,0,0
Mikhuna,0,0,0,3,2,2,0
Ohana Hibachi,0,0,0,0,2,0,0
Original Herbivore,10,15,14,10,21,6,0
Pacifico Charbroiled,12,13,14,11,11,8,0
Paradise,0,1,43,0,0,2,0
Pepe's Taco,0,0,0,1,2,0,1
Perro,19,49,47,0,5,4,0
Philly Jay's,15,12,12,4,15,6,0
Pinch of Flavor,38,36,28,17,22,17,0
Poutine Brothers,23,20,17,11,11,6,0
Salpicon,71,12,3,0,0,0,0
Savage Tacos,16,11,4,4,8,3,0
Smile Hot Dog,25,30,19,0,0,0,0
Something Good LA,0,0,0,1,8,5,0
StopBye Café,28,38,3,6,12,5,0
Stout Burgers,0,0,0,3,4,3,0
Sugo Italiano,16,12,1,0,0,0,0
Sweets on Wheels,12,1,22,0,0,0,0
Taste Collective Burger,0,0,0,2,1,1,0
Thai Mex Cocina,9,14,3,0,0,0,0
Tokyo Style,16,22,22,9,14,4,0
Trapiyaki,0,0,0,9,17,8,0
Uncle Al's,25,20,11,4,6,5,0
Venice Gelato,2,1,13,0,0,2,0
Wafl,24,19,22,18,23,27,0
White Rabbit,0,0,0,0,3,1,0
Yalla,13,16,5,3,1,0,0
Yuna's Bob,23,25,4,0,1,0,0
