Date,Daily_Total
9/16/22,12730
9/17/22,17233
9/18/22,36575
9/19/22,20358.5
9/20/22,21090
9/21/22,27768.5
9/22/22,30704
9/23/22,32309.5
9/24/22,36651
9/25/22,35720
9/26/22,34314
9/27/22,41496
9/28/22,37933.5
9/29/22,39776.5
9/30/22,35387.5
10/1/22,33715.5
10/2/22,34893.5
10/3/22,41420
10/4/22,44678.5
10/5/22,41733.5
10/6/22,40479.5
10/7/22,36043
10/8/22,41496
10/9/22,44412.5
10/10/22,46559.5
10/11/22,45096.5
10/12/22,49979.5
10/13/22,42389
10/14/22,37677
10/15/22,42902
10/16/22,52544.5
10/17/22,44669
10/18/22,45742.5
10/19/22,42275
10/20/22,50511.5
10/21/22,39102
10/22/22,46369.5
10/23/22,48108
10/24/22,39700.5
10/25/22,54074
10/26/22,46350.5
10/27/22,48773
10/28/22,38209
10/29/22,50350
10/30/22,46901.5
10/31/22,46455
11/1/22,50777.5
11/2/22,48440.5
11/3/22,53162
11/4/22,37582
11/5/22,47804
11/6/22,44298.5
11/7/22,46616.5
11/8/22,46246
11/9/22,47186.5
11/10/22,48013
11/11/22,42446
11/12/22,40593.5
11/13/22,49960.5
11/14/22,49761
11/15/22,44536
11/16/22,50616
11/17/22,43149
11/18/22,41068.5
11/19/22,46550
11/20/22,52326
11/21/22,35862.5
11/22/22,39301.5
11/23/22,0
11/24/22,0
11/25/22,0
11/26/22,0
11/27/22,16188
11/28/22,49096
11/29/22,38883.5
11/30/22,43586
12/1/22,49922.5
12/2/22,39377.5
12/3/22,50758.5
12/4/22,58529.5
12/5/22,49105.5
12/6/22,36841
12/7/22,43006.5
12/8/22,62842.5
12/13/22,17128.5
1/8/23,17660.5
1/9/23,28747
1/10/23,38408.5
1/11/23,31739.5
1/12/23,35007.5
1/13/23,30096
1/14/23,0
1/15/23,0
1/16/23,21650.5
1/17/23,31416.5
1/18/23,37110
1/19/23,31541.5
1/20/23,34143
1/21/23,38076
1/22/23,35672.5
1/23/23,35948
1/24/23,37819.5
1/25/23,39957
1/26/23,28709
1/27/23,36879
1/28/23,41961.5
1/29/23,40840.5
1/30/23,39643.5
1/31/23,40033
2/1/23,35302
2/2/23,48478.5
2/3/23,42588.5
2/4/23,44602.5
2/5/23,36489.5
2/6/23,41819
2/7/23,43320
2/8/23,47728
2/9/23,38969
2/10/23,38921.5
2/11/23,45144
2/12/23,40783.5
2/13/23,44032.5
2/14/23,40354
2/15/23,37021.5
2/16/23,34988.5
2/17/23,31663.5
2/18/23,0
2/19/23,0
2/20/23,23303.5
2/21/23,42807
2/22/23,32119.5
2/23/23,43614.5
2/24/23,21308.5
2/25/23,34228.5
2/26/23,42968.5
2/27/23,39909.5
2/28/23,36727
3/1/23,44365
3/2/23,53656
3/3/23,29079.5
3/4/23,47975
3/5/23,47519
3/6/23,46027.5
3/7/23,35581
3/8/23,41154
3/9/23,37126
3/10/23,33516
3/11/23,54436
3/12/23,43937.5
3/13/23,45856.5
3/14/23,35587
3/15/23,42360.5
3/16/23,48763.5
3/17/23,44165.5
3/18/23,58909.5
3/19/23,53247.5
3/20/23,43576.5
3/21/23,48146
3/22/23,45619
3/23/23,42370
3/24/23,0
3/25/23,0
3/26/23,0
3/27/23,0
3/28/23,0
3/29/23,0
3/30/23,0
3/31/23,0
4/1/23,0
4/2/23,10372.5
4/3/23,35606
4/4/23,39560
4/5/23,30086.5
4/6/23,40118.5
4/7/23,22277.5
4/8/23,44859
4/9/23,29022.5
4/10/23,32205
4/11/23,29889.5
4/12/23,31179
4/13/23,32309.5
4/14/23,35748.5
4/15/23,41980.5
4/16/23,44279.5
4/17/23,38703
4/18/23,35093
4/19/23,39140
4/20/23,22534
4/21/23,19323
4/22/23,39415.5
4/23/23,23693
4/24/23,28386
4/25/23,26704.5
4/26/23,25374.5
4/27/23,33250
4/28/23,29754
4/29/23,34257
4/30/23,29792
5/1/23,41163.5
5/2/23,27084.5
5/3/23,29725.5
5/4/23,30191
5/5/23,29307.5
5/6/23,27673.5
5/7/23,25422
5/8/23,25897
5/9/23,22125.5
5/10/23,31141
5/11/23,33155
5/12/23,18316
5/13/23,22591
5/14/23,21451
5/15/23,25735.5
5/16/23,31226.5
5/17/23,21878.5
5/18/23,30989
5/19/23,27075
5/20/23,28680.5
5/21/23,26875.5
5/22/23,24662
5/23/23,26894.5
5/24/23,26324.5
5/25/23,38703
5/26/23,24235.5
5/27/23,6061
5/28/23,8711.5
5/29/23,19484.5
5/30/23,18724.5
5/31/23,24491
6/1/23,31188.5
6/2/23,28329
6/3/23,30922.5
6/4/23,30998.5
6/5/23,22961.5
6/6/23,36242.5
6/7/23,31796.5
6/8/23,34494.5
6/9/23,23270.5
6/10/23,40061.5
6/11/23,26514.5
6/12/23,33364
Grand Total,8261501
