Weekly_Total,Quarter,Week,Notes
66538,F,-1,"Move In Week, Cartel Taco missing dinner ticket bag 9/18/22"
204601.5,F,0,"Week 0, Austyn Burgers short paid by 200 tickets or $2000.00 on 9/25/22"
257516.5,F,1,
290263,F,2,
317148,F,3,"Creamy Boys short paid 180 tickets or 1710.00 on Oct 12, 2022"
316777.5,F,4,
324358.5,F,5,
328519.5,F,6,
321062,F,7,
328006.5,F,8,
91352,F,9,"Thanksgiving Holiday, No Food Trucks Wed-Sat"
330153.5,F,10,
255331.5,F,11,Finals Week
181659,W,1,MLK Holiday 1/14/23-1/15/23
229610,W,2,
262114.5,W,3,
287137.5,W,4,
296685,W,5,
188060,W,6,Presidents Day Holiday 2/18/23-2/19/23
240350,W,7,
299231,W,8,
291778,W,9,
328890,W,10,
179711.5,W,11,"Finals Week, No Food Truck 3/24/23-3/26/23"
10372.5,B,,Spring Break
241530,S,1,
247591.5,S,2,
217901.5,S,3,
207518,S,4,
210567.5,S,5,
174676.5,S,6,
192460.5,S,7,
155592,S,8,
184138.5,S,9,
248705.5,S,10,
33364,S,11,Finals Week
