Food Truck,Total Hours
Perro 1-10 Tacos,480.5
8E8 Thai Street Food,424.0
Smile Hotdog,350.0
Aloha Fridays,329.5
Pinch of Flavor,326.5
Kalamaki Greek Street Food,315.5
Flamin Hot Chicken,272.5
StopBye Cafe,272.0
BittieBitez Mini-Donuts,270.5
The Taco Cartel,259.5
Salpicon,258.0
Creamy Boys,249.0
Habibi Shack,243.5
Cerda Vega Tacos,243.5
Wafl,227.0
Heritage Kitchen,220.0
Uncle Al's Barbeque,192.5
DD's Chick & Cat Shack,178.0
Yuna's Bob,162.5
Dina's Dumpling,150.5
Yalla,148.5
Rice Balls of Fire,109.5
Fat Boys,103.0
Original Herbivore,99.0
El Gallo Yucateco,96.0
Sugo Italiano,76.0
Vchos Pupusería Moderna,76.0
Dulce Europa Shaved Ice,69.0
Don Pollon,61.5
Poutine Brothers,61.0
Flaming Grain,54.0
Go Fusion N Grill,48.0
Mikhuna,41.5
Poppa Joe's Kitchen,38.0
Big Softee,22.0
Chicken King,21.5
The Bollywood Kitchen,11.0
Salpicón,4.0
