Date,Location,Breakfast,Lunch/Brunch,Dinner,Extended Dinner
6/18/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/18/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/19/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/19/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/20/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/20/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/21/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/21/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/22/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/22/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/23/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/23/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/24/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/24/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/25/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/25/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/26/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/26/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/27/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/27/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/28/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/28/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/29/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/29/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/30/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
6/30/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/1/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/1/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/2/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/2/2023,Sproul Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
7/3/2023,Rieber Turnaround Food Trucks ,CLOSED,CLOSED,CLOSED,CLOSED
