swipes,quarter,week,year
7956,F,-1,2023
36450,F,0,2023
38604,F,1,2023
39127,F,2,2023
35328,F,3,2023
30812,F,4,2023
32278,F,5,2023
23348,F,6,2023
33252,F,7,2023
11542,F,8,2023
32061,F,9,2023
36552,F,10,2023
15572,F,11,2023
1824,W,0,2024
16905,W,1,2024
26513,W,2,2024
27710,W,3,2024
27086,W,4,2024
25089,W,5,2024
18936,W,6,2024
23605,W,7,2024
22193,W,8,2024
24316,W,9,2024
28107,W,10,2024
15238,W,11,2024
2677,S,0,2024
22064,S,1,2024
22215,S,2,2024
21819,S,3,2024
22666,S,4,2024
24841,S,5,2024
21176,S,6,2024
24926,S,7,2024
20939,S,8,2024
24498,S,9,2024
27330,S,10,2024
12254,S,11,2024
