swipes,quarter,week,year
7004,F,-1,2022
21537,F,0,2022
27107,F,1,2022
30554,F,2,2022
33384,F,3,2022
33345,F,4,2022
34143,F,5,2022
34581,F,6,2022
33796,F,7,2022
34527,F,8,2022
9616,F,9,2022
34753,F,10,2022
26877,F,11,2022
19122,W,1,2023
24169,W,2,2023
27591,W,3,2023
30225,W,4,2023
31230,W,5,2023
19795,W,6,2023
25300,W,7,2023
31498,W,8,2023
30714,W,9,2023
34620,W,10,2023
18917,W,11,2023
1092,S,0,2023
25424,S,1,2023
26062,S,2,2023
22937,S,3,2023
21844,S,4,2023
22165,S,5,2023
18387,S,6,2023
20259,S,7,2023
16378,S,8,2023
19383,S,9,2023
26180,S,10,2023
3512,S,11,2023
7956,F,-1,2023
36450,F,0,2023
38604,F,1,2023
39127,F,2,2023
35328,F,3,2023
30812,F,4,2023
32278,F,5,2023
23348,F,6,2023
33252,F,7,2023
11542,F,8,2023
32061,F,9,2023
36552,F,10,2023
15572,F,11,2023
1824,W,0,2024
16905,W,1,2024
26513,W,2,2024
27710,W,3,2024
27086,W,4,2024
25089,W,5,2024
18936,W,6,2024
23605,W,7,2024
22193,W,8,2024
24316,W,9,2024
28107,W,10,2024
15238,W,11,2024
2677,S,0,2024
22064,S,1,2024
22215,S,2,2024
21819,S,3,2024
22666,S,4,2024
24841,S,5,2024
21176,S,6,2024
24926,S,7,2024
20939,S,8,2024
24498,S,9,2024
27330,S,10,2024
12254,S,11,2024
