week,swipes,TT_Label
-1,7004,Fall 2022 Week -1: 
0,21537,Fall 2022 Week 0: 
1,27107,Fall 2022 Week 1: 
2,30554,Fall 2022 Week 2: 
3,33384,Fall 2022 Week 3: 
4,33345,Fall 2022 Week 4: 
5,34143,Fall 2022 Week 5: 
6,34581,Fall 2022 Week 6: 
7,33796,Fall 2022 Week 7: 
8,34527,Fall 2022 Week 8: 
9,9616,Fall 2022 Week 9: 
10,34753,Fall 2022 Week 10: 
11,26877,Fall 2022 Week 11: 
0,1092,Spring 2023 Week 1: 
1,25424,Spring 2023 Week 2: 
2,26062,Spring 2023 Week 3: 
3,22937,Spring 2023 Week 4: 
4,21844,Spring 2023 Week 5: 
5,22165,Spring 2023 Week 6: 
6,18387,Spring 2023 Week 7: 
7,20259,Spring 2023 Week 8: 
8,16378,Spring 2023 Week 9: 
9,19383,Spring 2023 Week 10: 
10,26180,Spring 2023 Week 11: 
11,3512,Winter 2023 Week 0: 
1,19122,Winter 2023 Week 1: 
2,24169,Winter 2023 Week 2: 
3,27591,Winter 2023 Week 3: 
4,30225,Winter 2023 Week 4: 
5,31230,Winter 2023 Week 5: 
6,19795,Winter 2023 Week 6: 
7,25300,Winter 2023 Week 7: 
8,31498,Winter 2023 Week 8: 
9,30714,Winter 2023 Week 9: 
10,34620,Winter 2023 Week 10: 
11,18917,Winter 2023 Week 11: 
-1,7956,Fall 2023 Week -1: 
0,36450,Fall 2023 Week 0: 
1,38604,Fall 2023 Week 1: 
2,39127,Fall 2023 Week 2: 
3,35328,Fall 2023 Week 3: 
4,30812,Fall 2023 Week 4: 
5,32278,Fall 2023 Week 5: 
6,23348,Fall 2023 Week 6: 
7,33252,Fall 2023 Week 7: 
8,11542,Fall 2023 Week 8: 
9,32061,Fall 2023 Week 9: 
10,36552,Fall 2023 Week 10: 
11,15572,Fall 2023 Week 11: 
11,15238,Spring 2024 Week 0: 
0,2677,Spring 2024 Week 1: 
1,22064,Spring 2024 Week 2: 
2,22215,Spring 2024 Week 3: 
3,21819,Spring 2024 Week 4: 
4,22666,Spring 2024 Week 5: 
5,24841,Spring 2024 Week 6: 
6,21176,Spring 2024 Week 7: 
7,24926,Spring 2024 Week 8: 
8,20939,Spring 2024 Week 9: 
9,24498,Spring 2024 Week 10: 
10,27330,Spring 2024 Week 11: 
11,12254,Winter 2024 Week 0: 
0,1824,Winter 2024 Week 1: 
1,16905,Winter 2024 Week 2: 
2,26513,Winter 2024 Week 3: 
3,27710,Winter 2024 Week 4: 
4,27086,Winter 2024 Week 5: 
5,25089,Winter 2024 Week 6: 
6,18936,Winter 2024 Week 7: 
7,23605,Winter 2024 Week 8: 
8,22193,Winter 2024 Week 9: 
9,24316,Winter 2024 Week 10: 
10,28107,Winter 2024 Week 11: 
11,15238,
