"ENROLLMENT","SUBJECT_AREA","CATLG_NBR","SECT_NBR","GRADE","GRD_COUNT","ENRL_TOT","INSTR_NAME","INSTR_CD","TITLE","ENROL_TERM","LG_numeric"
"19F","A&O SCI","1","1","A+",21,99,"BIANCHI, D.","1","Climate Change: From Puzzles to Policy","255",4
"19F","A&O SCI","1","1","A",31,99,"BIANCHI, D.","1","Climate Change: From Puzzles to Policy","255",4
"19F","A&O SCI","1","1","A-",14,99,"BIANCHI, D.","1","Climate Change: From Puzzles to Policy","255",3.7
"19F","A&O SCI","1","1","B+",12,99,"BIANCHI, D.","1","Climate Change: From Puzzles to Policy","255",3.3
"19F","A&O SCI","1","1","B",5,99,"BIANCHI, D.","1","Climate Change: From Puzzles to Policy","255",3
"19F","A&O SCI","1","1","B-",2,99,"BIANCHI, D.","1","Climate Change: From Puzzles to Policy","255",2.7
"19F","A&O SCI","1","1","C+",7,99,"BIANCHI, D.","1","Climate Change: From Puzzles to Policy","255",2.3
"19F","A&O SCI","1","1","C",1,99,"BIANCHI, D.","1","Climate Change: From Puzzles to Policy","255",2
"19F","A&O SCI","1","1","C-",1,99,"BIANCHI, D.","1","Climate Change: From Puzzles to Policy","255",1.7
"19F","A&O SCI","1","1","P",5,99,"BIANCHI, D.","1","Climate Change: From Puzzles to Policy","255",-1
"19F","A&O SCI","1L","1","A+",12,19,"BIANCHI, D.","1","Climate Change: From Puzzles to Policy--Laboratory","255",4
"19F","A&O SCI","1L","1","A",2,19,"BIANCHI, D.","1","Climate Change: From Puzzles to Policy--Laboratory","255",4
"19F","A&O SCI","1L","1","A-",1,19,"BIANCHI, D.","1","Climate Change: From Puzzles to Policy--Laboratory","255",3.7
"19F","A&O SCI","1L","1","B+",1,19,"BIANCHI, D.","1","Climate Change: From Puzzles to Policy--Laboratory","255",3.3
"19F","A&O SCI","1L","1","B",1,19,"BIANCHI, D.","1","Climate Change: From Puzzles to Policy--Laboratory","255",3
"19F","A&O SCI","1L","1","C-",1,19,"BIANCHI, D.","1","Climate Change: From Puzzles to Policy--Laboratory","255",1.7
"19F","A&O SCI","1L","1","P",1,19,"BIANCHI, D.","1","Climate Change: From Puzzles to Policy--Laboratory","255",-1
"19F","A&O SCI","2","1","A",11,120,"LEW, J.K.","1","Air Pollution","255",4
"19F","A&O SCI","2","1","A-",4,120,"LEW, J.K.","1","Air Pollution","255",3.7
"19F","A&O SCI","2","1","B+",6,120,"LEW, J.K.","1","Air Pollution","255",3.3
"19F","A&O SCI","2","1","B",40,120,"LEW, J.K.","1","Air Pollution","255",3
"19F","A&O SCI","2","1","B-",6,120,"LEW, J.K.","1","Air Pollution","255",2.7
"19F","A&O SCI","2","1","C+",5,120,"LEW, J.K.","1","Air Pollution","255",2.3
"19F","A&O SCI","2","1","C",18,120,"LEW, J.K.","1","Air Pollution","255",2
"19F","A&O SCI","2","1","C-",2,120,"LEW, J.K.","1","Air Pollution","255",1.7
"19F","A&O SCI","2","1","D+",1,120,"LEW, J.K.","1","Air Pollution","255",1.3
"19F","A&O SCI","2","1","D",2,120,"LEW, J.K.","1","Air Pollution","255",1
"19F","A&O SCI","2","1","F",6,120,"LEW, J.K.","1","Air Pollution","255",0
"19F","A&O SCI","2","1","NP",4,120,"LEW, J.K.","1","Air Pollution","255",-2
"19F","A&O SCI","2","1","P",15,120,"LEW, J.K.","1","Air Pollution","255",-1
"19F","A&O SCI","2L","1","A",3,21,"LEW, J.K.","1","Air Pollution Laboratory","255",4
"19F","A&O SCI","2L","1","B+",2,21,"LEW, J.K.","1","Air Pollution Laboratory","255",3.3
"19F","A&O SCI","2L","1","B",7,21,"LEW, J.K.","1","Air Pollution Laboratory","255",3
"19F","A&O SCI","2L","1","B-",1,21,"LEW, J.K.","1","Air Pollution Laboratory","255",2.7
"19F","A&O SCI","2L","1","C",4,21,"LEW, J.K.","1","Air Pollution Laboratory","255",2
"19F","A&O SCI","2L","1","C-",1,21,"LEW, J.K.","1","Air Pollution Laboratory","255",1.7
"19F","A&O SCI","2L","1","P",3,21,"LEW, J.K.","1","Air Pollution Laboratory","255",-1
