entry_term_cd,entry_year_trailing_summer_7,admit_level,start_major,end_major,end_status,section,headcount
18F,2018-19,Freshman,ANTHROPOLOGY                                                                                                            ,ANTHROPOLOGY-BS                                                                                                         ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,APPLIED MATHEMATICS                                         ,FINANCIAL ACTUARIAL MATHEMATICS                                                                                         ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,POLITICAL SCIENCE                                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,PSYCHOLOGY                                                  ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,MATERIALS ENGINEERING                                                                                                   ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BUSINESS ECONOMICS                                          ,POLITICAL SCIENCE                                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,CIVIL ENGINEERING                                                                                                       ,BUSINESS ECONOMICS                                          ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,CLIMATE SCIENCE                                                                                                         ,GEOGRAPHY/ENVIRONMENTAL STUDIES                                                                                         ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,COGNITIVE SCIENCE                                           ,PSYCHOLOGY                                                  ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,"ECOLOGY, BEHAVIOR, AND EVOLUTION                                                                                        ","MOLECULAR, CELL, AND DEVELOPMENTAL BIOLOGY                                                                              ",Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ECONOMICS                                                   ,POLITICAL SCIENCE                                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ELECTRICAL ENGINEERING                                                                                                  ,MECHANICAL ENGINEERING                                                                                                  ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ELECTRICAL ENGINEERING                                                                                                  ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ENGINEERING GEOLOGY                                                                                                     ,ECONOMICS                                                   ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ENGLISH                                                                                                                 ,GLOBAL STUDIES                                              ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ETHNOMUSICOLOGY                                                                                                         ,PSYCHOBIOLOGY                                               ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,FINANCIAL ACTUARIAL MATHEMATICS                             ,APPLIED MATHEMATICS                                         ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,FINANCIAL ACTUARIAL MATHEMATICS                             ,POLITICAL SCIENCE                                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,GLOBAL STUDIES                                              ,ENGLISH                                                                                                                 ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,HUMAN BIOLOGY AND SOCIETY - BA                              ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,INTERNATIONAL DEVELOPMENT STUDIES                           ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,INTERNATIONAL DEVELOPMENT STUDIES                           ,RUSSIAN STUDIES                                                                                                         ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,LINGUISTICS AND ANTHROPOLOGY                                                                                            ,LINGUISTICS AND ANTHROPOLOGY                                                                                            ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,MATERIALS ENGINEERING                                                                                                   ,COMPUTER ENGINEERING                                                                                                    ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,MATERIALS ENGINEERING                                                                                                   ,MECHANICAL ENGINEERING                                                                                                  ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,MATHEMATICS OF COMPUTATION                                  ,COMPUTER ENGINEERING                                                                                                    ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,MATHEMATICS/ECONOMICS                                       ,MATHEMATICS/ECONOMICS                                       ,Enrolled,Fall 1 to Fall 2,39
18F,2018-19,Freshman,MECHANICAL ENGINEERING                                                                                                  ,COMPUTER SCIENCE                                                                                                        ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,MECHANICAL ENGINEERING                                                                                                  ,ELECTRICAL ENGINEERING                                                                                                  ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,MECHANICAL ENGINEERING                                                                                                  ,ENVIRONMENTAL SCIENCE                                                                                                   ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,MECHANICAL ENGINEERING                                                                                                  ,MATERIALS ENGINEERING                                                                                                   ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,"MICROBIOLOGY, IMMUNOLOGY, AND MOLECULAR GENETICS            ",HUMAN BIOLOGY AND SOCIETY - BS                              ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,AMERICAN INDIAN STUDIES                                                                                                 ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ANTHROPOLOGY-BS                                                                                                         ,POLITICAL SCIENCE                                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,APPLIED MATHEMATICS                                         ,ELECTRICAL ENGINEERING                                                                                                  ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,APPLIED MATHEMATICS                                         ,MATHEMATICS/ECONOMICS                                       ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ART                                                                                                                     ,GEOGRAPHY/ENVIRONMENTAL STUDIES                                                                                         ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ASIAN LANGUAGES AND LINGUISTICS                                                                                         ,ASIAN LANGUAGES AND LINGUISTICS                                                                                         ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ASTROPHYSICS                                                                                                            ,AMERICAN LITERATURE AND CULTURE                                                                                         ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,ASTROPHYSICS                                                                                                            ,COGNITIVE SCIENCE                                           ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,Not Enrolled,Not Enrolled,Fall 1 to Fall 2,13
18F,2018-19,Freshman,BIOCHEMISTRY                                                                                                            ,PUBLIC AFFAIRS                                              ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOENGINEERING                                                                                                          ,COMPUTER SCIENCE AND ENGINEERING                                                                                        ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOENGINEERING                                                                                                          ,ENVIRONMENTAL SCIENCE                                                                                                   ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,"ECOLOGY, BEHAVIOR, AND EVOLUTION                                                                                        ",Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOLOGY                                                                                                                 ,HISTORY                                                     ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BIOPHYSICS                                                                                                              ,PHYSICS                                                                                                                 ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,BUSINESS ECONOMICS                                          ,PUBLIC AFFAIRS                                              ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,CHEMISTRY                                                                                                               ,PSYCHOBIOLOGY                                               ,Enrolled,Fall 1 to Fall 2,<10
18F,2018-19,Freshman,CIVIL ENGINEERING                                                                                                       ,CIVIL ENGINEERING                                                                                                       ,Enrolled,Fall 1 to Fall 2,81
