release_year,duration
1942,18.0
1944,76.0
1945,63.0
1946,58.0
1947,42.0
1954,118.0
1955,100.33333333333333
1956,101.0
1958,98.66666666666667
1959,143.0
1960,131.0
1962,167.0
1963,194.0
1964,228.0
1965,151.5
1966,116.0
1967,105.25
1968,149.66666666666666
1969,140.0
1970,98.0
1971,142.8
1972,110.33333333333333
1973,123.1
1974,114.16666666666667
1975,109.33333333333333
1976,123.125
1977,130.2
1978,90.83333333333333
1979,127.88888888888889
1980,123.44444444444444
1981,128.75
1982,116.71428571428571
1983,115.25
1984,120.75
1985,109.14285714285714
1986,112.25
1987,101.57142857142857
1988,101.64285714285714
1989,110.75
1990,117.42857142857143
1991,93.5
1992,104.0
1993,120.0
1994,128.42857142857142
1995,116.4375
1996,120.13333333333334
1997,116.96153846153847
1998,109.88461538461539
1999,121.88461538461539
2000,111.36666666666666
2001,120.7741935483871
2002,118.87179487179488
2003,117.02564102564102
2004,115.94
2005,115.96610169491525
2006,114.54166666666667
2007,114.3768115942029
2008,108.1919191919192
2009,109.23762376237623
2010,106.47967479674797
2011,106.54700854700855
2012,102.54109589041096
2013,102.76666666666667
2014,102.53456221198157
2015,102.03039513677811
2016,98.35326086956522
2017,96.96969696969697
2018,98.97528830313014
2019,98.19396551724138
2020,94.45507246376812
2021,73.0
