Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,17.889999,18.070000,17.639999,17.889999,17.889999,2466000
2023-01-04,18.030001,18.459999,17.780001,18.400000,18.400000,4375600
2023-01-05,18.410000,19.480000,18.340000,19.280001,19.280001,6615100
2023-01-06,19.320000,20.270000,19.250000,19.910000,19.910000,5768300
2023-01-09,19.950001,19.969999,19.480000,19.549999,19.549999,2785700
2023-01-10,19.590000,19.850000,19.480000,19.840000,19.840000,2270500
2023-01-11,20.040001,20.200001,19.850000,20.110001,20.110001,2079600
2023-01-12,20.250000,20.270000,19.830000,20.240000,20.240000,1980200
2023-01-13,20.010000,20.520000,20.000000,20.260000,20.260000,2049200
2023-01-17,20.110001,20.219999,19.799999,19.879999,19.879999,2238100
2023-01-18,19.969999,20.030001,19.379999,19.450001,19.450001,2166700
2023-01-19,19.350000,19.440001,19.090000,19.250000,19.250000,2426600
2023-01-20,19.270000,19.850000,19.219999,19.840000,19.840000,2785900
2023-01-23,19.969999,20.129999,19.780001,20.080000,20.080000,2458400
2023-01-24,20.000000,20.180000,19.750000,19.860001,19.860001,1464800
2023-01-25,19.730000,20.120001,19.510000,20.100000,20.100000,1927400
2023-01-26,20.260000,20.340000,19.990000,20.299999,20.299999,1524100
2023-01-27,20.070000,20.410000,19.799999,20.160000,20.160000,7121100
2023-01-30,20.200001,20.440001,20.090000,20.340000,20.340000,3447500
2023-01-31,20.420000,20.660000,20.240000,20.459999,20.459999,2664800
2023-02-01,20.610001,21.070000,20.530001,20.969999,20.969999,3252000
2023-02-02,21.150000,21.660000,20.990000,21.330000,21.330000,4494000
2023-02-03,21.110001,21.620001,21.010000,21.230000,21.230000,3417200
2023-02-06,20.920000,21.040001,20.360001,20.660000,20.660000,2305100
2023-02-07,20.680000,20.799999,20.360001,20.750000,20.750000,2378400
2023-02-08,20.559999,20.750000,20.389999,20.500000,20.500000,3841700
2023-02-09,18.160000,19.230000,17.990000,18.309999,18.309999,12551100
2023-02-10,18.230000,18.760000,18.100000,18.440001,18.440001,5055400
2023-02-13,18.450001,18.570000,18.219999,18.440001,18.440001,4384600
2023-02-14,18.340000,18.620001,18.190001,18.559999,18.559999,2677300
2023-02-15,18.379999,18.750000,18.370001,18.639999,18.639999,2773800
2023-02-16,18.490000,18.980000,18.420000,18.420000,18.420000,2856600
2023-02-17,18.370001,19.180000,18.360001,19.139999,19.139999,3490400
2023-02-21,19.040001,19.040001,18.309999,18.500000,18.500000,3052500
2023-02-22,18.469999,18.719999,18.389999,18.510000,18.510000,2499700
2023-02-23,18.540001,18.610001,18.250000,18.530001,18.530001,2818700
2023-02-24,18.200001,18.350000,17.930000,18.250000,18.250000,2866500
2023-02-27,18.350000,18.540001,18.139999,18.200001,18.200001,2667800
2023-02-28,18.160000,18.360001,17.950001,17.990000,17.990000,2805700
2023-03-01,17.990000,18.100000,17.799999,17.820000,17.820000,1383400
2023-03-02,17.600000,17.930000,17.500000,17.889999,17.889999,1795600
2023-03-03,18.040001,18.080000,17.860001,18.059999,18.059999,1875100
2023-03-06,18.150000,18.160000,17.629999,17.730000,17.730000,2469100
2023-03-07,17.780001,17.840000,17.240000,17.360001,17.360001,4007000
2023-03-08,17.389999,17.660000,17.240000,17.600000,17.600000,3104500
2023-03-09,17.639999,17.809999,17.139999,17.150000,17.150000,1820800
2023-03-10,17.150000,17.150000,16.440001,16.700001,16.700001,2196600
2023-03-13,16.440001,16.510000,16.110001,16.299999,16.299999,4956100
2023-03-14,16.570000,16.690001,16.209999,16.280001,16.280001,4336600
2023-03-15,16.000000,16.100000,15.710000,16.000000,16.000000,3970200
2023-03-16,15.850000,16.760000,15.360000,16.620001,16.620001,6262500
2023-03-17,16.530001,16.570000,16.000000,16.250000,16.250000,3259600
2023-03-20,16.389999,16.580000,16.230000,16.340000,16.340000,2237700
2023-03-21,16.559999,16.840000,16.459999,16.680000,16.680000,1800400
2023-03-22,16.600000,16.760000,16.260000,16.270000,16.270000,1718600
2023-03-23,16.379999,16.549999,16.000000,16.190001,16.190001,1690900
2023-03-24,16.040001,16.299999,16.000000,16.280001,16.280001,2122300
2023-03-27,16.610001,17.090000,16.590000,16.930000,16.930000,5140300
2023-03-28,16.889999,17.100000,16.760000,17.080000,17.080000,1964500
2023-03-29,17.250000,17.629999,17.160000,17.549999,17.549999,2116100
2023-03-30,17.719999,17.969999,17.660000,17.840000,17.840000,3141400
2023-03-31,17.930000,18.440001,17.889999,18.410000,18.410000,3032200
2023-04-03,18.379999,18.410000,17.980000,18.090000,18.090000,1785200
2023-04-04,18.150000,18.160000,17.860001,18.040001,18.040001,1819000
2023-04-05,17.969999,18.000000,17.590000,17.639999,17.639999,2203200
2023-04-06,17.639999,17.690001,17.459999,17.530001,17.530001,1810000
2023-04-10,17.450001,17.820000,17.410000,17.730000,17.730000,2489200
2023-04-11,17.830000,17.930000,17.730000,17.799999,17.799999,2060700
2023-04-12,17.990000,17.990000,17.410000,17.430000,17.430000,2036400
2023-04-13,17.570000,17.850000,17.510000,17.799999,17.799999,2186400
2023-04-14,17.900000,17.969999,17.549999,17.709999,17.709999,3429900
2023-04-17,17.709999,17.709999,17.299999,17.580000,17.580000,3086400
2023-04-18,17.639999,17.639999,17.160000,17.219999,17.219999,3121500
2023-04-19,17.170000,17.360001,17.100000,17.250000,17.250000,2613900
2023-04-20,17.180000,17.330000,16.990000,17.150000,17.150000,1910500
2023-04-21,17.230000,17.389999,17.110001,17.389999,17.389999,1235400
2023-04-24,17.320000,17.459999,17.080000,17.209999,17.209999,1566300
2023-04-25,17.020000,17.070000,16.719999,16.760000,16.760000,1579500
2023-04-26,16.730000,17.059999,16.660000,16.969999,16.969999,4441600
2023-04-27,17.230000,18.250000,17.070000,18.000000,18.000000,6229500
2023-04-28,17.950001,18.430000,17.879999,18.000000,18.000000,3206300
2023-05-01,17.910000,17.950001,17.469999,17.629999,17.629999,2392200
2023-05-02,17.590000,17.910000,17.440001,17.770000,17.770000,3028500
2023-05-03,17.840000,18.320000,17.700001,17.950001,17.950001,3850300
2023-05-04,17.809999,17.940001,17.500000,17.610001,17.610001,2300300
2023-05-05,17.879999,18.299999,17.750000,18.190001,18.190001,2374900
2023-05-08,18.190001,18.280001,17.889999,17.950001,17.950001,2017800
2023-05-09,17.790001,18.230000,17.690001,18.180000,18.180000,1954200
2023-05-10,18.320000,18.410000,17.990000,18.299999,18.299999,2464700
2023-05-11,18.290001,18.549999,18.219999,18.530001,18.530001,1735700
2023-05-12,18.570000,18.650000,18.299999,18.500000,18.500000,2195700
2023-05-15,18.600000,19.290001,18.580000,19.200001,19.200001,3670000
2023-05-16,19.090000,19.180000,18.799999,18.980000,18.980000,3724600
2023-05-17,19.080000,19.100000,18.570000,18.930000,18.930000,2669800
2023-05-18,18.940001,19.030001,18.760000,19.010000,19.010000,1449900
2023-05-19,19.010000,19.100000,18.389999,18.549999,18.549999,1888100
2023-05-22,18.580000,18.580000,18.309999,18.400000,18.400000,1696700
2023-05-23,18.270000,18.469999,18.040001,18.090000,18.090000,2287300
2023-05-24,18.000000,18.270000,17.980000,18.250000,18.250000,3132400
2023-05-25,18.150000,18.299999,17.850000,17.860001,17.860001,1761200
2023-05-26,17.830000,18.100000,17.760000,17.910000,17.910000,1654300
2023-05-30,18.030001,18.040001,17.750000,17.850000,17.850000,1538300
2023-05-31,17.740000,17.820000,17.389999,17.410000,17.410000,2323600
2023-06-01,17.389999,17.530001,17.260000,17.530001,17.530001,1617600
2023-06-02,17.809999,18.110001,17.750000,18.080000,18.080000,1573500
2023-06-05,17.980000,18.059999,17.639999,17.690001,17.690001,1431300
2023-06-06,17.709999,18.200001,17.709999,18.139999,18.139999,1285200
2023-06-07,18.240000,18.469999,18.110001,18.250000,18.250000,1429100
2023-06-08,18.209999,18.680000,18.150000,18.670000,18.670000,1690900
2023-06-09,18.770000,18.850000,18.230000,18.280001,18.280001,1752700
2023-06-12,18.270000,18.620001,18.240000,18.490000,18.490000,1194500
2023-06-13,18.549999,19.080000,18.469999,19.030001,19.030001,1600500
2023-06-14,19.090000,19.219999,18.490000,18.590000,18.590000,1846600
2023-06-15,18.450001,18.500000,18.240000,18.360001,18.360001,1549000
2023-06-16,18.469999,18.469999,18.059999,18.260000,18.260000,3505400
2023-06-20,18.260000,18.260000,17.950001,18.129999,18.129999,1597000
2023-06-21,17.959999,17.980000,17.730000,17.870001,17.870001,1855800
2023-06-22,17.790001,17.940001,17.549999,17.940001,17.940001,2509100
2023-06-23,17.760000,18.129999,17.690001,18.070000,18.070000,7020700
2023-06-26,18.080000,18.290001,18.049999,18.139999,18.139999,2244800
2023-06-27,18.230000,18.549999,18.230000,18.450001,18.450001,3757300
2023-06-28,18.490000,19.000000,18.400000,18.980000,18.980000,2314600
2023-06-29,19.000000,19.410000,18.959999,19.200001,19.200001,3896900
2023-06-30,19.250000,19.740000,19.230000,19.540001,19.540001,3936500
2023-07-03,19.629999,20.280001,19.629999,20.040001,20.040001,2978600
2023-07-05,19.900000,20.100000,19.670000,20.000000,20.000000,3746300
2023-07-06,19.809999,20.020000,19.600000,19.910000,19.910000,3784600
2023-07-07,20.360001,20.760000,20.059999,20.480000,20.480000,4716600
2023-07-10,20.920000,21.219999,20.690001,20.990000,20.990000,6284800
