service,date,price
Netflix,Jan-2014,7.99
Netflix,Feb-2014,7.99
Netflix,Mar-2014,7.99
Netflix,Apr-2014,7.99
Netflix,May-2014,7.99
Netflix,Jun-2014,7.99
Netflix,Jul-2014,7.99
Netflix,Aug-2014,7.99
Netflix,Sep-2014,7.99
Netflix,Oct-2014,7.99
Netflix,Nov-2014,7.99
Netflix,Dec-2014,7.99
Netflix,Jan-2015,7.99
Netflix,Feb-2015,7.99
Netflix,Mar-2015,7.99
Netflix,Apr-2015,7.99
Netflix,May-2015,7.99
Netflix,Jun-2015,7.99
Netflix,Jul-2015,7.99
Netflix,Aug-2015,7.99
Netflix,Sep-2015,7.99
Netflix,Oct-2015,7.99
Netflix,Nov-2015,7.99
Netflix,Dec-2015,7.99
Netflix,Jan-2016,7.99
Netflix,Feb-2016,7.99
Netflix,Mar-2016,7.99
Netflix,Apr-2016,7.99
Netflix,May-2016,7.99
Netflix,Jun-2016,7.99
Netflix,Jul-2016,7.99
Netflix,Aug-2016,7.99
Netflix,Sep-2016,7.99
Netflix,Oct-2016,7.99
Netflix,Nov-2016,7.99
Netflix,Dec-2016,7.99
Netflix,Jan-2017,7.99
Netflix,Feb-2017,7.99
Netflix,Mar-2017,7.99
Netflix,Apr-2017,7.99
Netflix,May-2017,7.99
Netflix,Jun-2017,7.99
Netflix,Jul-2017,7.99
Netflix,Aug-2017,7.99
Netflix,Sep-2017,7.99
Netflix,Oct-2017,7.99
Netflix,Nov-2017,7.99
Netflix,Dec-2017,7.99
Netflix,Jan-2018,7.99
Netflix,Feb-2018,7.99
Netflix,Mar-2018,7.99
Netflix,Apr-2018,7.99
Netflix,May-2018,7.99
Netflix,Jun-2018,7.99
Netflix,Jul-2018,7.99
Netflix,Aug-2018,7.99
Netflix,Sep-2018,7.99
Netflix,Oct-2018,7.99
Netflix,Nov-2018,7.99
Netflix,Dec-2018,7.99
Netflix,Jan-2019,8.99
Netflix,Feb-2019,8.99
Netflix,Mar-2019,8.99
Netflix,Apr-2019,8.99
Netflix,May-2019,8.99
Netflix,Jun-2019,8.99
Netflix,Jul-2019,8.99
Netflix,Aug-2019,8.99
Netflix,Sep-2019,8.99
Netflix,Oct-2019,8.99
Netflix,Nov-2019,8.99
Netflix,Dec-2019,8.99
Netflix,Jan-2020,8.99
Netflix,Feb-2020,8.99
Netflix,Mar-2020,8.99
Netflix,Apr-2020,8.99
Netflix,May-2020,8.99
Netflix,Jun-2020,8.99
Netflix,Jul-2020,8.99
Netflix,Aug-2020,8.99
Netflix,Sep-2020,8.99
Netflix,Oct-2020,8.99
Netflix,Nov-2020,8.99
Netflix,Dec-2020,8.99
Netflix,Jan-2021,8.99
Netflix,Feb-2021,8.99
Netflix,Mar-2021,8.99
Netflix,Apr-2021,8.99
Netflix,May-2021,8.99
Netflix,Jun-2021,8.99
Netflix,Jul-2021,8.99
Netflix,Aug-2021,8.99
Netflix,Sep-2021,8.99
Netflix,Oct-2021,8.99
Netflix,Nov-2021,8.99
Netflix,Dec-2021,8.99
Netflix,Jan-2022,9.99
Netflix,Feb-2022,9.99
Netflix,Mar-2022,9.99
Netflix,Apr-2022,9.99
Netflix,May-2022,9.99
Netflix,Jun-2022,9.99
Netflix,Jul-2022,9.99
Netflix,Aug-2022,9.99
Netflix,Sep-2022,9.99
Netflix,Oct-2022,9.99
Netflix,Nov-2022,9.99
Netflix,Dec-2022,9.99
Netflix,Jan-2023,9.99
Netflix,Feb-2023,9.99
Netflix,Mar-2023,9.99
Netflix,Apr-2023,9.99
Netflix,May-2023,9.99
Netflix,Jun-2023,9.99
Netflix,Jul-2023,9.99
Netflix,Aug-2023,9.99
Netflix,Sep-2023,9.99
Netflix,Oct-2023,15.49
Netflix,Nov-2023,15.49
Netflix,Dec-2023,15.49
Netflix,Jan-2024,15.49
Disney+,Nov-2019,6.99
Disney+,Dec-2019,6.99
Disney+,Jan-2020,6.99
Disney+,Feb-2020,6.99
Disney+,Mar-2020,6.99
Disney+,Apr-2020,6.99
Disney+,May-2020,6.99
Disney+,Jun-2020,6.99
Disney+,Jul-2020,6.99
Disney+,Aug-2020,6.99
Disney+,Sep-2020,6.99
Disney+,Oct-2020,6.99
Disney+,Nov-2020,6.99
Disney+,Dec-2020,6.99
Disney+,Jan-2021,6.99
Disney+,Feb-2021,6.99
Disney+,Mar-2021,7.99
Disney+,Apr-2021,7.99
Disney+,May-2021,7.99
Disney+,Jun-2021,7.99
Disney+,Jul-2021,7.99
Disney+,Aug-2021,7.99
Disney+,Sep-2021,7.99
Disney+,Oct-2021,7.99
Disney+,Nov-2021,7.99
Disney+,Dec-2021,7.99
Disney+,Jan-2022,7.99
Disney+,Feb-2022,7.99
Disney+,Mar-2022,7.99
Disney+,Apr-2022,7.99
Disney+,May-2022,7.99
Disney+,Jun-2022,7.99
Disney+,Jul-2022,7.99
Disney+,Aug-2022,7.99
Disney+,Sep-2022,7.99
Disney+,Oct-2022,7.99
Disney+,Nov-2022,7.99
Disney+,Dec-2022,10.99
Disney+,Jan-2023,10.99
Disney+,Feb-2023,10.99
Disney+,Mar-2023,10.99
Disney+,Apr-2023,10.99
Disney+,May-2023,10.99
Disney+,Jun-2023,10.99
Disney+,Jul-2023,10.99
Disney+,Aug-2023,10.99
Disney+,Sep-2023,10.99
Disney+,Oct-2023,13.99
Disney+,Nov-2023,13.99
Disney+,Dec-2023,13.99
Disney+,Jan-2024,13.99
HBO Max,May-2020,14.99
HBO Max,Jun-2020,14.99
HBO Max,Jul-2020,14.99
HBO Max,Aug-2020,14.99
HBO Max,Sep-2020,14.99
HBO Max,Oct-2020,14.99
HBO Max,Nov-2020,14.99
HBO Max,Dec-2020,14.99
HBO Max,Jan-2021,14.99
HBO Max,Feb-2021,14.99
HBO Max,Mar-2021,14.99
HBO Max,Apr-2021,14.99
HBO Max,May-2021,14.99
HBO Max,Jun-2021,14.99
HBO Max,Jul-2021,14.99
HBO Max,Aug-2021,14.99
HBO Max,Sep-2021,14.99
HBO Max,Oct-2021,14.99
HBO Max,Nov-2021,14.99
HBO Max,Dec-2021,14.99
HBO Max,Jan-2022,14.99
HBO Max,Feb-2022,14.99
HBO Max,Mar-2022,14.99
HBO Max,Apr-2022,14.99
HBO Max,May-2022,14.99
HBO Max,Jun-2022,14.99
HBO Max,Jul-2022,14.99
HBO Max,Aug-2022,14.99
HBO Max,Sep-2022,14.99
HBO Max,Oct-2022,14.99
HBO Max,Nov-2022,14.99
HBO Max,Dec-2022,14.99
HBO Max,Jan-2023,14.99
HBO Max,Feb-2023,15.99
HBO Max,Mar-2023,15.99
HBO Max,Apr-2023,15.99
HBO Max,May-2023,15.99
HBO Max,Jun-2023,15.99
HBO Max,Jul-2023,15.99
HBO Max,Aug-2023,15.99
HBO Max,Sep-2023,15.99
HBO Max,Oct-2023,15.99
HBO Max,Nov-2023,15.99
HBO Max,Dec-2023,15.99
HBO Max,Jan-2024,15.99
Hulu,Oct-2015,11.99
Hulu,Nov-2015,11.99
Hulu,Dec-2015,11.99
Hulu,Jan-2016,11.99
Hulu,Feb-2016,11.99
Hulu,Mar-2016,11.99
Hulu,Apr-2016,11.99
Hulu,May-2016,11.99
Hulu,Jun-2016,11.99
Hulu,Jul-2016,11.99
Hulu,Aug-2016,11.99
Hulu,Sep-2016,11.99
Hulu,Oct-2016,11.99
Hulu,Nov-2016,11.99
Hulu,Dec-2016,11.99
Hulu,Jan-2017,11.99
Hulu,Feb-2017,11.99
Hulu,Mar-2017,11.99
Hulu,Apr-2017,11.99
Hulu,May-2017,11.99
Hulu,Jun-2017,11.99
Hulu,Jul-2017,11.99
Hulu,Aug-2017,11.99
Hulu,Sep-2017,11.99
Hulu,Oct-2017,11.99
Hulu,Nov-2017,11.99
Hulu,Dec-2017,11.99
Hulu,Jan-2018,11.99
Hulu,Feb-2018,11.99
Hulu,Mar-2018,11.99
Hulu,Apr-2018,11.99
Hulu,May-2018,11.99
Hulu,Jun-2018,11.99
Hulu,Jul-2018,11.99
Hulu,Aug-2018,11.99
Hulu,Sep-2018,11.99
Hulu,Oct-2018,11.99
Hulu,Nov-2018,11.99
Hulu,Dec-2018,11.99
Hulu,Jan-2019,11.99
Hulu,Feb-2019,11.99
Hulu,Mar-2019,11.99
Hulu,Apr-2019,11.99
Hulu,May-2019,11.99
Hulu,Jun-2019,11.99
Hulu,Jul-2019,11.99
Hulu,Aug-2019,11.99
Hulu,Sep-2019,11.99
Hulu,Oct-2019,11.99
Hulu,Nov-2019,11.99
Hulu,Dec-2019,11.99
Hulu,Jan-2020,11.99
Hulu,Feb-2020,11.99
Hulu,Mar-2020,11.99
Hulu,Apr-2020,11.99
Hulu,May-2020,11.99
Hulu,Jun-2020,11.99
Hulu,Jul-2020,11.99
Hulu,Aug-2020,11.99
Hulu,Sep-2020,11.99
Hulu,Oct-2020,11.99
Hulu,Nov-2020,11.99
Hulu,Dec-2020,11.99
Hulu,Jan-2021,11.99
Hulu,Feb-2021,11.99
Hulu,Mar-2021,11.99
Hulu,Apr-2021,11.99
Hulu,May-2021,11.99
Hulu,Jun-2021,11.99
Hulu,Jul-2021,11.99
Hulu,Aug-2021,11.99
Hulu,Sep-2021,11.99
Hulu,Oct-2021,12.99
Hulu,Nov-2021,12.99
Hulu,Dec-2021,12.99
Hulu,Jan-2022,12.99
Hulu,Feb-2022,12.99
Hulu,Mar-2022,12.99
Hulu,Apr-2022,12.99
Hulu,May-2022,12.99
Hulu,Jun-2022,12.99
Hulu,Jul-2022,12.99
Hulu,Aug-2022,12.99
Hulu,Sep-2022,12.99
Hulu,Oct-2022,12.99
Hulu,Nov-2022,12.99
Hulu,Dec-2022,14.99
Hulu,Jan-2023,14.99
Hulu,Feb-2023,14.99
Hulu,Mar-2023,14.99
Hulu,Apr-2023,14.99
